Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","1,471,000","1,478,000","1,594,000","1,333,000","1,434,000","1,632,000","1,543,000","1,626,000","1,524,000","1,588,000","1,877,000","1,569,000","1,631,000","1,743,000","1,418,000","1,461,000","1,146,000","1,421,000","1,440,000","1,392,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"7,595,000","9,813,000","8,054,000","8,228,000","7,732,000","7,371,000","8,799,000","9,007,000","6,598,000","8,074,000","8,058,000","5,856,000","6,613,000","6,450,000","4,899,000","6,371,000","4,780,000","4,681,000","2,144,000","3,796,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,066,000","11,291,000","9,648,000","9,561,000","9,166,000","9,003,000","10,342,000","10,633,000","8,122,000","9,662,000","9,935,000","7,425,000","8,244,000","8,193,000","6,317,000","7,832,000","5,926,000","6,102,000","3,584,000","5,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,066,000","-11,291,000","-9,648,000","-9,561,000","-9,166,000","-9,003,000","-10,342,000","-10,633,000","-8,122,000","-9,662,000","-9,935,000","-7,425,000","-8,244,000","-8,193,000","-6,317,000","-7,832,000","-5,926,000","-6,102,000","-3,584,000","-5,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,494,000","-1,269,000","-1,052,000","-847,000","-835,000","-650,000","-460,000","-308,000","-269,000","-229,000","-227,000","-272,000","-111,000","-85,000","-22,000","-22,000","-22,000","-21,000","-22,000","-22,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"93,000","80,000","80,000","74,000","62,000","50,000","44,000","30,000","18,000","3,000","1,000",-,"1,000","1,000","1,000","2,000","5,000","9,000","50,000","73,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-753,000","109,000","-869,000","337,000","-489,000","489,000","-769,000","277,000","-224,000","275,000","229,000","476,000","-166,000","-172,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,220,000","-12,371,000","-11,489,000","-9,997,000","-10,428,000","-9,114,000","-11,527,000","-10,634,000","-8,597,000","-9,613,000","-9,932,000","-7,221,000","-8,520,000","-8,449,000","-6,338,000","-7,852,000","-5,943,000","-6,114,000","-3,556,000","-5,137,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-11,220,000","-12,371,000","-11,489,000","-9,997,000","-10,428,000","-9,114,000","-11,527,000","-10,634,000","-8,597,000","-9,613,000","-9,932,000","-7,221,000","-8,520,000","-8,449,000","-6,338,000","-7,852,000","-5,943,000","-6,114,000","-3,556,000","-5,137,000",Upgrade,Financials in USD,Fiscal year is January - December
