Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","4,224,000","3,464,000","2,870,000","2,908,000","2,631,000","2,749,000","3,113,000","2,262,000","2,006,000","2,510,000","3,292,000","3,270,000","2,110,000","719,000","448,000","92,000","5,000","3,000","8,000",Financials in USD,Fiscal year is January - December
Research & Development,"8,397,000","9,755,000","8,658,000","8,251,000","7,088,000","7,176,000","7,306,000","6,910,000","4,620,000","4,240,000","4,714,000","3,351,000","2,556,000","1,954,000","692,000","233,000","55,000","39,000","11,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"12,623,000","13,222,000","11,478,000","11,159,000","9,736,000","9,708,000","10,618,000","9,293,000","6,626,000","6,750,000","8,006,000","6,621,000","4,666,000","2,673,000","1,140,000","325,000","60,000","42,000","19,000",Financials in USD,Fiscal year is January - December
Operating Income,"-12,623,000","-13,222,000","-11,478,000","-11,159,000","-9,736,000","-9,708,000","-10,618,000","-9,293,000","-6,626,000","-6,750,000","-8,006,000","-6,621,000","-4,666,000","-2,673,000","-1,140,000","-325,000","-60,000","-42,000","-19,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-181,000","-13,000","-179,000","-189,000","-184,000","-16,000","-171,000","-123,000",-,-,-,-,"-3,000","-6,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,535,000","2,033,000","2,670,000","2,929,000","2,438,000","2,122,000","1,489,000","1,166,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,845,000","466,000","1,321,000","-2,853,000","1,833,000","36,000","-1,637,000","-8,336,000","6,185,000","7,084,000","2,243,000","2,530,000","2,832,000","554,000","-9,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-165,000",-,-,-,"-163,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,114,000","-10,901,000","-7,666,000","-11,272,000","-5,649,000","-7,729,000","-10,937,000","-16,586,000","-441,000","334,000","-5,763,000","-4,091,000","-1,837,000","-2,125,000","-1,149,000","-325,000","-60,000","-42,000","-19,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"522,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,114,000","-10,379,000","-7,666,000","-11,272,000","-5,649,000","-7,729,000","-10,937,000","-16,586,000","-441,000","334,000","-5,763,000","-4,091,000","-1,837,000","-2,125,000","-1,149,000","-325,000","-60,000","-42,000","-19,000",Financials in USD,Fiscal year is January - December
Net Income,"-12,114,000","-10,379,000","-7,666,000","-11,272,000","-5,649,000","-7,729,000","-10,937,000","-16,586,000","-441,000","334,000","-5,763,000","-4,091,000","-1,837,000","-2,125,000","-1,149,000","-325,000","-60,000","-42,000","-19,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,114,000","-10,379,000","-7,666,000","-11,272,000","-5,649,000","-7,729,000","-10,937,000","-16,586,000","-441,000","334,000","-5,763,000","-4,091,000","-1,837,000","-2,125,000","-1,149,000","-325,000","-60,000","-42,000","-19,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"52,028,145","52,028,145","52,028,145","52,027,805","52,020,849","52,020,849","52,020,849","52,020,849","52,020,849","52,020,849","52,020,849","51,996,614","52,020,849","40,099,631","30,369,232","29,437,472","28,000,000","28,000,000","28,000,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"52,028,145","52,028,145","52,028,145","52,027,805","52,020,849","52,020,849","52,020,849","52,020,849","52,020,849","52,020,849","52,020,849","51,996,614","52,020,849","40,099,631","30,369,232","29,437,472","28,000,000","28,000,000","28,000,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.014%,0.014%,0.014%,0.013%,-,-,-,0.047%,-,29.729%,71.295%,76.634%,85.789%,43.213%,8.462%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.233,-0.199,-0.147,-0.217,-0.109,-0.149,-0.210,-0.319,-0.008,0.006,-0.111,-0.079,-0.035,-0.053,-0.038,-0.011,-0.002,-0.002,-0.001,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.233,-0.199,-0.147,-0.217,-0.109,-0.149,-0.210,-0.319,-0.008,0.006,-0.111,-0.079,-0.035,-0.053,-0.038,-0.011,-0.002,-0.002,-0.001,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,311,000","-9,944,000","-9,608,000","-8,109,000","-10,348,000","-8,072,000","-6,907,000","-6,885,000","-8,060,000","-5,310,000","-6,011,000","-3,777,000","-9,263,000","-1,239,000","-1,108,000","-149,000","-77,000","-2,000","-102,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.237,-0.191,-0.185,-0.156,-0.199,-0.155,-0.133,-0.132,-0.155,-0.102,-0.116,-0.073,-0.178,-0.031,-0.036,-0.005,-0.003,-0.000,-0.004,Financials in USD,Fiscal year is January - December
EBITDA,"-12,544,000","-13,144,000","-11,398,000","-11,143,000","-9,656,000","-9,628,000","-10,541,000","-9,280,000","-6,614,000","-6,739,000","-7,995,000","-6,612,000","-4,660,000","-2,670,000","-1,139,000",-,-,-,-,Financials in USD,Fiscal year is January - December
