Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"260,094,000","239,724,000","241,249,000","234,384,000","478,053,000","834,901,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"260,094,000","239,724,000","241,249,000","234,384,000","478,053,000","834,901,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-52.186%,-0.632%,2.929%,-50.971%,-42.741%,162.676%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"331,477,000","241,294,000","234,131,000","320,503,000","523,667,000","420,090,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"-71,383,000","-1,570,000","7,118,000","-86,119,000","-45,614,000","414,811,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","132,070,000","126,320,000","138,635,000","131,520,000","185,225,000","96,959,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-39,135,000","-47,272,000","-36,127,000","-46,071,000","-52,207,000","-50,896,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"92,935,000","79,048,000","102,508,000","85,449,000","133,018,000","46,063,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-164,318,000","-80,618,000","-95,390,000","-171,568,000","-178,632,000","368,748,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-1,528,000","-1,770,000","-6,884,000","-11,592,000","-9,389,000","-1,268,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"149,890,000","79,290,000","18,094,000","2,865,000","10,030,000","14,305,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-18,562,000","-21,662,000","44,384,000","56,658,000","-105,718,000","-46,945,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-96,299,000","134,000","-2,316,000","2,391,000","-25,978,000","-6,940,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-130,817,000","-24,626,000","-42,112,000","-121,246,000","-309,687,000","327,900,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"73,596,000","37,896,000","6,929,000","1,844,000","-88,000","-179,376,000",Upgrade,Financials in EUR,Fiscal year is January - December
Asset Writedown,"-7,645,000","-7,645,000","-35,666,000",-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-64,866,000","5,625,000","-70,849,000","-119,402,000","-309,775,000","148,524,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"-4,255,000","9,613,000","572,000","1,389,000","1,226,000","-165,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"-60,611,000","-3,988,000","-71,421,000","-120,791,000","-311,001,000","148,689,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Discontinued Operations,"266,945,000","215,685,000","-146,570,000","17,560,000","5,565,000","1,156,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"206,334,000","211,697,000","-217,991,000","-103,231,000","-305,436,000","149,845,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"206,334,000","211,697,000","-217,991,000","-103,231,000","-305,436,000","149,845,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"65,801,658","65,884,000","65,699,000","65,500,000","65,075,000","57,614,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"65,850,658","65,933,000","65,699,000","65,500,000","65,075,000","60,112,000",Upgrade,Financials in EUR,Fiscal year is January - December
