Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"58,973,000","17,083,000","11,482,000","11,405,000","8,790,000","80,058,000","11,000","643,000","122,000","30,838,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,"2,129,000","2,288,000","3,629,000","2,699,000","3,352,000","2,044,000","3,243,000","2,172,000","5,745,000","2,778,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"61,102,000","19,371,000","15,111,000","14,104,000","12,142,000","82,102,000","3,254,000","2,815,000","5,867,000","33,616,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),304.354%,37.344%,24.452%,-82.821%,273.141%,2816.590%,-44.537%,-91.626%,9.602%,1273.203%,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"61,102,000","19,371,000","15,111,000","14,104,000","12,142,000","82,102,000","3,254,000","2,815,000","5,867,000","33,616,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","10,954,000","8,992,000","9,625,000","8,708,000","8,689,000","9,277,000","8,415,000","7,745,000","17,741,000","18,580,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"18,984,000","20,873,000","25,630,000","18,219,000","17,599,000","12,087,000","23,079,000","22,230,000","36,867,000","27,262,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"4,000","414,000","-192,000","292,000","376,000","809,000","-475,000","259,000","425,000","1,671,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"29,942,000","30,279,000","35,063,000","27,219,000","26,664,000","22,173,000","31,019,000","30,234,000","55,033,000","47,513,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"31,160,000","-10,908,000","-19,952,000","-13,115,000","-14,522,000","59,929,000","-27,765,000","-27,419,000","-49,166,000","-13,897,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-2,360,000","-2,335,000","-2,289,000","-2,217,000","-2,193,000","-2,142,000","-2,813,000","-6,000,000","-5,777,000","-5,768,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"535,000","1,372,000","337,000","120,000","17,000","274,000",-,"1,442,000",-,"2,523,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"229,000","465,000","-515,000","1,418,000","6,032,000","4,208,000","2,728,000","-8,249,000","692,000","3,490,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"724,000","170,000","1,326,000","469,000","129,000","-173,000","221,000","-971,000","1,079,000","-665,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"30,288,000","-11,236,000","-21,093,000","-13,325,000","-10,537,000","62,096,000","-27,629,000","-41,197,000","-53,172,000","-14,317,000",Upgrade,Financials in EUR,Fiscal year is January - December
Merger & Restructuring Charges,-,"-128,000","633,000","-168,000","179,000","1,644,000","-1,786,000","-5,308,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"62,000","61,000","20,000","17,000","-1,000","-429,000",-,"-82,000","2,000","18,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,-,"3,229,000",-,-,-,-,"35,578,000","-1,892,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"30,350,000","-8,074,000","-20,440,000","-13,476,000","-10,359,000","63,311,000","6,163,000","-48,479,000","-53,170,000","-14,299,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"39,000","-34,000","414,000","-156,000","40,000","5,110,000","-2,895,000","-269,000","-159,000","-287,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"30,311,000","-8,040,000","-20,854,000","-13,320,000","-10,399,000","58,201,000","9,058,000","-48,210,000","-53,011,000","-14,012,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"30,311,000","-8,040,000","-20,854,000","-13,320,000","-10,399,000","58,201,000","9,058,000","-48,210,000","-53,011,000","-14,012,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"49,690,163","49,698,588","49,701,858","49,679,154","49,668,718","45,792,795","43,686,717","38,738,558","38,978,676","42,792,043",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"60,363,017","49,698,588","49,701,858","49,679,154","49,668,718","63,553,584","47,673,684","38,738,558","38,978,676","42,792,043",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),21.450%,0.039%,0.067%,-21.831%,4.185%,64.058%,22.307%,-9.473%,24.996%,37.295%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),0.610,-0.162,-0.420,-0.268,-0.209,1.271,0.207,-1.244,-1.360,-0.327,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),0.530,-0.162,-0.420,-0.270,-0.210,0.934,0.190,-1.244,-1.360,-0.327,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-11,924,000","-30,769,000","-25,074,000","-25,139,000","-47,499,000","127,209,000","-27,831,000","-51,124,000","-46,147,000","-2,786,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.198,-0.619,-0.504,-0.506,-0.956,2.002,-0.584,-1.320,-1.184,-0.065,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,50.997%,-56.311%,-132.036%,-92.988%,-119.601%,72.993%,-853.258%,-974.032%,-838.009%,-41.340%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,49.607%,-41.505%,-138.005%,-94.441%,-85.645%,70.889%,278.365%,-1712.611%,-903.545%,-41.683%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-19.515%,-158.841%,-165.932%,-178.240%,-391.196%,154.940%,-855.286%,-1816.128%,-786.552%,-8.288%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"32,008,000","-10,122,000","-19,117,000","-12,306,000","-13,578,000","61,008,000","-26,254,000","-25,906,000","-47,429,000","-13,767,000",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"848,000","786,000","835,000","809,000","944,000","1,079,000","1,511,000","1,513,000","1,737,000","130,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"31,160,000","-10,908,000","-19,952,000","-13,115,000","-14,522,000","59,929,000","-27,765,000","-27,419,000","-49,166,000","-13,897,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"61,199,000","22,802,000","15,374,000","14,378,000","12,188,000","82,151,000","3,428,000","1,891,000","5,867,000","35,604,000",Upgrade,Financials in EUR,Fiscal year is January - December
