Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
"Selling, General & Admin","1,566,085","4,849,472","2,719,667","2,270,318","3,166,057","4,057,197","3,950,390","3,187,929","3,006,484","2,836,916","3,263,741","2,901,859","2,000,437","2,458,097","4,316,310","2,904,331","1,421,863","2,216,691","4,092,996","1,934,090",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,756,081","1,666,522","3,274,380","3,712,994","4,616,546","3,976,917","5,310,148","3,385,190","3,157,731","2,926,927","2,040,225","3,843,446","1,431,999","1,526,277","2,169,143","2,319,393","1,350,016","2,155,637","1,477,877","489,580",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,323,438","6,518,282","5,996,717","5,986,738","7,786,327","8,037,951","9,264,554","6,579,197","6,170,439","5,770,387","5,310,696","6,752,260","3,438,925","3,987,222","6,491,695","5,229,658","2,777,593","4,378,104","5,576,226","2,427,254",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,323,438","-6,518,282","-5,996,717","-5,986,738","-7,786,327","-8,037,951","-9,264,554","-6,579,197","-6,170,439","-5,770,387","-5,310,696","-6,752,260","-3,438,925","-3,987,222","-6,491,695","-5,229,658","-2,777,593","-4,378,104","-5,576,226","-2,427,254",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,080","23,057","27,713","39,696","51,391","55,550","68,471","55,598","27,877","5,744",879,987,"1,060","1,104","1,982","1,344","2,650","4,811","10,006","2,285",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-629,-620,135,"17,790","-13,307","2,208","-6,691",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,315,987","-6,495,845","-5,968,869","-5,929,252","-7,748,243","-7,980,193","-9,202,774","-6,523,599","-6,142,562","-5,764,643","-5,309,817","-6,751,273","-3,437,865","-3,986,118","-6,489,713","-5,228,314","-2,774,943","-4,373,293","-5,566,220","-2,424,969",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,315,987","-6,495,845","-5,968,869","-5,929,252","-7,748,243","-7,980,193","-9,202,774","-6,523,599","-6,142,562","-5,764,643","-5,309,817","-6,751,273","-3,437,865","-3,986,118","-6,489,713","-5,228,314","-2,774,943","-4,373,293","-5,566,220","-2,424,969",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,315,987","-6,495,845","-5,968,869","-5,929,252","-7,748,243","-7,980,193","-9,202,774","-6,523,599","-6,142,562","-5,764,643","-5,309,817","-6,751,273","-3,437,865","-3,986,118","-6,489,713","-5,228,314","-2,774,943","-4,373,293","-5,566,220","-2,424,969",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,499,802","2,161,961","1,618,240","1,487,291","1,445,172","1,299,505","1,236,822","1,201,375","1,199,618","1,197,335","1,196,990","1,195,881","1,190,310","1,184,312","1,138,653","991,788","976,379","883,951","698,819","432,802",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,499,802","2,161,961","1,618,240","1,487,291","1,445,172","1,299,505","1,236,822","1,201,375","1,199,618","1,197,335","1,196,990","1,195,881","1,190,310","1,184,312","1,138,653","991,788","976,379","883,951","698,819","432,802",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),142.172%,66.368%,30.839%,23.799%,20.469%,8.533%,3.328%,0.459%,0.782%,1.100%,5.123%,20.578%,21.911%,33.979%,62.940%,129.155%,146.687%,126.322%,82.272%,14.547%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.233,-3.005,-3.688,-3.987,-5.361,-6.141,-7.441,-5.430,-5.120,-4.815,-4.436,-5.645,-2.888,-3.366,-5.699,-5.272,-2.842,-4.947,-7.965,-5.603,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.233,-3.005,-3.688,-3.987,-5.361,-6.141,-7.441,-5.430,-5.120,-4.815,-4.436,-5.645,-2.888,-3.366,-5.699,-5.272,-2.842,-4.947,-7.965,-5.603,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,185,925","-5,795,842","-5,297,891","-4,963,869","-4,735,202","-8,107,101","-6,932,437","-4,546,658","-4,522,674","-4,480,468","-4,071,698","-3,229,294","-2,646,095","-2,884,252","-5,556,983","-3,895,087","-2,016,926","-3,511,697","-4,528,940","-1,745,859",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.625,-2.681,-3.274,-3.338,-3.277,-6.239,-5.605,-3.785,-3.770,-3.742,-3.402,-2.700,-2.223,-2.435,-4.880,-3.927,-2.066,-3.973,-6.481,-4.034,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-4,322,166","-6,515,994","-5,994,047","-5,983,312","-7,782,602","-8,034,114","-9,260,538","-6,573,119","-6,164,216","-5,763,843","-5,303,966","-6,745,305","-3,432,436","-3,984,374","-6,485,453","-5,223,724","-2,771,879","-4,372,328","-5,570,873","-2,423,670",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,272","2,288","2,670","3,426","3,725","3,837","4,016","6,078","6,223","6,544","6,730","6,955","6,489","2,848","6,242","5,934","5,714","5,776","5,353","3,584",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,323,438","-6,518,282","-5,996,717","-5,986,738","-7,786,327","-8,037,951","-9,264,554","-6,579,197","-6,170,439","-5,770,387","-5,310,696","-6,752,260","-3,438,925","-3,987,222","-6,491,695","-5,229,658","-2,777,593","-4,378,104","-5,576,226","-2,427,254",Upgrade,Financials in USD,Fiscal year is January - December
