Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","46,792,000","32,672,000","16,368,000","8,585,000","3,542,000",Financials in USD,Fiscal year is January - December
Research & Development,"95,369,000","70,103,000","36,193,000","29,111,000","12,364,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"142,161,000","102,775,000","52,561,000","37,696,000","15,906,000",Financials in USD,Fiscal year is January - December
Operating Income,"-142,161,000","-102,775,000","-52,561,000","-37,696,000","-15,906,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-122,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"22,684,000","13,391,000","1,257,000",-,"168,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-110,688,000","-89,384,000","-51,304,000","-37,818,000","-15,738,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-138,000","236,000","17,000","231,000","138,000",Financials in USD,Fiscal year is January - December
Net Income,"-110,550,000","-89,620,000","-51,321,000","-38,049,000","-15,876,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"1,515,000","5,716,000","163,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-110,550,000","-89,620,000","-52,836,000","-43,765,000","-16,039,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,894,417","36,732,667","3,194,667","2,713,667","2,087,333",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,894,417","36,732,667","3,194,667","2,713,667","2,087,333",Financials in USD,Fiscal year is January - December
Shares Change (YoY),91.969%,1049.812%,17.725%,30.006%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.216,-2.440,-16.539,-16.128,-7.684,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.216,-2.440,-16.539,-16.128,-7.684,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-104,328,000","-81,655,000","-46,275,000","-33,366,000","-14,302,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.091,-2.223,-14.485,-12.296,-6.852,Financials in USD,Fiscal year is January - December
EBITDA,"-141,342,000","-102,459,000","-52,284,000","-37,624,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"819,000","316,000","277,000","72,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-142,161,000","-102,775,000","-52,561,000","-37,696,000","-15,906,000",Financials in USD,Fiscal year is January - December
