Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019 - 2015,,
Revenue,-,-,-,-,"196,000",-,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,-,-,-,-,"76,000",-,Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,-,-,-,-,"120,000",-,Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","7,287,000","6,684,000","8,275,000","6,581,000","6,663,000","8,464,000",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"8,722,000","4,593,000","9,933,000","5,559,000","4,173,000","15,974,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"16,009,000","11,277,000","18,208,000","12,140,000","10,836,000","24,438,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-16,009,000","-11,277,000","-18,208,000","-12,140,000","-10,716,000","-24,438,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,-,-,-,-,"-264,000","-247,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"972,000","911,000","246,000","77,000","107,000","336,000",Upgrade,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-6,000","-16,000","-72,000","-299,000","-676,000","-2,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"854,000","-2,728,000","10,000","5,344,000","-2,426,000","-1,162,000",Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-14,189,000","-13,110,000","-18,024,000","-7,018,000","-13,975,000","-25,513,000",Upgrade,Financials in USD,Fiscal year is April - March
Merger & Restructuring Charges,-,"-1,485,000","-33,508,000","-3,200,000",-,-,Upgrade,Financials in USD,Fiscal year is April - March
Asset Writedown,"-90,000","-90,000","-439,000","-249,000","-5,703,000",-,Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"-14,279,000","-14,685,000","-51,971,000","-10,467,000","-19,678,000","-25,513,000",Upgrade,Financials in USD,Fiscal year is April - March
Income Tax Expense,"-2,673,000","-1,832,000","-9,542,000","-648,000",-,-,Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"-11,606,000","-12,853,000","-42,429,000","-9,819,000","-19,678,000","-25,513,000",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"-11,606,000","-12,853,000","-42,429,000","-9,819,000","-19,678,000","-25,513,000",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"11,535,028","9,529,123","7,435,472","6,140,294","2,471,372","1,762,120",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"11,535,028","9,529,123","7,435,472","6,140,294","2,471,372","1,762,120",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),54.225%,28.158%,21.093%,148.457%,40.250%,55.795%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),-1.006,-1.349,-5.706,-1.599,-7.962,-14.479,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),-1.006,-1.349,-5.706,-1.599,-7.962,-14.479,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-11,837,000","-12,355,000","-15,930,000","-17,234,000","-14,388,000","-23,270,000",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-1.026,-1.297,-2.142,-2.807,-5.822,-13.206,Upgrade,Financials in USD,Fiscal year is April - March
Gross Margin,-,-,-,-,61.224%,-,Upgrade,Financials in USD,Fiscal year is April - March
Operating Margin,-,-,-,-,-5467.347%,-,Upgrade,Financials in USD,Fiscal year is April - March
Profit Margin,-,-,-,-,-10039.796%,-,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,-,-,-,-,-7340.816%,-,Upgrade,Financials in USD,Fiscal year is April - March
EBITDA,"-16,004,000","-11,266,000","-18,084,000","-11,216,000","-9,792,000","-22,118,000",Upgrade,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"5,000","11,000","124,000","924,000","924,000","2,320,000",Upgrade,Financials in USD,Fiscal year is April - March
EBIT,"-16,009,000","-11,277,000","-18,208,000","-12,140,000","-10,716,000","-24,438,000",Upgrade,Financials in USD,Fiscal year is April - March
