Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"97,000","120,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"52,000","77,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"45,000","43,000",-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,991,000","12,841,000","15,031,000","10,493,000","6,528,000","9,034,000",Financials in USD,Fiscal year is January - December
Research & Development,"60,356,000","38,038,000","34,354,000","26,435,000","22,433,000","20,885,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"81,347,000","50,879,000","49,385,000","36,928,000","28,961,000","29,919,000",Financials in USD,Fiscal year is January - December
Operating Income,"-81,302,000","-50,836,000","-49,385,000","-36,928,000","-28,961,000","-29,919,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,457,000","-1,531,000","-795,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,883,000","1,260,000","797,000","15,000","28,000","160,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,764,000","-6,818,000","133,000","-365,000","-16,000","-38,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-65,655,000","-56,394,000","-48,455,000","-38,735,000","-30,480,000","-30,592,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"2,751,000","-20,697,000","2,002,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-62,904,000","-77,091,000","-46,453,000","-38,735,000","-30,480,000","-30,592,000",Financials in USD,Fiscal year is January - December
Net Income,"-62,904,000","-77,091,000","-46,453,000","-38,735,000","-30,480,000","-30,592,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"6,067,000","17,180,000","17,180,000","14,486,000","10,422,000","7,876,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-68,971,000","-94,271,000","-63,633,000","-53,221,000","-40,902,000","-38,468,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"31,944,921","2,081,328","1,990,419","1,859,590","1,843,032","1,778,918",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"31,944,921","2,081,328","1,990,419","1,859,590","1,843,032","1,778,918",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1443.460%,4.567%,7.035%,0.898%,3.604%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.159,-45.294,-31.970,-28.620,-22.193,-21.624,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.159,-45.294,-31.970,-28.620,-22.193,-21.624,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-60,754,000","-43,182,000","-46,299,000","-33,513,000","-31,075,000","-27,827,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.902,-20.747,-23.261,-18.022,-16.861,-15.643,Financials in USD,Fiscal year is January - December
Gross Margin,46.392%,35.833%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-83816.495%,-42363.333%,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-71104.124%,-78559.167%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-62632.990%,-35985.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-80,810,000","-50,550,000","-48,933,000","-36,252,000","-28,191,000","-29,026,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"492,000","286,000","452,000","676,000","770,000","893,000",Financials in USD,Fiscal year is January - December
EBIT,"-81,302,000","-50,836,000","-49,385,000","-36,928,000","-28,961,000","-29,919,000",Financials in USD,Fiscal year is January - December
