Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,"105,033,000","113,450,000","102,290,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-9.040%,10.910%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,957,000","4,636,000","4,793,000",Financials in USD,Fiscal year is January - December
Gross Profit,"101,076,000","108,814,000","97,497,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","77,819,000","75,821,000","71,608,000",Financials in USD,Fiscal year is January - December
Research & Development,"12,880,000","13,780,000","16,686,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"90,699,000","89,601,000","88,294,000",Financials in USD,Fiscal year is January - December
Operating Income,"10,377,000","19,213,000","9,203,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,527,000","1,044,000","726,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-168,000","-1,314,000","-251,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,500,000","-1,500,000","-4,900,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,083,000","-8,965,000","3,734,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"7,153,000","8,478,000","8,512,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-2,881,000","-3,339,000",-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,000,000","1,000,000","900,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-77,832,000","-76,965,000","9,412,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"5,816,000","8,515,000","5,098,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-83,648,000","-85,480,000","4,314,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-5,174,000","-7,453,000","-2,012,000",Financials in USD,Fiscal year is January - December
Net Income,"-88,822,000","-92,933,000","2,302,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-88,822,000","-92,933,000","2,302,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"81,745,867","65,831,675","63,588,119",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"81,745,867","65,831,675","75,686,406",Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.555%,-13.020%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.087,-1.412,0.036,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.168,-1.412,0.030,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,227,000","17,375,000","5,692,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.027,0.264,0.075,Financials in USD,Fiscal year is January - December
Gross Margin,96.233%,95.914%,95.314%,Financials in USD,Fiscal year is January - December
Operating Margin,9.880%,16.935%,8.997%,Financials in USD,Fiscal year is January - December
Profit Margin,-84.566%,-81.915%,2.250%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2.120%,15.315%,5.565%,Financials in USD,Fiscal year is January - December
EBITDA,"11,802,000","20,327,000","10,332,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,11.236%,17.917%,10.101%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,425,000","1,114,000","1,129,000",Financials in USD,Fiscal year is January - December
EBIT,"10,377,000","19,213,000","9,203,000",Financials in USD,Fiscal year is January - December
EBIT Margin,9.880%,16.935%,8.997%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,54.165%,Financials in USD,Fiscal year is January - December
