Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","1,695,550","1,367,169","2,642,749","1,775,786","2,146,045","2,284,961","3,411,506","2,256,685","2,725,204","2,425,242","2,941,334","2,089,816","2,716,892","2,668,657","2,532,808","2,325,634","2,448,489","1,825,074","1,549,606","1,178,353",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,762,709","7,136,679","2,539,568","5,442,808","8,518,520","11,880,669","9,797,659","7,516,126","5,740,122","15,701,955","4,311,134","6,910,075","5,800,464","4,185,942","3,498,655","2,627,096","3,782,505","2,950,340","2,637,331","1,063,930",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,458,259","8,503,848","5,182,317","7,218,594","10,664,565","14,165,630","13,209,165","9,772,811","8,465,326","18,127,197","7,252,468","8,999,891","8,517,356","6,854,599","6,031,463","4,952,730","6,230,994","4,775,414","4,186,937","2,242,283",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,458,259","-8,503,848","-5,182,317","-7,218,594","-10,664,565","-14,165,630","-13,209,165","-9,772,811","-8,465,326","-18,127,197","-7,252,468","-8,999,891","-8,517,356","-6,854,599","-6,031,463","-4,952,730","-6,230,994","-4,775,414","-4,186,937","-2,242,283",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-474,570",-,"-4,349","-2,411","-2,381","-2,351","-2,322","-2,512","-2,265","-3,178","-2,209","-2,182","-2,131","-2,492","-2,054","-15,070","-16,159",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"49,536",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,443,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-2,567,044",-,-,-,-,-,-,-,-,-,-,-,-,"19,158","-46,433","-69,095","-9,680","-5,214",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,932,829","-8,454,312","-7,753,710","-7,221,005","-10,666,946","-14,167,981","-13,211,487","-9,775,323","-8,467,591","-18,130,375","-7,254,677","-9,002,073","-8,519,487","-6,857,091","-6,033,517","-4,948,642","-6,293,586","-4,844,509","-4,196,617","-2,247,054",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,"-1,870,924",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"66,881","4,529,100","1,930,652","-1,057,645","140,000","88,434","-48,434","80,000","-80,000","90,000","324,992","-720,000","-749,986","-810,014","-30,000","-10,000",-,-,"-30,000","86,340",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,865,948","-3,925,212","-5,823,058","-11,468,650","-10,526,946","-14,079,547","-13,259,921","-9,695,323","-8,547,591","-19,911,299","-6,929,685","-9,722,073","-9,269,473","-7,667,105","-6,063,517","-4,958,642","-6,293,586","-4,844,509","-4,226,617","-2,160,714",Upgrade,Financials in USD,Fiscal year is January - December
