Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","29,869,000","26,662,000","16,705,000","5,756,000","1,295,000","633,000",Financials in USD,Fiscal year is January - December
Research & Development,"106,002,000","106,683,000","45,908,000","10,014,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"135,871,000","133,345,000","62,613,000","15,770,000","1,295,000","633,000",Financials in USD,Fiscal year is January - December
Operating Income,"-135,871,000","-133,345,000","-62,613,000","-15,770,000","-1,295,000","-633,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-4,044,000","-2,392,000","-3,414,000","-2,844,000","-29,000","-9,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,442,000","9,706,000","3,875,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,697,000","2,465,000","-43,688,000","-46,138,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-128,776,000","-123,566,000","-105,840,000","-64,752,000","-1,324,000","-642,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-51,469,000",-,"-779,000","-31,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-150,280,000","-123,566,000","-159,809,000","-102,408,000","-2,103,000","-673,000",Financials in USD,Fiscal year is January - December
Net Income,"-150,280,000","-123,566,000","-159,809,000","-102,408,000","-2,103,000","-673,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-150,280,000","-123,566,000","-159,809,000","-102,408,000","-2,103,000","-673,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,665,207","40,598,482","27,147,314","5,619,182","4,367,682","2,055,873",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,665,207","40,598,482","27,147,314","5,619,182","4,367,682","2,055,873",Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.708%,49.549%,383.119%,28.654%,112.449%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.088,-3.044,-5.887,-18.225,-0.481,-0.327,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.088,-3.044,-5.887,-18.225,-0.481,-0.327,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-113,359,000","-97,531,000","-66,003,000","-7,340,000","-1,272,000","-474,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.329,-2.402,-2.431,-1.306,-0.291,-0.231,Financials in USD,Fiscal year is January - December
EBITDA,"-134,042,000","-132,466,000","-62,612,000","-15,767,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,829,000","879,000","1,000","3,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-135,871,000","-133,345,000","-62,613,000","-15,770,000","-1,295,000","-633,000",Financials in USD,Fiscal year is January - December
