Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"49,999,000","20,129,000","14,249,000","18,448,000","19,584,000","11,942,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),143.304%,41.266%,-22.761%,-5.801%,63.993%,56.534%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"75,297,000","85,077,000","67,215,000","80,943,000","53,133,000","46,312,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-25,298,000","-64,948,000","-52,966,000","-62,495,000","-33,549,000","-34,370,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,454,000","19,980,000","20,189,000","19,179,000","19,736,000","16,715,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,454,000","19,980,000","20,189,000","19,179,000","19,736,000","16,715,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-45,752,000","-84,928,000","-73,155,000","-81,674,000","-53,285,000","-51,085,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-51,000","-317,000","-687,000","-898,000","-786,000","-877,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,454,000","5,293,000","1,633,000","27,000","400,000","1,587,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,281,000","11,506,000","7,524,000","6,881,000","9,589,000","7,338,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-28,068,000","-68,446,000","-64,685,000","-75,664,000","-44,082,000","-43,037,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-12,938,000","-12,766,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,207,000","-81,212,000","-64,685,000","-75,664,000","-44,082,000","-43,037,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"164,000","368,000","230,000","1,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-43,371,000","-81,580,000","-64,915,000","-75,665,000","-44,082,000","-43,037,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-43,371,000","-81,580,000","-64,915,000","-75,665,000","-44,082,000","-43,037,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,213,471","9,452,656","6,551,296","3,283,359","2,603,911","1,785,994",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,213,471","9,452,656","6,551,296","3,283,359","2,603,911","1,785,994",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),44.530%,44.287%,99.530%,26.093%,45.796%,1853.230%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.551,-8.630,-9.909,-23.045,-16.929,-24.097,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.551,-8.630,-9.909,-23.045,-16.929,-24.097,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-67,878,000","-61,683,000","-25,014,000","-78,597,000","-41,710,000","-43,730,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.558,-6.525,-3.818,-23.938,-16.018,-24.485,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-50.597%,-,-,-,-171.308%,-287.808%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-91.506%,-421.919%,-513.404%,-442.725%,-272.084%,-427.776%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-86.744%,-405.286%,-455.576%,-410.153%,-225.092%,-360.384%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-135.759%,-306.438%,-175.549%,-426.046%,-212.980%,-366.187%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-42,420,000","-81,376,000","-69,553,000","-77,034,000","-49,135,000","-48,018,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-84.842%,-,-,-,-250.893%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,332,000","3,552,000","3,602,000","4,640,000","4,150,000","3,067,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-45,752,000","-84,928,000","-73,155,000","-81,674,000","-53,285,000","-51,085,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-91.506%,-,-,-,-272.084%,-,Upgrade,Financials in USD,Fiscal year is January - December
