Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"3,386,000","19,943,000","16,401,000",-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-86.838%,21.596%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"47,486,000","38,906,000","50,956,000","33,975,000",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-44,100,000","-18,963,000","-34,555,000","-33,975,000",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,108,000","21,540,000","21,501,000","16,112,000","5,763,000","3,596,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"16,641,000","6,340,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"22,108,000","21,540,000","21,501,000","16,112,000","22,404,000","9,936,000",Financials in USD,Fiscal year is January - December
Operating Income,"-66,208,000","-40,503,000","-56,056,000","-50,087,000","-22,404,000","-9,936,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-4,399,000","-3,139,000",-,-,-,"-372,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,339,000","7,416,000","1,908,000","104,000","63,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,703,000","-1,142,000","338,000",-,"7,301,000","60,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-62,118,000","-37,368,000","-53,810,000","-49,983,000","-15,040,000","-10,248,000",Financials in USD,Fiscal year is January - December
Net Income,"-62,118,000","-37,368,000","-53,810,000","-49,983,000","-15,040,000","-10,248,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"151,942,000","13,177,000","7,981,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-62,118,000","-37,368,000","-53,810,000","-201,925,000","-28,217,000","-18,229,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,355,569","35,646,572","28,863,935","18,455,000","1,005,000","639,015",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,355,569","35,646,572","28,863,935","18,455,000","1,005,000","639,015",Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.956%,23.499%,56.402%,1736.318%,57.273%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.502,-1.048,-1.864,-10.941,-28.077,-28.527,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.534,-1.048,-1.864,-10.941,-28.077,-28.527,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,850,000","-33,381,000","-44,207,000","-43,374,000","-19,184,000","-9,808,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.133,-0.936,-1.532,-2.350,-19.089,-15.349,Financials in USD,Fiscal year is January - December
Gross Margin,-,-95.086%,-210.688%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1955.346%,-203.094%,-341.784%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-1834.554%,-187.374%,-328.090%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1383.639%,-167.382%,-269.538%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-64,376,000","-38,739,000","-54,952,000","-49,871,000","-22,254,000","-9,911,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-194.249%,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,832,000","1,764,000","1,104,000","216,000","150,000","25,000",Financials in USD,Fiscal year is January - December
EBIT,"-66,208,000","-40,503,000","-56,056,000","-50,087,000","-22,404,000","-9,936,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-203.094%,-,-,-,-,Financials in USD,Fiscal year is January - December
