Fiscal Quarter,Q3 2024,Q3 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023",,
"Selling, General & Admin","783,459","1,098,079",Financials in USD,Fiscal year is January - December
Research & Development,"2,946,769","3,463,198",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,730,228","4,561,277",Financials in USD,Fiscal year is January - December
Operating Income,"-3,730,228","-4,561,277",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,002,886",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"132,767","20,294",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"21,229",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,579,118","-4,540,983",Financials in USD,Fiscal year is January - December
Net Income,"-5,579,118","-4,540,983",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"965,177",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,544,295","-4,540,983",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"76,366,713",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"76,366,713",-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.086,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.086,-,Financials in USD,Fiscal year is January - December
EBITDA,"-3,697,203","-4,468,004",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"33,025","93,273",Financials in USD,Fiscal year is January - December
EBIT,"-3,730,228","-4,561,277",Financials in USD,Fiscal year is January - December
