Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"2,918,000","2,130,000","1,069,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),57.645%,99.252%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"184,380,000","213,790,000","179,289,000","127,026,000","65,030,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-181,462,000","-211,660,000","-178,220,000","-127,026,000","-65,030,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","51,431,000","49,975,000","49,736,000","38,297,000","18,250,000","9,241,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"35,257,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"51,431,000","49,975,000","49,736,000","38,297,000","18,250,000","44,498,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-232,893,000","-261,635,000","-227,956,000","-165,323,000","-83,280,000","-44,498,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,118,000","17,743,000","7,035,000","159,000","1,925,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,989,000","-9,160,000","-2,894,000","624,000",-,"1,059,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-219,764,000","-253,052,000","-223,815,000","-164,540,000","-81,355,000","-43,439,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,826,000","-1,826,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,989,000","9,140,000","2,713,000","-624,000",-,"306,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-219,601,000","-245,738,000","-221,102,000","-165,164,000","-81,355,000","-43,133,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"242,000","678,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-219,843,000","-246,416,000","-221,102,000","-165,164,000","-81,355,000","-43,133,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-219,843,000","-246,416,000","-221,102,000","-165,164,000","-81,355,000","-43,133,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"60,280,213","52,311,958","41,543,954","33,479,782","30,748,280","8,995,410",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"60,280,213","52,311,958","41,543,954","33,479,782","30,748,280","8,995,410",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),24.541%,25.920%,24.087%,8.883%,241.822%,1953.400%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.647,-4.711,-5.322,-4.933,-2.646,-4.795,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.647,-4.711,-5.322,-4.933,-2.646,-4.795,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-172,622,000","-204,612,000","-16,059,000","-138,226,000","-85,383,000","-47,453,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.864,-3.911,-0.387,-4.129,-2.777,-5.275,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-7981.254%,-12283.333%,-21324.228%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-7534.030%,-11568.826%,-20683.068%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-5915.764%,-9606.197%,-1502.245%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-223,953,000","-253,358,000","-221,881,000","-160,839,000","-82,255,000","-43,901,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,940,000","8,277,000","6,075,000","4,484,000","1,025,000","597,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-232,893,000","-261,635,000","-227,956,000","-165,323,000","-83,280,000","-44,498,000",Upgrade,Financials in USD,Fiscal year is January - December
