Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"659,000","9,160,000","15,618,000","30,985,000","9,194,000","13,753,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-95.276%,-41.350%,-49.595%,237.013%,-33.149%,1289.192%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"40,569,000","59,652,000","64,321,000","47,108,000","44,847,000","24,938,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-39,910,000","-50,492,000","-48,703,000","-16,123,000","-35,653,000","-11,185,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","24,377,000","24,925,000","22,201,000","18,015,000","8,866,000","7,307,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"24,377,000","24,925,000","22,201,000","18,015,000","8,866,000","7,307,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-64,287,000","-75,417,000","-70,904,000","-34,138,000","-44,519,000","-18,492,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,076,000","7,111,000","2,149,000","23,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"626,000","-22,000","-10,000",-,"263,000","1,675,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-59,662,000","-68,328,000","-68,765,000","-34,115,000","-44,256,000","-16,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-63,000","-162,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-59,599,000","-68,166,000","-68,765,000","-34,115,000","-44,256,000","-16,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-59,599,000","-68,166,000","-68,765,000","-34,115,000","-44,256,000","-16,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,161,926","41,735,081","36,188,420","27,983,359","2,765,494","2,648,263",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,161,926","41,735,081","36,188,420","27,983,359","2,765,494","2,648,263",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),24.029%,15.327%,29.321%,911.876%,4.427%,55.372%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.237,-1.633,-1.900,-1.219,-16.003,-6.350,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.237,-1.633,-1.900,-1.219,-16.003,-6.350,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-61,825,000","-80,157,000","-75,540,000","-62,012,000","-38,592,000","47,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.284,-1.921,-2.087,-2.216,-13.955,17.978,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-52.035%,-,-81.328%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-9755.235%,-823.330%,-453.989%,-110.176%,-484.218%,-134.458%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-9043.854%,-744.170%,-440.293%,-110.102%,-481.357%,-122.279%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-9381.639%,-875.076%,-483.673%,-200.136%,-419.752%,346.186%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-63,581,000","-74,397,000","-70,153,000","-33,594,000","-44,219,000","-18,249,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-108.420%,-,-132.691%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"706,000","1,020,000","751,000","544,000","300,000","243,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-64,287,000","-75,417,000","-70,904,000","-34,138,000","-44,519,000","-18,492,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-110.176%,-,-134.458%,Upgrade,Financials in USD,Fiscal year is January - December
