Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"3,313,984","27,644,000","-221,563,000","88,026,000","1,542,668,000","30,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-94.294%,5042.227%,-44.218%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"27,237,000","46,432,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"3,313,984","27,644,000","-248,800,000","41,594,000","1,542,668,000","30,000,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","67,003,010","453,017,000","815,766,000","899,943,000","402,409,000","654,553,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"118,021,315","810,646,000","904,901,000","1,212,958,000","984,689,000","840,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"185,024,325","1,263,663,000","1,720,667,000","2,112,901,000","1,387,098,000","1,494,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-181,710,341","-1,236,019,000","-1,969,467,000","-2,071,307,000","155,570,000","-1,464,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-102,930","-722,000","-9,000",-,"-957,000","-2,991,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,677,441","51,749,000","26,908,000","21,333,000","24,228,000","30,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-1,805,669","-80,019,000","-437,465,000","-367,883,000","-108,587,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-8,654,084","-60,704,000","-175,391,000","25,373,000","-22,126,000","1,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,629,808","4,039,000","62,353,000","27,429,000","16,132,000","6,114,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-181,965,774","-1,321,676,000","-2,493,071,000","-2,365,055,000","64,260,000","-1,429,656,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-23,176,875","-162,574,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"3,772,333","26,461,000","-13,549,000","30,360,000","11,288,000","745,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-1,126,953","-7,905,000",-,-,"407,598,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-23,039,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-202,497,268","-1,465,694,000","-2,506,620,000","-2,334,695,000","483,146,000","-1,451,950,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"697,000","-3,154,000","12,231,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-82,291,268","-1,465,694,000","-2,507,317,000","-2,331,541,000","470,915,000","-1,451,950,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"33,051,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-82,291,268","-1,465,694,000","-2,507,317,000","-2,331,541,000","470,915,000","-1,485,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"81,655,556","83,227,761","82,516,214","75,959,589","58,329,923","3,209,230",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"81,655,556","83,227,761","82,516,214","75,959,589","68,361,588","3,209,230",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.767%,0.862%,8.632%,11.114%,2030.155%,13.051%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.008,-17.611,-30.386,-30.694,8.073,-462.728,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.009,-17.618,-30.386,-30.705,6.900,-462.737,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-1,316,301,000","-1,148,635,000","-1,003,025,000","425,550,000","-880,223,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-15.816,-13.920,-13.205,6.225,-274.279,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,-,47.252%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-5483.139%,-4471.202%,-,-2353.063%,10.084%,-4883.227%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2483.152%,-5302.033%,-,-2648.696%,30.526%,-4950.003%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-4761.616%,-,-1139.464%,27.585%,-2934.077%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-178,340,102","-1,212,070,000","-1,944,127,000","-2,057,531,000","168,313,000","-1,455,137,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,10.911%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,370,239","23,949,000","25,340,000","13,776,000","12,743,000","9,831,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-181,710,341","-1,236,019,000","-1,969,467,000","-2,071,307,000","155,570,000","-1,464,968,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,10.084%,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,2.531%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,313,984","27,644,000","-221,563,000","88,026,000","1,542,668,000","30,000,000",Upgrade,Financials in USD,Fiscal year is January - December
