Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Revenue,"4,902,865","4,902,865","1,804,705","765,193","145,776","2,518,566",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),171.671%,171.671%,135.850%,424.910%,-94.212%,5.493%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"1,566,068","1,566,068","64,626","241,691","810,836","688,836",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"3,336,797","3,336,797","1,740,079","523,502","-665,060","1,829,730",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","6,585,374","6,585,374","5,148,328","3,940,925","6,382,376","4,041,629",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"5,375,461","5,375,461","2,592,145","657,715","1,367,054","1,178,685",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"-3,408,199","-3,408,199","-2,591,498","-957,725","-455,510","-318,770",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"8,552,636","8,552,636","5,148,975","3,640,915","7,293,920","4,901,544",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-5,215,839","-5,215,839","-3,408,896","-3,117,413","-7,958,980","-3,071,814",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-7,576","-7,576","-9,652","-6,184","-13,761","-21,631",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"327,756","327,756","116,323","21,785","9,204",-,Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Equity Investments,"-1,456,019","-1,456,019","-324,340",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-27,603","-27,603","363,724","247,558","-582,528","11,335",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-6,379,281","-6,379,281","-3,262,841","-2,854,254","-8,546,065","-3,082,110",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"-557,676","-557,676","-523,666",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,"161,600","154,904",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-6,936,957","-6,936,957","-3,786,507","-2,854,254","-8,384,465","-2,927,206",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-6,936,957","-6,936,957","-3,786,507","-2,854,254","-8,384,465","-2,927,206",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-6,936,957","-6,936,957","-3,786,507","-2,854,254","-8,384,465","-2,927,206",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"227,860,641","227,860,641","227,798,346","227,579,684","221,062,229","176,393,354",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"227,860,641","227,860,641","227,798,346","227,579,684","221,062,229","176,393,354",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),0.027%,0.027%,0.096%,2.948%,25.323%,21.869%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.030,-0.030,-0.017,-0.013,-0.038,-0.017,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.030,-0.030,-0.017,-0.013,-0.038,-0.017,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-5,880,334","-5,880,334","-2,602,934","-3,157,841","-4,085,377","-3,148,192",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.026,-0.026,-0.011,-0.014,-0.018,-0.018,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,68.058%,68.058%,96.419%,68.414%,-,72.650%,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-106.383%,-106.383%,-188.889%,-407.402%,-5459.733%,-121.967%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-141.488%,-141.488%,-209.813%,-373.011%,-5751.609%,-116.225%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-119.937%,-119.937%,-144.230%,-412.686%,-2802.503%,-124.999%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-5,209,924","-5,209,924","-3,401,562","-3,090,800","-7,953,942","-3,053,390",Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA Margin,-106.263%,-106.263%,-188.483%,-,-,-121.235%,Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"5,915","5,915","7,334","26,613","5,038","18,424",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-5,215,839","-5,215,839","-3,408,896","-3,117,413","-7,958,980","-3,071,814",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT Margin,-106.383%,-106.383%,-188.889%,-,-,-121.967%,Upgrade,Financials in AUD,Fiscal year is July - June
