Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"2,547,285","2,355,580","1,221,059","583,646","534,229","230,964","125,467","20,309","961,943","1,556,623",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),108.613%,303.597%,128.565%,152.700%,325.792%,1037.249%,-86.957%,-98.695%,-31.738%,59.126%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"790,836","775,232","-91,100","155,726","-46,234","287,925","597,215","213,621","253,638","435,198",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"1,756,449","1,580,348","1,312,159","427,920","580,463","-56,961","-471,748","-193,312","708,305","1,121,425",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","3,903,291","2,682,083","2,827,656","2,320,672","2,024,930","1,915,995","4,177,162","2,205,214","1,215,651","2,825,978",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"2,722,375","2,653,086","1,070,510","1,521,635","290,437","367,278","476,479","890,575","417,264","761,421",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"-1,507,895","-1,900,304","-1,045,484","-1,546,014","-688,375","-430,950","-238,261","-217,249","-23,266","-295,504",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"5,117,771","3,434,865","2,852,682","2,296,293","1,626,992","1,852,323","2,299,367","4,994,553","2,216,649","2,684,895",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-3,361,322","-1,854,517","-1,540,523","-1,868,373","-1,046,529","-1,909,284","-2,771,115","-5,187,865","-1,508,344","-1,563,470",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-3,569","-4,007","-5,151","-4,501","-4,880","-1,304","-5,821","-7,940","-19,544","-2,346",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"174,248","153,508","62,251","54,072","11,439","10,346","2,875","6,329",-,259,Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Equity Investments,"-1,253,364","-202,655","-232,604","-91,736",-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"137,908","-165,511","431,569","-67,845","158,770","88,788","89,968","-672,496","-32,995","44,330",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-4,306,099","-2,073,182","-1,284,458","-1,978,383","-881,200","-1,811,454","-2,684,093","-5,861,972","-1,560,883","-1,521,227",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"-557,676",-,"-523,666",-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,"-161,600",-,"38,400","123,200","154,904",-,Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-4,863,775","-2,073,182","-1,808,124","-1,978,383","-1,042,800","-1,811,454","-2,645,693","-5,738,772","-1,405,979","-1,521,227",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-4,863,775","-2,073,182","-1,808,124","-1,978,383","-1,042,800","-1,811,454","-2,645,693","-5,738,772","-1,405,979","-1,521,227",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-4,863,775","-2,073,182","-1,808,124","-1,978,383","-1,042,800","-1,811,454","-2,645,693","-5,738,772","-1,405,979","-1,521,227",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"227,922,936","227,798,346","227,798,346","227,798,346","227,794,780","227,364,588","223,336,347","218,788,111","177,290,048","175,496,660",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"227,922,936","227,798,346","227,798,346","227,798,346","227,794,780","227,364,588","223,336,347","218,788,111","177,290,048","175,496,660",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),0.055%,-,0.002%,0.191%,1.996%,3.920%,25.972%,24.668%,15.788%,28.696%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.021,-0.009,-0.008,-0.009,-0.005,-0.008,-0.012,-0.026,-0.008,-0.009,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.021,-0.009,-0.008,-0.009,-0.005,-0.008,-0.012,-0.026,-0.008,-0.009,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-3,876,498","-2,003,836","-1,603,850","-999,084","-827,904","-2,329,937","-1,369,342","-2,716,035","-1,583,297","-1,564,895",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.017,-0.009,-0.007,-0.004,-0.004,-0.010,-0.006,-0.012,-0.009,-0.009,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-131.957%,-78.729%,-126.163%,-320.121%,-195.895%,-826.659%,-2208.641%,-25544.660%,-156.802%,-100.440%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-190.940%,-88.012%,-148.078%,-338.970%,-195.197%,-784.301%,-2108.676%,-28257.285%,-146.160%,-97.726%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-152.182%,-85.068%,-131.349%,-171.180%,-154.972%,-1008.788%,-1091.396%,-13373.554%,-164.594%,-100.531%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-3,359,074","-1,850,850","-1,535,523","-1,866,039","-1,044,380","-1,906,765","-7,953,942",-,"-1,531,383","-1,522,007",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"2,248","3,667","5,000","2,334","2,149","2,519",-,-,"-23,039","41,463",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-3,361,322","-1,854,517","-1,540,523","-1,868,373","-1,046,529","-1,909,284","-2,771,115","-5,187,865","-1,508,344","-1,563,470",Upgrade,Financials in AUD,Fiscal year is July - June
