Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,"316,952","2,079,961","2,311,535","1,919,709",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-84.762%,-10.018%,20.411%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"158,122","1,153,073","1,280,325","1,222,970",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"158,830","926,888","1,031,210","696,739",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,768,562","16,759,602","15,606,529","8,271,998","3,109,978","2,708,891",Financials in USD,Fiscal year is January - December
Research & Development,"45,017,405","41,624,018","36,267,116","26,540,959","15,003,786","4,278,862",Financials in USD,Fiscal year is January - December
Operating Expenses,"61,815,234","58,412,887","51,903,698","34,812,957","18,113,764","6,987,753",Financials in USD,Fiscal year is January - December
Operating Income,"-61,815,234","-58,412,887","-51,744,868","-33,886,069","-17,082,554","-6,291,014",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-351,302",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,932,204","3,606,996","1,014,456","169,899","42,656","57,660",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"207,293","316,686","45,462","3,177",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-58,675,737","-54,489,205","-50,684,950","-33,712,993","-17,039,898","-6,584,656",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"607,122","1,017,583","171,382","-130,240",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-1,124,792",Financials in USD,Fiscal year is January - December
Pretax Income,"-58,068,615","-53,471,622","-50,513,568","-33,843,233","-17,039,898","-7,709,448",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-307,485",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-58,068,615","-53,471,622","-50,513,568","-33,535,748","-17,039,898","-7,709,448",Financials in USD,Fiscal year is January - December
Net Income to Common,"-58,068,615","-53,471,622","-50,513,568","-33,535,748","-17,039,898","-7,709,448",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,536,807","28,416,558","26,386,864","13,612,677","4,950,129","4,950,135",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,536,807","28,416,558","26,386,864","13,612,677","4,950,129","4,950,135",Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.637%,7.692%,93.840%,174.996%,-0.000%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.966,-1.882,-1.914,-2.464,-3.442,-1.557,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.966,-1.882,-1.914,-2.464,-3.442,-1.557,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-52,510,696","-49,311,380","-44,843,748","-30,911,668","-14,674,240","-4,463,011",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.778,-1.735,-1.699,-2.271,-2.964,-0.902,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,50.112%,44.563%,44.611%,36.294%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-16325.774%,-1629.168%,-739.013%,-327.707%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-15937.293%,-1612.326%,-737.168%,-401.595%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-14148.435%,-1486.166%,-634.827%,-232.484%,Financials in USD,Fiscal year is January - December
EBITDA,"-61,426,522","-58,060,804","-51,467,616","-33,840,602","-17,058,226","-6,272,935",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"388,712","352,083","277,252","45,467","24,328","18,079",Financials in USD,Fiscal year is January - December
EBIT,"-61,815,234","-58,412,887","-51,744,868","-33,886,069","-17,082,554","-6,291,014",Financials in USD,Fiscal year is January - December
