Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"50,559,000","18,755,000","30,269,000","15,921,000","5,926,000","22,354,000","9,796,000","37,648,000","15,060,000","17,215,000","102,907,000","15,727,000","6,443,000","5,189,000","7,403,000","9,446,000","7,871,000","6,896,000","7,040,000","4,384,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),753.172%,-16.100%,208.993%,-57.711%,-60.651%,29.852%,-90.481%,139.384%,133.742%,231.759%,1290.072%,66.494%,-18.143%,-24.753%,5.156%,115.465%,55.676%,28.083%,94.153%,-,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"38,906,000","32,621,000","32,108,000","33,267,000","30,498,000","24,035,000","27,581,000","27,846,000","28,572,000","25,216,000","25,144,000","22,961,000","21,225,000","20,340,000","23,049,000","20,849,000","17,485,000","12,005,000","12,246,000","12,127,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"11,653,000","-13,866,000","-1,839,000","-17,346,000","-24,572,000","-1,681,000","-17,785,000","9,802,000","-13,512,000","-8,001,000","77,763,000","-7,234,000","-14,782,000","-15,151,000","-15,646,000","-11,403,000","-9,614,000","-5,109,000","-5,206,000","-7,743,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","11,156,000","10,128,000","11,642,000","10,373,000","8,881,000","9,358,000","9,586,000","9,741,000","8,422,000","8,683,000","9,278,000","8,840,000","8,266,000","8,271,000","8,431,000","8,698,000","9,215,000","10,076,000","6,188,000","4,609,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,-,"2,595,000",-,-,-,"3,282,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-17,000","-25,000","-12,000","-5,000","-186,000","-6,000","-941,000","16,000","-9,000","-27,000","-7,000","-14,000","-47,000","-26,000","-239,000","-71,000","-32,000","-86,000","-113,000","-70,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"11,139,000","12,698,000","11,630,000","10,368,000","8,695,000","12,634,000","8,645,000","9,757,000","8,413,000","8,656,000","9,271,000","8,826,000","8,219,000","8,245,000","8,192,000","8,627,000","9,183,000","9,990,000","6,075,000","4,539,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"514,000","-26,564,000","-13,469,000","-27,714,000","-33,267,000","-14,315,000","-26,430,000","45,000","-21,925,000","-16,657,000","68,492,000","-16,060,000","-23,001,000","-23,396,000","-23,838,000","-20,030,000","-18,797,000","-15,099,000","-11,281,000","-12,282,000",Upgrade,Financials in EUR,Fiscal year is January - December
