Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","2,732,000","3,533,000","3,742,000","3,076,000","3,383,000","3,581,000","3,470,000","3,876,000","3,144,000","3,675,000","3,764,000","3,162,000","2,041,000","985,000","1,118,000","826,000","624,000","1,090,000","639,000","638,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,309,000","5,156,000","4,903,000","4,522,000","3,786,000","4,134,000","4,385,000","3,922,000","4,255,000","3,504,000","2,381,000","2,687,000","1,350,000","2,065,000","1,245,000","1,485,000","1,057,000","1,784,000","1,052,000","715,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"330,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,041,000","8,689,000","8,645,000","7,928,000","7,169,000","7,715,000","7,855,000","7,798,000","7,399,000","7,179,000","6,145,000","5,849,000","3,391,000","3,050,000","2,363,000","2,311,000","1,681,000","2,874,000","1,691,000","1,353,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,041,000","-8,689,000","-8,645,000","-7,928,000","-7,169,000","-7,715,000","-7,855,000","-7,798,000","-7,399,000","-7,179,000","-6,145,000","-5,849,000","-3,391,000","-3,050,000","-2,363,000","-2,311,000","-1,681,000","-2,874,000","-1,691,000","-1,353,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"23,000","60,000","83,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"330,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,018,000","-8,629,000","-8,562,000","-7,598,000","-7,169,000","-7,715,000","-7,855,000","-7,798,000","-7,399,000","-7,179,000","-6,145,000","-5,849,000","-3,391,000","-3,050,000","-2,363,000","-2,311,000","-1,681,000","-2,874,000","-1,691,000","-1,353,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,068,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
