Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,"1,568,000","1,634,000","1,315,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),19.240%,24.259%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"190,960,000","130,133,000","101,603,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-189,392,000","-128,499,000","-100,288,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","113,943,000","24,248,000","15,035,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"113,943,000","24,248,000","15,035,000",Financials in USD,Fiscal year is January - December
Operating Income,"-303,335,000","-152,747,000","-115,323,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-1,634,000","-1,634,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-143,000","-580,000","1,000",Financials in USD,Fiscal year is January - December
Pretax Income,"1,728,228,000","-154,961,000","-115,322,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,000","3,000","3,000",Financials in USD,Fiscal year is January - December
Net Income,"1,728,230,000","-154,964,000","-115,325,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"1,728,230,000","-154,964,000","-115,325,000",Financials in USD,Fiscal year is January - December
Free Cash Flow,"-149,231,000","-133,600,000","-91,497,000",Financials in USD,Fiscal year is January - December
Operating Margin,-19345.344%,-9348.042%,-8769.810%,Financials in USD,Fiscal year is January - December
Profit Margin,110218.750%,-9483.721%,-8769.962%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-9517.283%,-8176.255%,-6957.947%,Financials in USD,Fiscal year is January - December
EBITDA,"-301,441,000","-151,556,000","-114,098,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,894,000","1,191,000","1,225,000",Financials in USD,Fiscal year is January - December
EBIT,"-303,335,000","-152,747,000","-115,323,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,568,000","1,634,000","1,315,000",Financials in USD,Fiscal year is January - December
