Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","8,568,029","8,756,767","8,586,249","5,205,955","944,248","542,556",Financials in USD,Fiscal year is January - December
Research & Development,"6,805,786","7,621,707","6,324,657","2,523,153","2,655,017","2,089,150",Financials in USD,Fiscal year is January - December
Operating Expenses,"15,373,815","16,378,474","14,910,906","7,729,108","3,599,265","2,631,706",Financials in USD,Fiscal year is January - December
Operating Income,"-15,373,815","-16,378,474","-14,910,906","-7,729,108","-3,599,265","-2,631,706",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"480,055","955,003","588,108","17,722","15,114","66,499",Financials in USD,Fiscal year is January - December
Pretax Income,"-14,893,760","-15,423,471","-14,322,798","-7,711,386","-3,584,151","-2,565,207",Financials in USD,Fiscal year is January - December
Net Income,"-14,893,760","-15,423,471","-14,322,798","-7,711,386","-3,584,151","-2,565,207",Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,893,760","-15,423,471","-14,322,798","-7,711,386","-3,584,151","-2,565,207",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,724,734","8,401,047","8,262,119","4,090,599","1,944,672","732,635",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,724,734","8,401,047","8,262,119","4,090,599","1,944,672","732,635",Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.251%,1.682%,101.978%,110.349%,165.435%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.707,-1.836,-1.734,-1.885,-1.843,-3.501,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.707,-1.836,-1.734,-1.885,-1.843,-3.501,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,529,386","-13,405,315","-13,078,347","-11,294,389","-3,324,628","-2,134,490",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.321,-1.596,-1.583,-2.761,-1.710,-2.913,Financials in USD,Fiscal year is January - December
EBITDA,"-15,372,760","-16,377,190","-14,909,125","-7,727,705","-3,598,413","-2,631,351",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,055","1,284","1,781","1,403",852,355,Financials in USD,Fiscal year is January - December
EBIT,"-15,373,815","-16,378,474","-14,910,906","-7,729,108","-3,599,265","-2,631,706",Financials in USD,Fiscal year is January - December
