Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,182,000,000","1,093,000,000","901,000,000","791,000,000","647,000,000","785,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),13.436%,21.310%,13.906%,22.257%,-17.580%,-21.891%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"208,000,000","186,000,000","159,000,000","127,000,000","92,000,000","140,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"974,000,000","907,000,000","742,000,000","664,000,000","555,000,000","645,000,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","572,000,000","543,000,000","461,000,000","425,000,000","427,000,000","390,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"105,000,000","106,000,000","72,000,000","52,000,000","40,000,000","53,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-2,000,000","-2,000,000","-2,000,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"675,000,000","647,000,000","531,000,000","477,000,000","467,000,000","443,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"299,000,000","260,000,000","211,000,000","187,000,000","88,000,000","202,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-30,000,000","-30,000,000","-22,000,000","-18,000,000","-17,000,000","-20,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"27,000,000","43,000,000","18,000,000","1,000,000","7,000,000","24,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-1,000,000","1,000,000","3,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"296,000,000","272,000,000","208,000,000","173,000,000","78,000,000","206,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-51,000,000",-,-,"1,000,000","-11,000,000","-20,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"1,000,000","20,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-28,000,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-202,000,000","-247,000,000","-303,000,000","-14,000,000","-235,000,000","-10,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-23,000,000","-25,000,000","-6,000,000","-2,000,000","-5,000,000","4,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,000,000","1,000,000","-95,000,000","190,000,000","-173,000,000","180,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-9,000,000","-1,000,000","-42,000,000","-15,000,000","-25,000,000","46,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,000,000","2,000,000","-53,000,000","205,000,000","-148,000,000","134,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,000,000","2,000,000","-53,000,000","205,000,000","-148,000,000","134,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-51.273%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"134,998,250","137,306,000","139,012,000","145,660,000","146,572,600","146,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"134,998,250","141,800,000","139,012,000","151,940,000","146,572,600","151,071,600",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.433%,2.006%,-8.509%,3.662%,-2.978%,0.561%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.022,0.015,-0.381,1.407,-1.010,0.918,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.026,0.010,-0.381,1.350,-1.010,0.900,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-51.351%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-257,000,000","-323,000,000","-9,000,000","349,000,000","-197,000,000","144,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.904,-2.278,-0.065,2.297,-1.344,0.953,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,82.403%,82.983%,82.353%,83.944%,85.781%,82.166%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,25.296%,23.788%,23.418%,23.641%,13.601%,25.732%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-0.254%,0.183%,-5.882%,25.917%,-22.875%,17.070%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-21.743%,-29.552%,-0.999%,44.121%,-30.448%,18.344%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"313,000,000","269,000,000","222,000,000","199,000,000","101,000,000","214,000,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,26.481%,24.611%,24.639%,25.158%,15.611%,27.261%,Upgrade,Financials in USD,Fiscal year is January - December
