Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","1,163,033","1,061,793","1,280,432","2,189,472","1,796,188","1,784,914","1,660,534","2,077,291","1,837,571","1,822,339","2,096,954","2,362,169","814,881","867,896","594,981","-308,425","466,861","564,610","564,610",Financials in USD,Fiscal year is January - December
Research & Development,"540,638","1,839,874","2,549,482","3,310,632","3,427,373","4,558,430","4,193,562","5,811,918","6,149,778","5,876,092","5,277,335","3,949,919","3,334,126","3,584,611","3,097,711","787,822","2,503,942","3,108,645","3,108,646",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"180,941",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,884,612","2,901,667","3,829,914","5,500,104","5,223,561","6,343,344","5,854,096","7,889,209","7,987,349","7,698,431","7,374,289","6,312,088","4,149,007","4,452,507","3,692,692","479,397","2,970,803","3,673,255","3,673,256",Financials in USD,Fiscal year is January - December
Operating Income,"-1,884,612","-2,901,667","-3,829,914","-5,500,104","-5,223,561","-6,343,344","-5,854,096","-7,889,209","-7,987,349","-7,698,431","-7,374,289","-6,312,088","-4,149,007","-4,452,507","-3,692,692","-479,397","-2,970,803","-3,673,255","-3,673,256",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-848,"-1,547","-881,323","-805,049","-743,695","-686,785","-639,026","-557,546","-557,546",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"78,015","38,360","16,619","41,525","107,287","146,389","168,055","134,835","92,960","26,377",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,"-407,000",-,-,-,"487,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-23,499",-,-18,8,-,-,"-106,174","1,562,759","-1,140,688","-401,964","1,005,739","-364,844","82,267","-94,243","2,984,630","-2,433,364","-99,537","-99,538",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,806,597","-2,886,806","-3,813,295","-5,458,597","-5,116,266","-6,196,955","-5,686,041","-7,860,548","-6,331,630","-8,812,742","-7,777,101","-5,714,896","-5,395,174","-5,175,289","-4,530,630","2,305,448","-6,043,193","-4,330,339","-4,330,339",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"185,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"90,809",-,"2,700,000",-,"-49,432","-8,871,912","-1,159,873","684,436","-3,840,475",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,806,597","-2,701,806","-3,813,295","-5,458,597","-5,116,266","-6,196,955","-5,686,041","-7,769,739","-6,331,630","-6,112,742","-7,777,101","-5,764,328","-14,267,086","-6,335,162","-3,846,194","-1,535,027","-6,043,193","-4,330,339","-4,330,339",Financials in USD,Fiscal year is January - December
Net Income,"-1,806,597","-2,701,806","-3,813,295","-5,458,597","-5,116,266","-6,196,955","-5,686,041","-7,769,739","-6,331,630","-6,112,742","-7,777,101","-5,764,328","-14,267,086","-6,335,162","-3,846,194","-1,535,027","-6,043,193","-4,330,339","-4,330,339",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,806,597","-2,701,806","-3,813,295","-5,458,597","-5,116,266","-6,196,955","-5,686,041","-7,769,739","-6,331,630","-6,112,742","-7,777,101","-5,764,328","-14,267,086","-6,335,162","-3,846,194","-1,535,027","-6,043,193","-4,330,339","-4,330,339",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"39,533,702","37,142,021","34,642,915","34,558,000","34,497,595","34,409,064","33,966,921","33,806,000","33,757,164","33,619,449","33,504,472","31,482,000","24,205,446","24,177,315","24,177,315","24,156,559","24,120,669","24,077,862","24,077,862",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"39,533,702","37,142,021","34,642,915","34,558,000","34,497,595","34,409,064","33,966,921","33,806,000","33,757,164","33,619,449","33,504,472","31,482,000","24,205,446","24,177,315","24,177,315","24,156,559","24,120,669","24,077,862","24,077,862",Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.598%,7.943%,1.990%,2.224%,2.193%,2.349%,1.380%,7.382%,39.461%,39.054%,38.578%,30.325%,0.351%,0.413%,0.413%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.046,-0.073,-0.110,-0.158,-0.148,-0.180,-0.167,-0.230,-0.188,-0.182,-0.232,-0.183,-0.589,-0.262,-0.159,-0.064,-0.251,-0.180,-0.180,Financials in USD,Fiscal year is January - December
