Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,264,638","1,283,067","1,172,601","1,240,200","901,862","2,311,065","1,033,925","469,783","320,788","514,758","309,585","265,092",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),40.225%,-44.482%,13.413%,163.994%,181.140%,348.961%,233.971%,77.215%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"771,225","816,996","883,143","916,058","880,620","740,685","841,414","338,620","811,806","265,044","127,308","153,537",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"493,413","466,071","289,458","324,142","21,242","1,570,380","192,511","131,163","-491,018","249,714","182,277","111,555",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","1,421,926","1,213,931","1,374,095","1,363,958","1,298,731","1,409,435","1,412,727","1,464,879","1,560,477","1,542,360","1,915,017","1,836,786","1,372,867","1,561,266","1,333,725","959,554","624,788","565,622","902,289","871,745",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"771,180","1,206,380","656,764","609,791","1,292,093","623,744","878,303","851,356","1,378,653","1,500,748","1,753,545","2,537,070","1,491,252","1,716,387","1,772,593","937,948","911,156","967,610","1,274,913","1,606,831",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"2,247,685","2,475,078","2,085,626","2,028,983","2,645,656","2,086,642","2,341,719","2,365,284","2,988,178","3,097,096","3,721,902","4,423,653","2,892,651","3,306,301","3,133,739","1,934,318","1,563,925","1,560,089","2,204,315","2,506,808",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-1,754,272","-2,009,007","-1,796,168","-1,704,841","-2,624,414","-516,262","-2,149,208","-2,234,121","-3,479,196","-2,847,382","-3,539,625","-4,312,098","-2,892,651","-3,306,301","-3,133,739","-1,934,318","-1,563,925","-1,560,089","-2,204,315","-2,506,808",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-360,350",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"57,094","103,640","121,458","166,760","136,043","148,559","155,497","115,797","72,587","33,701","30,964","26,277","5,148","365,175","3,797","3,050","4,345","4,295","26,330","40,495",Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),"19,310","-25,204","-48,156","59,896","-48,457","31,112","-2,733","20,237","-96,791","-69,442","32,996","3,007","-84,112","42,723","28,467","-194,792","-39,499","-60,490","153,927","-27,182",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,"-360,350",-,"242,628",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-1,677,868","-1,930,571","-1,722,866","-1,478,185","-2,536,828","-336,591","-1,996,444","-2,098,087","-3,503,400","-2,883,123","-3,475,665","-4,282,814","-2,971,615","-3,258,753","-3,101,475","-2,243,782","-1,599,079","-1,616,284","-2,024,058","-2,493,495",Upgrade,Financials in USD,Fiscal year is July - June
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,"-200,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,"-2,023,039",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Asset Writedown,-,-,-,-,-,-,-,-,-,"-1,449,554",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,-,-,-,"-1,314,307",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-1,677,868","-1,930,571","-1,722,866","-1,478,185","-2,536,828","-336,591","-1,996,444","-2,098,087","-3,503,400","-7,870,023","-3,475,665","-4,282,814","-2,971,615","-3,258,753","-3,101,475","-2,243,782","-1,599,079","-1,616,284","-2,024,058","-2,493,495",Upgrade,Financials in USD,Fiscal year is July - June
Income Tax Expense,-,"7,100",-,-,-,"1,800","1,500","3,000","6,800",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-1,677,868","-1,937,671","-1,722,866","-1,478,185","-2,536,828","-338,391","-1,997,944","-2,101,087","-3,510,200","-7,870,023","-3,475,665","-4,282,814","-2,971,615","-3,258,753","-3,101,475","-2,243,782","-1,599,079","-1,616,284","-2,024,058","-2,493,495",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-1,677,868","-1,937,671","-1,722,866","-1,478,185","-2,536,828","-338,391","-1,997,944","-2,101,087","-3,510,200","-7,870,023","-3,475,665","-4,282,814","-2,971,615","-3,258,753","-3,101,475","-2,243,782","-1,599,079","-1,616,284","-2,024,058","-2,493,495",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"620,127","479,925","480,649","398,673","166,410","166,250","166,410","115,026","43,281","32,202","28,303","27,695","24,095","16,092","15,098","12,183","10,441","10,441","10,441","10,441",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"620,127","479,925","480,649","398,673","166,410","166,250","166,410","115,026","43,281","32,202","28,303","27,695","24,095","16,092","15,098","12,183","10,441","10,441","10,441","10,441",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),272.650%,188.677%,188.834%,246.594%,284.487%,416.272%,487.959%,315.331%,79.626%,100.112%,87.462%,127.325%,130.773%,54.123%,44.603%,16.684%,-,-,0.549%,0.811%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-2.706,-4.037,-3.584,-3.708,-15.244,-2.035,-12.006,-18.266,-81.103,-244.395,-122.802,-154.642,-123.329,-202.508,-205.423,-184.173,-153.154,-154.802,-193.857,-238.818,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-2.706,-4.037,-3.584,-3.800,-15.244,-2.035,-12.006,-18.266,-81.103,-244.395,-122.802,-154.642,-123.400,-202.508,-205.423,-184.173,-153.154,-154.802,-193.857,-238.818,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-1,826,810","-1,029,164","-1,934,324","-1,857,424","-2,174,213","-691,540","-1,784,824","-2,713,096","-2,255,543","-4,047,247","-5,352,339","-3,569,363","-2,653,917","-2,007,811","-4,611,605","-1,801,359","-1,371,590","-1,397,680","-1,529,863","-2,048,968",Upgrade,Financials in USD,Fiscal year is July - June
