Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"203,413","832,010","10,262,268","1,774,758","7,411,220","3,872,594",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,-,"239,336",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"203,413","832,010","10,262,268","1,774,758","7,411,220","4,111,930",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-76.182%,-91.893%,478.235%,-76.053%,80.237%,-86.510%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"81,972,385","86,676,563","187,650,503","249,240,324","94,245,436","88,017,319",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-81,768,972","-85,844,553","-177,388,235","-247,465,566","-86,834,216","-83,905,389",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,638,573","47,582,104","76,185,285","53,752,353","37,247,828","27,203,156",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"39,638,573","47,582,104","76,185,285","53,752,353","37,247,828","27,203,156",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-121,407,545","-133,426,657","-253,573,520","-301,217,919","-124,082,044","-111,108,545",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-460,158","-1,222,789","-1,253,952","-1,936,447","-8,702,450","-7,948,539",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,733,547","8,133,290","4,782,030","3,363,080","3,311,846","2,605,981",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-350,674","773,145","-4,064,867","-987,957","31,972,048","-3,090,557",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"90,530","94,208","168,377","348,768","-75,787,603","-1,743,820",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-116,394,300","-125,648,803","-253,941,932","-300,430,475","-173,288,203","-121,285,480",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-10,513,371",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,533,771","1,044,822","-11,876,133","-3,228,235","1,107,227","476,368",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"4,121,075",-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-14,000,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"584,987",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-112,876,085","-135,117,352","-279,818,065","-303,658,710","-167,474,914","-120,809,112",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"-257,335",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-112,876,085","-135,117,352","-279,818,065","-303,658,710","-167,474,914","-120,551,777",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"1,063,757","1,192,558",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-112,876,085","-135,117,352","-279,818,065","-303,658,710","-166,411,157","-119,359,219",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-112,876,085","-135,117,352","-279,818,065","-303,658,710","-166,411,157","-119,359,219",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"25,346,269","22,173,662","19,885,182","17,402,483","12,927,238","8,226,500",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"25,346,269","22,173,662","19,885,182","17,402,483","12,927,238","8,226,500",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),16.746%,11.508%,14.266%,34.619%,57.141%,6.676%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.453,-6.094,-14.072,-17.449,-12.873,-14.509,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.453,-6.094,-14.072,-17.450,-12.873,-14.509,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-111,176,261","-124,686,449","-217,184,574","-216,939,531","-179,499,711","-98,838,062",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.386,-5.623,-10.922,-12.466,-13.885,-12.015,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-59685.244%,-16036.665%,-2470.931%,-16972.338%,-1674.246%,-2702.102%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-55491.087%,-16239.871%,-2726.669%,-17109.866%,-2245.395%,-2902.754%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-54655.435%,-14986.172%,-2116.341%,-12223.612%,-2421.999%,-2403.690%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-119,502,532","-130,659,591","-249,420,313","-297,657,408","-120,495,967","-106,443,863",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,905,013","2,767,066","4,153,207","3,560,511","3,586,077","4,664,682",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-121,407,545","-133,426,657","-253,573,520","-301,217,919","-124,082,044","-111,108,545",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,"4,111,930",Upgrade,Financials in USD,Fiscal year is January - December
