Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","6,404,000","3,533,000","2,418,000","2,157,223","1,172,681","1,238,290",Financials in USD,Fiscal year is January - December
Research & Development,"10,330,000","4,786,000","5,132,000","5,856,499","5,050,565","4,437,242",Financials in USD,Fiscal year is January - December
Operating Expenses,"16,734,000","8,319,000","7,550,000","8,013,722","6,223,246","5,675,532",Financials in USD,Fiscal year is January - December
Operating Income,"-16,734,000","-8,319,000","-7,550,000","-8,013,722","-6,223,246","-5,675,532",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-305,000","-82,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"462,000","324,000","2,000","2,609","74,009","150,707",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,000","24,000","48,000","115,513","118,757","144,989",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,259,000","-8,276,000","-7,582,000","-7,895,600","-6,030,480","-5,379,836",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-2,262,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,259,000","-10,538,000","-7,582,000","-7,895,600","-6,030,480","-5,379,836",Financials in USD,Fiscal year is January - December
Net Income,"-16,259,000","-10,538,000","-7,582,000","-7,895,600","-6,030,480","-5,379,836",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"1,324,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,259,000","-11,862,000","-7,582,000","-7,895,600","-6,030,480","-5,379,836",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,748,080","8,616,324","3,410,103","3,410,103","3,409,513","3,402,997",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,748,080","8,616,324","3,410,103","3,410,103","3,409,513","3,402,997",Financials in USD,Fiscal year is January - December
Shares Change (YoY),128.089%,152.670%,-,0.017%,0.191%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.183,-1.377,-2.223,-2.315,-1.769,-1.581,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.183,-1.377,-2.223,-2.315,-1.769,-1.581,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,498,000","-7,205,000","-5,477,000","-6,826,863","-5,370,192","-4,416,345",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.982,-0.836,-1.606,-2.002,-1.575,-1.298,Financials in USD,Fiscal year is January - December
EBIT,"-16,734,000","-8,319,000","-7,550,000","-8,013,722","-6,223,246","-5,675,532",Financials in USD,Fiscal year is January - December
