Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","1,419,000","1,506,000","1,928,000","1,551,406","1,139,000","362,000","480,000","583,034","607,113","543,830","684,023","972,672","639,459","261,052","284,040","250,586","395,100","263,497","263,498",Financials in USD,Fiscal year is January - December
Research & Development,"2,151,000","3,563,000","2,815,000","1,801,248","1,352,000","859,000","774,000","890,797","1,160,737","1,385,966","1,694,500","1,437,580","1,498,390","1,703,656","1,216,873","1,406,725","1,250,516","1,196,662","1,196,662",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,570,000","5,069,000","4,743,000","3,352,654","2,491,000","1,221,000","1,254,000","1,473,831","1,767,850","1,929,796","2,378,523","2,410,252","2,137,849","1,964,708","1,500,913","1,657,311","1,645,616","1,460,159","1,460,160",Financials in USD,Fiscal year is January - December
Operating Income,"-3,570,000","-5,069,000","-4,743,000","-3,352,654","-2,491,000","-1,221,000","-1,254,000","-1,473,831","-1,767,850","-1,929,796","-2,378,523","-2,410,252","-2,137,849","-1,964,708","-1,500,913","-1,657,311","-1,645,616","-1,460,159","-1,460,160",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-222,000","-83,000","-37,123","-15,123","-14,959","-14,795",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"48,000","98,000","140,000","176,135","148,000",-,-,156,988,213,643,348,647,875,739,"5,981","18,265","24,881","24,882",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"9,000",-,-,"5,696","14,000","4,000","1,000",354,"7,118","16,900","23,628","8,786","12,530","72,861","21,336","16,751","72,843","14,581","14,582",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,513,000","-4,971,000","-4,603,000","-3,170,823","-2,329,000","-1,439,000","-1,336,000","-1,510,444","-1,774,867","-1,927,642","-2,369,047","-2,401,118","-2,124,672","-1,890,972","-1,478,838","-1,634,579","-1,554,508","-1,420,696","-1,420,697",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-419,-,"-2,262,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,513,000","-4,971,000","-4,603,000","-3,171,242","-2,329,000","-3,701,000","-1,336,000","-1,510,444","-1,774,867","-1,927,642","-2,369,047","-2,401,118","-2,124,672","-1,890,972","-1,478,838","-1,634,579","-1,554,508","-1,420,696","-1,420,697",Financials in USD,Fiscal year is January - December
Net Income,"-3,513,000","-4,971,000","-4,603,000","-3,171,242","-2,329,000","-3,701,000","-1,336,000","-1,510,444","-1,774,867","-1,927,642","-2,369,047","-2,401,118","-2,124,672","-1,890,972","-1,478,838","-1,634,579","-1,554,508","-1,420,696","-1,420,697",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,465,-,"1,324,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,513,000","-4,971,000","-4,603,000","-3,171,707","-2,329,000","-5,025,000","-1,336,000","-1,510,444","-1,774,867","-1,927,642","-2,369,047","-2,401,118","-2,124,672","-1,890,972","-1,478,838","-1,634,579","-1,554,508","-1,420,696","-1,420,697",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,804,651","13,712,152","13,709,487","13,765,344","13,660,627","3,516,579","3,410,103","3,410,103","3,410,103","3,410,103","3,410,103","3,410,094","3,410,106","3,410,106","3,410,106","3,410,104","3,410,106","3,408,921","3,408,921",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,804,651","13,712,152","13,709,487","13,765,344","13,660,627","3,516,579","3,410,103","3,410,103","3,410,103","3,410,103","3,410,103","3,410,094","3,410,106","3,410,106","3,410,106","3,410,104","3,410,106","3,408,921","3,408,921",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.054%,289.929%,302.026%,303.664%,300.593%,3.122%,-,0.000%,-0.000%,-0.000%,-0.000%,-0.000%,-,0.035%,0.035%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.254,-0.363,-0.336,-0.230,-0.170,-1.429,-0.392,-0.443,-0.520,-0.565,-0.695,-0.704,-0.623,-0.555,-0.434,-0.479,-0.456,-0.417,-0.417,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.254,-0.363,-0.336,-0.230,-0.170,-1.429,-0.392,-0.443,-0.520,-0.565,-0.695,-0.704,-0.623,-0.555,-0.434,-0.479,-0.456,-0.417,-0.417,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,972,000","-4,214,000","-4,366,000","-947,167","-5,119,000","-239,000","-901,000","-1,634,337","-1,025,673","-1,333,088","-1,483,902","-2,868,963","-1,498,080","-1,256,280","-1,203,540","-1,719,193","-1,125,814","-1,262,592","-1,262,593",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.288,-0.307,-0.318,-0.069,-0.375,-0.068,-0.264,-0.479,-0.301,-0.391,-0.435,-0.841,-0.439,-0.368,-0.353,-0.504,-0.330,-0.370,-0.370,Financials in USD,Fiscal year is January - December
EBIT,"-3,570,000","-5,069,000","-4,743,000","-3,352,654","-2,491,000","-1,221,000","-1,254,000","-1,473,831","-1,767,850","-1,929,796","-2,378,523","-2,410,252","-2,137,849","-1,964,708","-1,500,913","-1,657,311","-1,645,616","-1,460,159","-1,460,160",Financials in USD,Fiscal year is January - December
