Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"32,452,000","36,156,000","19,084,000","19,675,000","13,701,000","18,727,000","19,514,000","14,587,000","5,107,000",-,-,-,-,-,-,-,-,"10,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"57,056,000","63,742,000","58,415,000","66,165,000","53,558,000","62,265,000","56,858,000","51,216,000","62,150,000","108,220,000","90,059,000","107,680,000","97,862,000","100,806,000","85,518,000","90,476,000","88,694,000","68,946,000","78,678,000","75,971,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"89,508,000","99,898,000","77,499,000","85,840,000","67,259,000","80,992,000","76,372,000","65,803,000","67,257,000","108,220,000","90,059,000","107,680,000","97,862,000","100,806,000","85,518,000","90,476,000","88,694,000","78,946,000","78,678,000","75,971,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),33.080%,23.343%,1.476%,30.450%,0.003%,-25.160%,-15.198%,-38.890%,-31.274%,7.355%,5.310%,19.015%,10.337%,27.690%,8.694%,19.093%,34.886%,23.147%,42.577%,-4.867%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,084,000","11,032,000","14,849,000","7,501,000","10,316,000","23,968,000","22,937,000","12,818,000","15,405,000","13,884,000","5,838,000","40,000","449,000","38,000","49,000","219,000","1,010,000","559,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"79,424,000","88,866,000","62,650,000","78,339,000","56,943,000","57,024,000","53,435,000","52,985,000","51,852,000","94,336,000","84,221,000","107,640,000","97,413,000","100,768,000","85,469,000","90,257,000","87,684,000","78,387,000","78,678,000","75,971,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","26,219,000","27,740,000","30,405,000","26,319,000","28,636,000","23,542,000","19,735,000","12,154,000","27,810,000","11,782,000","6,492,000","-187,000","2,860,000","4,228,000","5,986,000","3,770,000","3,254,000","2,596,000","2,563,000","-768,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,457,000",-,-,-,"3,855,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"36,187,000","34,180,000","36,845,000","32,829,000","39,002,000","28,500,000","23,540,000","16,224,000","29,321,000","11,782,000","6,492,000","-187,000","2,860,000","4,228,000","5,986,000","3,770,000","3,254,000","2,596,000","2,563,000","-768,000",Upgrade,Financials in USD,Fiscal year is January - December
