Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","21,426,000","20,798,000","20,826,000","19,626,000","11,248,000","5,035,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"78,241,000","54,847,000","47,849,000","37,020,000","45,793,000","15,771,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"99,667,000","75,645,000","68,675,000","56,646,000","57,041,000","20,806,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-99,667,000","-75,645,000","-68,675,000","-56,646,000","-57,041,000","-20,806,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,417,000","-3,333,000","-262,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,713,000","7,837,000","2,195,000","211,000","370,000","1,106,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-26,000","247,000","-24,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-123,000","-28,000","-319,000","-163,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-96,494,000","-71,169,000","-67,061,000","-56,624,000","-56,424,000","-19,724,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-96,494,000","-71,169,000","-67,061,000","-56,624,000","-56,424,000","-19,724,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-96,494,000","-71,169,000","-67,061,000","-56,624,000","-56,424,000","-19,724,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"62,219,361","51,839,131","37,763,168","23,558,306","11,036,500","1,183,147",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"62,219,361","51,839,131","37,763,168","23,558,306","11,036,500","1,183,147",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.495%,37.274%,60.297%,113.458%,832.809%,12.605%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.551,-1.373,-1.776,-2.404,-5.112,-16.671,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.551,-1.373,-1.776,-2.404,-5.112,-16.671,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-91,356,000","-70,973,000","-58,171,000","-48,550,000","-36,542,000","-18,949,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.468,-1.369,-1.540,-2.061,-3.311,-16.016,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-98,893,000","-74,812,000","-67,931,000","-55,972,000","-56,824,000","-20,723,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"774,000","833,000","744,000","674,000","217,000","83,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-99,667,000","-75,645,000","-68,675,000","-56,646,000","-57,041,000","-20,806,000",Upgrade,Financials in USD,Fiscal year is January - December
