Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","4,961,000","5,907,000","5,434,000","4,325,000","4,733,000","4,728,000","5,112,000","5,696,000","4,721,000","5,384,000","5,025,000","5,906,000","4,916,000","4,435,000","4,369,000","4,935,000","3,142,000","1,671,000","1,500,000","1,938,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"19,890,000","21,758,000","18,911,000","18,483,000","13,341,000","11,666,000","11,857,000","13,837,000","12,191,000","10,007,000","11,814,000","12,851,000","9,346,000","8,220,000","6,603,000","6,336,000","25,174,000","7,877,000","6,406,000","4,830,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"24,851,000","27,665,000","24,345,000","22,808,000","18,074,000","16,394,000","16,969,000","19,533,000","16,912,000","15,391,000","16,839,000","18,757,000","14,262,000","12,655,000","10,972,000","11,271,000","28,316,000","9,548,000","7,906,000","6,768,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-24,851,000","-27,665,000","-24,345,000","-22,808,000","-18,074,000","-16,394,000","-16,969,000","-19,533,000","-16,912,000","-15,391,000","-16,839,000","-18,757,000","-14,262,000","-12,655,000","-10,972,000","-11,271,000","-28,316,000","-9,548,000","-7,906,000","-6,768,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,416,000","-1,395,000","-1,325,000","-1,233,000","-953,000","-771,000","-328,000","-262,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,778,000","2,030,000","2,374,000","2,483,000","2,369,000","1,610,000","1,327,000","1,077,000","737,000","321,000","60,000","43,000","47,000","58,000","63,000","64,000","64,000","71,000","171,000","214,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"-51,000","42,000",-,-,"-34,000","493,000","-197,000","-191,000","-105,000","123,000","-65,000","57,000","-141,000","89,000","157,000","4,000","-3,000","10,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-81,000","-3,000",-,"-28,000","20,000","-28,000",-,"-319,000",-,-,-,"-163,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,570,000","-27,033,000","-23,347,000","-21,544,000","-16,638,000","-15,583,000","-16,004,000","-18,544,000","-16,372,000","-15,261,000","-16,884,000","-18,754,000","-14,280,000","-12,540,000","-11,050,000","-11,118,000","-28,095,000","-9,473,000","-7,738,000","-6,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,"-1,400,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-24,570,000","-27,033,000","-23,347,000","-21,544,000","-16,638,000","-15,583,000","-17,404,000","-18,544,000","-16,372,000","-15,261,000","-16,884,000","-18,754,000","-14,280,000","-12,540,000","-11,050,000","-11,118,000","-28,095,000","-9,473,000","-7,738,000","-6,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-24,570,000","-27,033,000","-23,347,000","-21,544,000","-16,638,000","-15,583,000","-17,404,000","-18,544,000","-16,372,000","-15,261,000","-16,884,000","-18,754,000","-14,280,000","-12,540,000","-11,050,000","-11,118,000","-28,095,000","-9,473,000","-7,738,000","-6,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,570,000","-27,033,000","-23,347,000","-21,544,000","-16,638,000","-15,583,000","-17,404,000","-18,544,000","-16,372,000","-15,261,000","-16,884,000","-18,754,000","-14,280,000","-12,540,000","-11,050,000","-11,118,000","-28,095,000","-9,473,000","-7,738,000","-6,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"63,276,851","61,943,960","61,772,279","61,873,999","56,758,395","44,860,279","43,720,578","43,785,587","43,657,718","39,703,550","23,686,351","23,667,281","23,643,494","23,490,591","23,429,507","23,464,765","18,101,496","1,251,244","1,205,346","1,202,281",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"63,276,851","61,943,960","61,772,279","61,873,999","56,758,395","44,860,279","43,720,578","43,785,587","43,657,718","39,703,550","23,686,351","23,667,281","23,643,494","23,490,591","23,429,507","23,464,765","18,101,496","1,251,244","1,205,346","1,202,281",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.485%,38.082%,41.289%,41.311%,30.008%,12.988%,84.581%,85.005%,84.650%,69.019%,1.096%,0.863%,30.616%,1777.379%,1843.799%,1851.687%,1414.378%,6.900%,3.536%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.388,-0.436,-0.378,-0.348,-0.293,-0.347,-0.398,-0.424,-0.375,-0.384,-0.713,-0.792,-0.604,-0.534,-0.472,-0.474,-1.552,-7.571,-6.420,-5.443,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.388,-0.440,-0.378,-0.348,-0.293,-0.350,-0.398,-0.424,-0.375,-0.384,-0.713,-0.792,-0.604,-0.534,-0.472,-0.474,-1.552,-7.571,-6.420,-5.443,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-24,541,000","-23,658,000","-24,565,000","-18,592,000","-18,875,000","-15,559,000","-17,947,000","-14,446,000","-14,661,000","-14,887,000","-14,177,000","-13,484,000","-12,379,000","-10,223,000","-12,464,000","-10,690,000","-10,786,000","-8,700,000","-6,366,000","-5,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.388,-0.382,-0.398,-0.300,-0.333,-0.347,-0.410,-0.330,-0.336,-0.375,-0.599,-0.570,-0.524,-0.435,-0.532,-0.456,-0.596,-6.953,-5.281,-4.439,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-24,656,000","-27,477,000","-24,163,000","-22,599,000","-17,866,000","-16,185,000","-16,762,000","-19,335,000","-16,723,000","-15,212,000","-16,661,000","-18,575,000","-14,095,000","-12,488,000","-10,814,000","-11,148,000","-28,273,000","-9,522,000","-7,881,000","-6,743,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"195,000","188,000","182,000","209,000","208,000","209,000","207,000","198,000","189,000","179,000","178,000","182,000","167,000","167,000","158,000","123,000","43,000","26,000","25,000","25,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-24,851,000","-27,665,000","-24,345,000","-22,808,000","-18,074,000","-16,394,000","-16,969,000","-19,533,000","-16,912,000","-15,391,000","-16,839,000","-18,757,000","-14,262,000","-12,655,000","-10,972,000","-11,271,000","-28,316,000","-9,548,000","-7,906,000","-6,768,000",Upgrade,Financials in USD,Fiscal year is January - December
