Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","6,326,000","5,685,000","5,886,000","6,413,000","5,829,000","5,348,000","6,024,000","5,956,000","5,843,000","5,935,000","6,704,000","4,955,000","2,914,000","2,248,000","965,000","329,000","654,000","349,500","349,500",Financials in USD,Fiscal year is January - December
Research & Development,"20,178,000","15,848,000","14,311,000","21,770,000","17,655,000","16,504,000","11,900,000","14,433,000","10,022,000","12,226,000","10,306,000","16,440,000","4,128,000","6,735,000","2,848,000","2,210,000","2,777,000","1,738,000","1,738,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"26,504,000","21,533,000","20,197,000","28,183,000","23,484,000","21,852,000","17,924,000","20,389,000","15,865,000","18,161,000","17,010,000","21,395,000","7,042,000","8,983,000","3,813,000","2,539,000","3,431,000","2,087,500","2,087,500",Financials in USD,Fiscal year is January - December
Operating Income,"-26,504,000","-21,533,000","-20,197,000","-28,183,000","-23,484,000","-21,852,000","-17,924,000","-20,389,000","-15,865,000","-18,161,000","-17,010,000","-21,395,000","-7,042,000","-8,983,000","-3,813,000","-2,539,000","-3,431,000","-2,087,500","-2,087,500",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,"-78,000","-102,000","-123,000","-151,000","-67,000","-71,000","-72,000","-11,000","-7,000","-4,000","-4,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,068,000","1,311,000","1,617,000","1,949,000","1,708,000","1,196,000","1,028,000","783,000","457,000","158,000","15,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,630,000","-90,000","-462,000","405,000","-342,000","10,000","258,000","522,000","-87,000","-286,000","-20,000","10,000","17,000","155,000","137,000","24,000","-9,000","49,500","49,500",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,806,000","-20,312,000","-19,042,000","-25,829,000","-22,118,000","-20,646,000","-16,638,000","-19,084,000","-15,573,000","-18,391,000","-17,138,000","-21,536,000","-7,092,000","-8,899,000","-3,748,000","-2,526,000","-3,447,000","-2,042,000","-2,042,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"295,000","2,630,000","-29,460,000",-,"-28,000","-41,000","-958,000","-958,000",Financials in USD,Fiscal year is January - December
