Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"90,858,000","1,189,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"82,817,000","10,755,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"8,041,000","-9,566,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","140,417,000","106,916,000","104,097,000","83,664,000","60,210,000","40,849,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"297,582,000","344,077,000","294,781,000","259,039,000","201,727,000","166,023,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"437,999,000","450,993,000","398,878,000","342,703,000","261,937,000","206,872,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-429,958,000","-460,559,000","-398,878,000","-342,703,000","-261,937,000","-206,872,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,600,000","9,438,000","3,459,000","6,464,000","4,221,000","5,895,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-425,358,000","-451,121,000","-395,419,000","-336,239,000","-257,716,000","-200,977,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"9,216,000","3,605,000","-474,000","-6,013,000","-1,865,000","3,421,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-416,142,000","-447,516,000","-395,893,000","-342,252,000","-259,581,000","-197,556,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-6,145,000","-3,479,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-409,997,000","-444,037,000","-395,893,000","-342,252,000","-259,581,000","-197,556,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-409,997,000","-444,037,000","-395,893,000","-342,252,000","-259,581,000","-197,556,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"277,671,750","235,131,000","159,259,000","153,406,000","138,301,000","124,336,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"277,671,750","235,131,000","159,259,000","153,406,000","138,301,000","124,336,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.797%,47.641%,3.815%,10.922%,11.232%,27.816%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.477,-1.888,-2.486,-2.231,-1.877,-1.589,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.478,-1.890,-2.490,-2.231,-1.877,-1.589,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-374,081,000","-384,110,000","-313,182,000","-265,515,000","-251,925,000","-165,806,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.347,-1.634,-1.966,-1.731,-1.822,-1.334,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-473.220%,-38734.987%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-451.250%,-37345.416%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-411.720%,-32305.299%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-408,322,000","-449,013,000","-389,568,000","-339,592,000","-260,797,000","-205,703,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"21,636,000","11,546,000","9,310,000","3,111,000","1,140,000","1,169,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-429,958,000","-460,559,000","-398,878,000","-342,703,000","-261,937,000","-206,872,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"90,858,000","1,189,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
