Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Apr '23 Apr 30, 2023","Apr '22 Apr 30, 2022","Apr '21 Apr 30, 2021","Apr '20 Apr 30, 2020",2019 - 2015,,
Revenue,"24,069,000","24,518,000","20,665,000","19,364,000","17,912,000","14,058,000",Upgrade,Financials in CAD,Fiscal year is May - April
Revenue Growth (YoY),6.364%,18.645%,6.719%,8.106%,27.415%,28.662%,Upgrade,Financials in CAD,Fiscal year is May - April
Cost of Revenue,"11,970,000","12,465,000","9,102,000","8,381,000","6,508,000","6,104,000",Upgrade,Financials in CAD,Fiscal year is May - April
Gross Profit,"12,099,000","12,053,000","11,563,000","10,983,000","11,404,000","7,954,000",Upgrade,Financials in CAD,Fiscal year is May - April
"Selling, General & Admin","19,247,000","19,135,000","18,191,000","18,055,000","10,594,000","8,242,000",Upgrade,Financials in CAD,Fiscal year is May - April
Research & Development,"5,059,000","4,043,000","14,101,000","7,663,000","1,974,000","446,000",Upgrade,Financials in CAD,Fiscal year is May - April
Operating Expenses,"26,935,000","26,146,000","36,706,000","27,731,000","18,057,000","12,048,000",Upgrade,Financials in CAD,Fiscal year is May - April
Operating Income,"-14,836,000","-14,093,000","-25,143,000","-16,748,000","-6,653,000","-4,094,000",Upgrade,Financials in CAD,Fiscal year is May - April
Interest Expense,"-130,000","-19,000","-3,000","-85,000","-641,000","-703,000",Upgrade,Financials in CAD,Fiscal year is May - April
Interest & Investment Income,-,"23,000","122,000","279,000","282,000","52,000",Upgrade,Financials in CAD,Fiscal year is May - April
Currency Exchange Gain (Loss),"-315,000","86,000","227,000","631,000","-1,234,000","78,000",Upgrade,Financials in CAD,Fiscal year is May - April
Other Non Operating Income (Expenses),"200,000","331,000","305,000","75,000","-222,000","-734,000",Upgrade,Financials in CAD,Fiscal year is May - April
EBT Excluding Unusual Items,"-15,081,000","-13,672,000","-24,492,000","-15,848,000","-8,468,000","-5,401,000",Upgrade,Financials in CAD,Fiscal year is May - April
Merger & Restructuring Charges,-,-,"-800,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is May - April
Impairment of Goodwill,"-11,161,000","-11,161,000","-2,460,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is May - April
Asset Writedown,"-3,870,000","-3,870,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is May - April
Other Unusual Items,-,-,-,-,"2,473,000","108,000",Upgrade,Financials in CAD,Fiscal year is May - April
Pretax Income,"-30,112,000","-28,703,000","-27,752,000","-15,848,000","-5,995,000","-5,293,000",Upgrade,Financials in CAD,Fiscal year is May - April
Income Tax Expense,"-2,210,000","-1,526,000","-1,192,000","861,000","1,345,000","-346,000",Upgrade,Financials in CAD,Fiscal year is May - April
Net Income,"-27,902,000","-27,177,000","-26,560,000","-16,709,000","-7,340,000","-4,947,000",Upgrade,Financials in CAD,Fiscal year is May - April
Net Income to Common,"-27,902,000","-27,177,000","-26,560,000","-16,709,000","-7,340,000","-4,947,000",Upgrade,Financials in CAD,Fiscal year is May - April
Shares Outstanding (Basic),"26,925,597","25,635,526","24,897,185","19,688,487","16,474,350","13,628,896",Upgrade,Financials in CAD,Fiscal year is May - April
Shares Outstanding (Diluted),"26,925,597","25,635,526","24,897,185","19,688,487","16,474,350","13,628,896",Upgrade,Financials in CAD,Fiscal year is May - April
Shares Change (YoY),7.621%,2.966%,26.456%,19.510%,20.878%,8.665%,Upgrade,Financials in CAD,Fiscal year is May - April
EPS (Basic),-1.036,-1.060,-1.067,-0.849,-0.446,-0.363,Upgrade,Financials in CAD,Fiscal year is May - April
EPS (Diluted),-1.036,-1.060,-1.067,-0.849,-0.446,-0.363,Upgrade,Financials in CAD,Fiscal year is May - April
Free Cash Flow,"-9,032,000","-5,643,000","-21,328,000","-10,987,000","-2,027,000","-1,853,000",Upgrade,Financials in CAD,Fiscal year is May - April
Free Cash Flow Per Share,-0.335,-0.220,-0.857,-0.558,-0.123,-0.136,Upgrade,Financials in CAD,Fiscal year is May - April
Gross Margin,50.268%,49.160%,55.955%,56.719%,63.667%,56.580%,Upgrade,Financials in CAD,Fiscal year is May - April
Operating Margin,-61.639%,-57.480%,-121.669%,-86.490%,-37.143%,-29.122%,Upgrade,Financials in CAD,Fiscal year is May - April
Profit Margin,-115.925%,-110.845%,-128.526%,-86.289%,-40.978%,-35.190%,Upgrade,Financials in CAD,Fiscal year is May - April
Free Cash Flow Margin,-37.525%,-23.016%,-103.208%,-56.739%,-11.316%,-13.181%,Upgrade,Financials in CAD,Fiscal year is May - April
EBITDA,"-12,169,000","-10,372,000","-21,307,000","-12,979,000","-4,596,000","-2,388,000",Upgrade,Financials in CAD,Fiscal year is May - April
EBITDA Margin,-50.559%,-42.304%,-103.107%,-67.026%,-25.659%,-16.987%,Upgrade,Financials in CAD,Fiscal year is May - April
D&A For EBITDA,"2,667,000","3,721,000","3,836,000","3,769,000","2,057,000","1,706,000",Upgrade,Financials in CAD,Fiscal year is May - April
EBIT,"-14,836,000","-14,093,000","-25,143,000","-16,748,000","-6,653,000","-4,094,000",Upgrade,Financials in CAD,Fiscal year is May - April
EBIT Margin,-61.639%,-57.480%,-121.669%,-86.490%,-37.143%,-29.122%,Upgrade,Financials in CAD,Fiscal year is May - April
Advertising Expenses,-,-,-,-,"691,000","378,000",Upgrade,Financials in CAD,Fiscal year is May - April
