Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"24,850,000","51,901,000","49,580,000","12,112,000","56,155,000","68,609,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,"8,938,000","9,740,000","8,094,000","12,591,000","13,618,000","16,840,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"33,788,000","61,641,000","57,674,000","24,703,000","69,773,000","85,449,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-35.375%,6.878%,133.470%,-64.595%,-18.345%,-9.050%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"53,645,000","56,022,000","51,663,000","47,004,000","49,708,000","62,897,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"-19,857,000","5,619,000","6,011,000","-22,301,000","20,065,000","22,552,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","18,726,000","18,288,000","22,436,000","25,524,000","18,986,000","20,977,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"18,726,000","18,288,000","22,436,000","25,524,000","18,986,000","20,977,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-38,583,000","-12,669,000","-16,425,000","-47,825,000","1,079,000","1,575,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-616,000","-640,000","-288,000","-312,000","-341,000","-204,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"3,481,000","3,177,000","546,000","327,000","564,000","1,620,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-407,000","914,000","827,000","1,248,000","-1,579,000","796,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,073,000","1,648,000","-1,632,000","1,084,000","-552,000","4,081,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,052,000","-7,570,000","-16,972,000","-45,478,000","-829,000","7,868,000",Upgrade,Financials in EUR,Fiscal year is January - December
Asset Writedown,-,-,"-41,000,000",-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-34,052,000","-7,570,000","-57,972,000","-45,478,000","-829,000","7,868,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"-34,052,000","-7,570,000","-57,972,000","-45,478,000","-829,000","7,868,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,"-131,000","-7,331,000","-63,155,000","-28,627,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-34,052,000","-7,570,000","-58,103,000","-52,809,000","-63,984,000","-20,759,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-34,052,000","-7,570,000","-58,103,000","-52,809,000","-63,984,000","-20,759,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"80,729,518","80,453,282","79,639,826","79,542,627","78,934,960","66,908,389",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"80,729,518","80,453,282","79,639,826","79,542,627","78,934,960","66,908,389",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),1.009%,1.021%,0.122%,0.770%,17.975%,13.834%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-0.422,-0.094,-0.730,-0.664,-0.811,-0.310,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-0.422,-0.094,-0.732,-0.664,-0.811,-0.310,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-18,382,000","-32,909,000","-19,690,000","-59,386,000","-52,674,000","33,653,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.228,-0.409,-0.247,-0.747,-0.667,0.503,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,-58.769%,9.116%,10.422%,-90.276%,28.758%,26.392%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-114.191%,-20.553%,-28.479%,-193.600%,1.546%,1.843%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-100.781%,-12.281%,-100.744%,-213.776%,-91.703%,-24.294%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-54.404%,-53.388%,-34.140%,-240.400%,-75.493%,39.384%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-35,959,000","-7,578,000","-12,020,000","-43,229,000","13,305,000","17,252,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,-106.425%,-12.294%,-20.841%,-174.995%,19.069%,20.190%,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"2,624,000","5,091,000","4,405,000","4,596,000","12,226,000","15,677,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-38,583,000","-12,669,000","-16,425,000","-47,825,000","1,079,000","1,575,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,-114.191%,-20.553%,-28.479%,-193.600%,1.546%,1.843%,Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"33,788,000","61,641,000","57,674,000","24,703,000","69,773,000","85,449,000",Upgrade,Financials in EUR,Fiscal year is January - December
