Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"3,867,000","1,112,000","1,711,000","1,691,000","11,935,000","3,674,000","1,749,000","39,850,000",-,-,-,-,"489,000","100,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-67.599%,-69.733%,-2.173%,-95.757%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,746,000","280,000","4,740,000","3,841,000","3,247,000","256,000","5,595,000","3,586,000","2,835,000","3,162,000","4,772,000","4,736,000","3,126,000","3,829,000","3,482,000","4,337,000","1,383,000","711,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-4,879,000","832,000","-3,029,000","-2,150,000","8,688,000","3,418,000","-3,846,000","36,264,000","-2,835,000","-3,162,000","-4,772,000","-4,736,000","-2,637,000","-3,729,000","-3,482,000","-4,337,000","-1,383,000","-711,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,903,000","3,363,000","4,679,000","3,279,000","2,064,000","4,349,000","2,285,000","2,054,000","1,703,000","1,776,000","1,736,000","1,414,000","1,595,000","3,408,000","1,704,000","1,310,000","565,000","551,000","391,000","654,502",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"227,000","5,797,000",-,-,"238,000","4,458,000",-,-,-,-,-,-,-,-,-,-,-,-,"218,000","812,785",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,130,000","9,160,000","4,679,000","3,279,000","2,302,000","8,807,000","2,285,000","2,054,000","1,703,000","1,776,000","1,736,000","1,414,000","1,595,000","3,408,000","1,704,000","1,310,000","565,000","551,000","609,000","1,467,287",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,009,000","-8,328,000","-7,708,000","-5,429,000","6,386,000","-5,389,000","-6,131,000","34,210,000","-4,538,000","-4,938,000","-6,508,000","-6,150,000","-4,232,000","-7,137,000","-5,186,000","-5,647,000","-1,948,000","-1,262,000","-609,000","-1,467,287",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,328,000",-,-,-,-,-,"-4,000","-5,000","-2,000",-,-,-,"-5,425,000","-179,000","-689,000","-554,000","-470,439",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"483,000","563,000","612,000","538,000","456,000","428,000","367,000","100,000","34,000","22,000","2,000","4,000",-,"1,000","1,000",-,-,"2,000","3,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,"-2,000","-2,000","2,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
