Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","8,171,000","7,367,000","7,758,000","7,149,000","4,539,000","5,228,000","4,945,000","5,005,000","2,593,000","4,301,000","2,139,000","1,751,000","1,389,000","1,311,500","1,311,500",Financials in USD,Fiscal year is January - December
Research & Development,"24,685,000","23,485,000","23,704,000","22,565,000","14,419,000","12,100,000","20,180,000","10,016,000","7,886,000","7,714,000","7,821,000","5,659,000","5,625,000","6,943,000","6,943,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"32,856,000","30,852,000","31,462,000","29,714,000","18,958,000","17,328,000","25,125,000","15,021,000","10,479,000","12,015,000","9,960,000","7,410,000","7,014,000","8,254,500","8,254,500",Financials in USD,Fiscal year is January - December
Operating Income,"-32,856,000","-30,852,000","-31,462,000","-29,714,000","-18,958,000","-17,328,000","-25,125,000","-15,021,000","-10,479,000","-12,015,000","-9,960,000","-7,410,000","-7,014,000","-8,254,500","-8,254,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,362,000","4,573,000","4,519,000","4,677,000","4,843,000","2,910,000","2,367,000","388,000","269,000","45,000","7,000","9,000",-,"2,500","2,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"9,000","-13,000","-1,000","-10,000","13,000","-5,000",-,"3,389,000","-5,940,000","2,390,000","100,000","-1,450,000","-2,000,000","-800,000","-800,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-26,485,000","-26,292,000","-26,944,000","-25,047,000","-14,102,000","-14,423,000","-22,758,000","-11,244,000","-16,150,000","-9,580,000","-9,853,000","-8,851,000","-9,014,000","-9,052,000","-9,052,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,500,000",-,"-1,500,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-26,485,000","-26,292,000","-26,944,000","-23,547,000","-14,102,000","-15,923,000","-22,758,000","-11,244,000","-16,150,000","-9,580,000","-9,853,000","-8,851,000","-9,014,000","-9,052,000","-9,052,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"114,000","60,000","5,000","32,000","20,000","24,000","23,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-26,599,000","-26,352,000","-26,949,000","-23,579,000","-14,122,000","-15,947,000","-22,781,000","-11,244,000","-16,150,000","-9,580,000","-9,853,000","-8,851,000","-9,014,000","-9,052,000","-9,052,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-26,599,000","-26,352,000","-26,949,000","-23,579,000","-14,122,000","-15,947,000","-22,781,000","-11,244,000","-16,150,000","-9,580,000","-9,853,000","-8,851,000","-9,014,000","-9,052,000","-9,052,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,935,551","25,649,043","24,809,869","24,447,902","24,316,817","21,484,955","18,954,914","1,328,786","960,317","944,706","923,750","8,297,664","8,125,227","7,858,419","7,858,419",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,935,551","25,649,043","24,809,869","24,447,902","24,316,817","21,484,955","18,954,914","1,328,786","960,317","944,706","923,750","8,297,664","8,125,227","7,858,419","7,858,419",Financials in USD,Fiscal year is January - December
Shares Change (YoY),23.106%,19.381%,30.889%,1739.868%,2432.166%,2174.248%,1951.953%,-83.986%,-88.181%,-87.978%,-88.245%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.889,-1.027,-1.086,-0.964,-0.581,-0.742,-1.202,-8.462,-16.817,-10.141,-10.666,-1.067,-1.109,-1.152,-1.152,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.889,-1.027,-1.086,-0.964,-0.581,-0.742,-1.202,-8.462,-16.817,-10.141,-10.666,-1.067,-1.109,-1.152,-1.152,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,353,000","-15,390,000","-33,666,000","-17,799,000","-7,521,000","-12,736,000","-35,495,000","-9,677,000","-9,711,000","-9,214,000","-13,801,000","-6,467,000","-5,165,000","-7,985,000","-7,985,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.580,-0.600,-1.357,-0.728,-0.309,-0.593,-1.873,-7.283,-10.112,-9.753,-14.940,-0.779,-0.636,-1.016,-1.016,Financials in USD,Fiscal year is January - December
EBITDA,"-32,845,000","-30,742,000","-31,436,000","-29,689,000","-18,933,000","-17,303,000","-25,100,000","-14,996,000","-10,455,000","-11,993,000","-9,942,000","-7,401,000","-7,007,000","-8,246,500","-8,246,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"11,000","110,000","26,000","25,000","25,000","25,000","25,000","25,000","24,000","22,000","18,000","9,000","7,000","8,000","8,000",Financials in USD,Fiscal year is January - December
EBIT,"-32,856,000","-30,852,000","-31,462,000","-29,714,000","-18,958,000","-17,328,000","-25,125,000","-15,021,000","-10,479,000","-12,015,000","-9,960,000","-7,410,000","-7,014,000","-8,254,500","-8,254,500",Financials in USD,Fiscal year is January - December
