Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,-,-,-,-,-,"37,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-95.742%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,"37,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,554,000","7,476,000","12,766,000","13,825,000","11,052,000","11,284,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"18,903,000","39,992,000","17,617,000","10,712,000","21,074,000","90,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"26,457,000","47,468,000","30,383,000","24,537,000","32,126,000","102,058,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-26,457,000","-47,468,000","-30,383,000","-24,537,000","-32,126,000","-102,021,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,775,000","-3,150,000","-3,180,000","-4,529,000","-12,300,000","-1,761,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,722,000","1,722,000","819,000",-,-,"900,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,687,000","11,138,000","-11,389,000","-61,793,000","-7,177,000","196,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,197,000","-37,758,000","-44,133,000","-90,859,000","-51,603,000","-102,686,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"340,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-30,197,000","-37,758,000","-44,133,000","-90,859,000","-51,263,000","-102,686,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"357,000","613,000","301,000","705,000","743,000","444,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-30,554,000","-38,371,000","-44,434,000","-91,564,000","-52,006,000","-103,130,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-30,554,000","-38,371,000","-44,434,000","-91,564,000","-52,006,000","-103,130,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"16,310,399","12,962,362","12,236,607","10,891,178","1,600,655","967,870",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"16,310,399","12,962,362","12,236,607","10,891,178","1,600,655","967,870",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.021%,5.931%,12.353%,580.420%,65.379%,66.222%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.873,-2.960,-3.631,-8.407,-32.490,-106.554,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.873,-2.960,-3.631,-8.407,-32.490,-106.554,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-35,359,000","-39,343,000","-18,535,000","-15,903,000","-54,539,000","-81,946,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.168,-3.035,-1.515,-1.460,-34.073,-84.666,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-275732.432%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-278729.730%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-221475.676%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-25,994,000","-45,718,000","-28,583,000","-22,433,000","-31,965,000","-101,869,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"463,000","1,750,000","1,800,000","2,104,000","161,000","152,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-26,457,000","-47,468,000","-30,383,000","-24,537,000","-32,126,000","-102,021,000",Upgrade,Financials in USD,Fiscal year is January - December
