Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"41,000","15,576,000","1,901,000","12,112,000","67,000","4,055,000","139,000","211,000","161,000","5,665,000",Financials in EUR,Fiscal year is January - December
Other Revenue,"2,693,000","965,000","4,721,000","3,310,000","3,325,000","2,298,000","2,009,000","3,284,000","1,607,000","2,095,000",Financials in EUR,Fiscal year is January - December
Revenue,"2,734,000","16,541,000","6,622,000","15,422,000","3,392,000","6,353,000","2,148,000","3,495,000","1,768,000","7,760,000",Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-58.713%,7.256%,95.224%,142.751%,57.914%,81.774%,21.493%,-54.961%,-49.929%,140.844%,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"526,000","558,000","459,000","474,000","521,000","558,000","459,000","484,000","362,000","-458,000",Financials in EUR,Fiscal year is January - December
Gross Profit,"2,208,000","15,983,000","6,163,000","14,948,000","2,871,000","5,795,000","1,689,000","3,011,000","1,406,000","8,218,000",Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","7,726,000","7,804,000","7,031,000","7,988,000","6,650,000","5,041,000","5,640,000","4,638,000","3,506,000","2,715,000",Financials in EUR,Fiscal year is January - December
Research & Development,"44,984,000","54,220,000","52,381,000","28,968,000","28,293,000","27,693,000","17,569,000","8,479,000","12,212,000","13,533,000",Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"1,747,000","1,668,000","1,752,000","1,611,000","1,467,000","1,571,000","2,093,000","6,852,000","1,354,000","1,625,000",Financials in EUR,Fiscal year is January - December
Operating Expenses,"54,457,000","63,692,000","61,164,000","38,567,000","36,410,000","34,305,000","25,302,000","19,969,000","17,072,000","17,873,000",Financials in EUR,Fiscal year is January - December
Operating Income,"-52,249,000","-47,709,000","-55,001,000","-23,619,000","-33,539,000","-28,510,000","-23,613,000","-16,958,000","-15,666,000","-9,655,000",Financials in EUR,Fiscal year is January - December
Interest Expense,"-5,218,000","-3,237,000","-1,941,000","-587,000","-120,000","-90,000","-48,000","-50,000","-16,000",-,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"430,000","427,000","564,000","250,000","140,000","46,000","11,000","206,000","20,000","158,000",Financials in EUR,Fiscal year is January - December
Earnings From Equity Investments,"-168,000","-2,015,000",-,-,-,-,-,-,-,-,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-166,000","24,000","-496,000","-506,000","3,970,000","2,716,000","863,000","-5,849,000","5,000","-23,000",Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"8,461,000","-2,033,000","1,598,000","-447,000","-7,000","-2,000","-2,000","-6,000","-2,000","-7,000",Financials in EUR,Fiscal year is January - December
