Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+17 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+17 Quarters,,
Operating Revenue,"74,000","12,000",-,-,-,-,-,-,-,-,-,-,-,"360,216","360,216","588,581","588,582",-,-,"3,675",Upgrade,Financials in USD,Fiscal year is July - June
Other Revenue,-,-,-,-,-,-,-,-,-,"391,192","391,192",-,-,1,1,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue,"74,000","12,000",-,-,-,-,-,-,-,"391,192","391,192",-,-,"360,217","360,217","588,581","588,582",-,-,"3,675",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,8.599%,8.599%,-,-,-,-,15915.810%,15915.837%,-,-,-98.203%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,-,-,-,-,-,-,-,-,-,"-83,978","-83,978","87,147","87,147","187,015","187,015","268,969","268,970",-,-,"4,225",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"74,000","12,000",-,-,-,-,-,-,-,"475,170","475,170","-87,147","-87,147","173,202","173,202","319,612","319,612",-,-,-550,Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","3,432,000","5,397,000","4,138,000","5,345,000","2,284,000","2,482,000","2,012,000","2,090,000","1,760,500","1,626,033","1,626,033","951,826","951,826","2,392,633","2,392,633","536,054","536,054",-,-,"295,334",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"2,085,000","1,075,000","1,957,000","-89,000","-1,489,000","1,713,000","1,722,000","883,000","1,139,500","1,485,151","1,485,151","1,200,760","1,200,760","1,355,183","1,355,183","1,019,573","1,019,574",-,-,"156,713",Upgrade,Financials in USD,Fiscal year is July - June
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,"-17,784","-17,784",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
