Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"3,108,000","2,721,000","2,351,000","2,300,000","2,813,000","2,676,000","1,972,000","3,260,000","3,150,000","2,921,000","2,625,000","2,080,000","630,000","385,000","1,241,000","2,576,000","2,773,000","3,167,000","869,000","1,507,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),10.487%,1.682%,19.219%,-29.448%,-10.698%,-8.388%,-24.876%,56.731%,400.000%,658.701%,111.523%,-19.255%,-77.281%,-87.843%,42.808%,70.936%,184.995%,85.639%,-45.346%,-5.569%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"541,000","427,000","430,000","687,000","514,000","491,000","345,000","495,000","613,000","456,000","455,000","469,000","617,000","664,000","583,000","671,000","784,000","1,031,000","559,000","1,120,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,567,000","2,294,000","1,921,000","1,613,000","2,299,000","2,185,000","1,627,000","2,765,000","2,537,000","2,465,000","2,170,000","1,611,000","13,000","-279,000","658,000","1,905,000","1,989,000","2,136,000","310,000","387,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,786,000","5,838,000","5,824,000","5,336,000","5,005,000","6,010,000","6,697,000","4,740,000","6,493,000","6,493,000","8,979,000","6,951,000","6,230,000","7,259,000","5,548,000","4,050,000","5,842,000","5,486,000","4,618,000","5,185,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,043,000","3,653,000","4,312,000","3,463,000","6,081,000","4,277,000","4,775,000","4,311,000","5,940,000","2,451,000","4,945,000","5,482,000","3,312,000","3,870,000","2,414,000","1,904,000","1,522,000","1,405,000","1,582,000","1,394,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,829,000","9,491,000","10,136,000","8,799,000","11,086,000","10,287,000","11,472,000","9,051,000","12,433,000","8,944,000","13,924,000","12,433,000","9,542,000","11,129,000","7,962,000","5,954,000","7,364,000","6,891,000","6,200,000","6,579,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,262,000","-7,197,000","-8,215,000","-7,186,000","-8,787,000","-8,102,000","-9,845,000","-6,286,000","-9,896,000","-6,479,000","-11,754,000","-10,822,000","-9,529,000","-11,408,000","-7,304,000","-4,049,000","-5,375,000","-4,755,000","-5,890,000","-6,192,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-611,000","-248,000","-500,000","-3,453,000","-2,181,000","-2,634,000","-2,731,000","-2,536,000","-4,194,000","-2,433,000","-2,078,000","-2,009,000","-1,901,000","-1,533,000","-581,000","-479,000","-199,000","-174,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"162,000","108,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,921,000","-2,539,000","-1,787,000","-1,504,000","-2,314,000","-736,000","-371,000","688,000","18,000","-375,000","599,000","571,000","-585,000","-664,000","-2,051,000","3,491,000","-1,910,000","-4,004,000","-83,000","39,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,021,000","-9,628,000","-10,613,000","-8,938,000","-11,601,000","-12,291,000","-12,397,000","-8,232,000","-12,609,000","-9,390,000","-15,349,000","-12,684,000","-12,192,000","-14,081,000","-11,256,000","-2,091,000","-7,866,000","-9,238,000","-6,172,000","-6,327,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-371,000",-,-,-,-,-,-,-,-,-,-,-,"-118,000",-,-,"-117,000","273,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"1,245,000",-,"3,697,000",-,-,-,-,-,"-2,815,000","-1,634,000",-,-,"-753,000","-6,560,000",-,-,"-1,647,000","95,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,021,000","-9,628,000","-9,368,000","-9,309,000","-7,904,000","-12,291,000","-12,397,000","-8,232,000","-12,609,000","-9,390,000","-18,164,000","-14,318,000","-12,192,000","-14,081,000","-12,009,000","-8,769,000","-7,866,000","-9,238,000","-7,936,000","-5,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-10,021,000","-9,628,000","-9,368,000","-9,309,000","-7,904,000","-12,291,000","-12,397,000","-8,232,000","-12,609,000","-9,390,000","-18,164,000","-14,318,000","-12,192,000","-14,081,000","-12,009,000","-8,769,000","-7,866,000","-9,238,000","-7,936,000","-5,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"167,000","136,000","142,000","139,000","126,000","141,000","195,000","651,000","89,000","23,000","178,000","5,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-9,854,000","-9,492,000","-9,226,000","-9,170,000","-7,778,000","-12,150,000","-12,202,000","-7,581,000","-12,520,000","-9,367,000","-17,986,000","-14,313,000","-12,192,000","-14,081,000","-12,009,000","-8,769,000","-7,866,000","-9,238,000","-7,936,000","-5,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,595,000","405,000","1,359,000","480,000","2,059,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,854,000","-9,492,000","-9,226,000","-9,170,000","-7,778,000","-12,150,000","-12,202,000","-7,581,000","-12,520,000","-9,367,000","-17,986,000","-14,313,000","-12,192,000","-14,081,000","-12,009,000","-11,364,000","-8,271,000","-10,597,000","-8,416,000","-8,018,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"9,370,136","2,349,431","2,647,377","810,357","345,657","293,858","85,160","32,998","23,636","17,804","12,975","10,299","10,187","10,010",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"9,370,136","2,349,431","2,647,377","810,357","345,657","293,858","85,160","32,998","23,636","17,804","12,975","10,299","10,187","10,010",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2610.819%,699.512%,3008.709%,2355.776%,1362.417%,1550.517%,556.339%,220.400%,132.021%,77.862%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.052,-4.040,-3.485,-11.316,-22.502,-41.346,-143.283,-229.741,-529.700,-526.118,-1386.204,-1389.747,-1196.819,-1406.693,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.052,-4.040,-3.600,-11.316,-22.502,-41.350,-143.400,-229.745,-529.799,-526.199,-1386.204,-1389.747,-1215.001,-1406.693,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,341,000","-8,186,000","-7,047,000","-7,451,000","-6,790,000","-9,056,000","-9,945,000","-6,423,000","-8,532,000","-10,531,000","-7,695,000","-8,923,000","-9,432,000","-9,913,000","-6,708,000","-4,061,000","-2,919,000","-4,002,000","-4,303,000","-3,140,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.677,-3.484,-2.662,-9.195,-19.644,-30.818,-116.780,-194.648,-360.975,-591.496,-593.064,-866.395,-925.886,-990.310,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,82.593%,84.307%,81.710%,70.130%,81.728%,81.652%,82.505%,84.816%,80.540%,84.389%,82.667%,77.452%,2.063%,-72.468%,53.022%,73.952%,71.727%,67.445%,35.673%,25.680%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-233.655%,-264.498%,-349.426%,-312.435%,-312.371%,-302.765%,-499.239%,-192.822%,-314.159%,-221.808%,-447.771%,-520.288%,-1512.540%,-2963.117%,-588.558%,-157.182%,-193.833%,-150.142%,-677.791%,-410.883%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-317.053%,-348.842%,-392.429%,-398.696%,-276.502%,-454.036%,-618.763%,-232.546%,-397.460%,-320.678%,-685.181%,-688.125%,-1935.238%,-3657.403%,-967.687%,-441.149%,-298.269%,-334.607%,-968.470%,-532.050%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-204.022%,-300.845%,-299.745%,-323.957%,-241.379%,-338.416%,-504.310%,-197.025%,-270.857%,-360.527%,-293.143%,-428.990%,-1497.143%,-2574.805%,-540.532%,-157.648%,-105.265%,-126.366%,-495.167%,-208.361%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,788,000","-6,750,000","-7,714,000","-6,684,000","-8,283,000","-7,599,000","-9,341,000","-5,787,000","-9,398,000","-5,921,000","-11,328,000","-10,393,000","-9,100,000","-10,978,000","-6,873,000","-3,618,000","-4,942,000","-4,324,000","-5,458,000","-5,760,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-218.404%,-248.070%,-,-290.609%,-294.454%,-283.969%,-,-177.515%,-298.349%,-202.704%,-,-,-,-,-,-140.450%,-178.219%,-136.533%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"474,000","447,000","501,000","502,000","504,000","503,000","504,000","499,000","498,000","558,000","426,000","429,000","429,000","430,000","431,000","431,000","433,000","431,000","432,000","432,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-7,262,000","-7,197,000","-8,215,000","-7,186,000","-8,787,000","-8,102,000","-9,845,000","-6,286,000","-9,896,000","-6,479,000","-11,754,000","-10,822,000","-9,529,000","-11,408,000","-7,304,000","-4,049,000","-5,375,000","-4,755,000","-5,890,000","-6,192,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-233.655%,-264.498%,-,-,-,-,-,-192.822%,-,-221.808%,-,-,-,-,-,-157.182%,-193.833%,-150.142%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,108,000",-,-,-,"2,813,000",-,-,-,-,-,-,"4,335,000",-,-,-,-,-,-,-,"1,507,000",Upgrade,Financials in USD,Fiscal year is January - December
