Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,-,-,"3,892,000","11,240,000","6,362,000","6,074,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-65.374%,76.674%,4.742%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"2,560,000","4,097,000","2,673,000","2,008,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"1,332,000","7,143,000","3,689,000","4,066,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","18,762,000","20,567,000","65,035,000","105,061,000","81,068,000","65,015,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"21,554,000","18,586,000","17,653,000","11,515,000","18,352,000","27,275,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"40,316,000","39,153,000","82,688,000","116,576,000","99,420,000","92,290,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-40,316,000","-39,153,000","-81,356,000","-109,433,000","-95,731,000","-88,224,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,859,000","-5,814,000","-7,266,000","-8,380,000","-8,589,000","-8,480,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,188,000","2,711,000","664,000","104,000","493,000","2,357,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,451,000","8,167,000","-926,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,536,000","-34,089,000","-88,884,000","-117,709,000","-103,827,000","-94,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"46,995,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-7,600,000","-7,600,000",-,-,"-500,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-827,000","-510,000","-2,933,000","1,721,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-38,963,000","-42,199,000","-44,822,000","-142,605,000","-104,327,000","-94,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-38,963,000","-42,199,000","-44,822,000","-142,605,000","-104,327,000","-94,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-38,963,000","-42,199,000","-44,822,000","-142,605,000","-104,327,000","-94,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,299,643","2,432,008","1,520,611","1,316,495","1,047,551","684,195",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,299,643","2,432,008","1,520,611","1,316,495","1,047,551","684,195",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),53.037%,59.936%,15.505%,25.674%,53.107%,27.868%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-11.808,-17.352,-29.476,-108.322,-99.591,-137.895,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-11.808,-17.352,-29.480,-108.322,-99.591,-137.895,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-32,626,000","-28,537,000","-79,221,000","-109,121,000","-92,636,000","-94,055,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-9.888,-11.734,-52.098,-82.888,-88.431,-137.468,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,34.224%,63.550%,57.985%,66.941%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-2090.339%,-973.603%,-1504.731%,-1452.486%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-1151.644%,-1268.728%,-1639.846%,-1553.293%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-2035.483%,-970.827%,-1456.083%,-1548.485%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-40,056,000","-38,850,000","-80,819,000","-108,458,000","-94,819,000","-87,381,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"260,000","303,000","537,000","975,000","912,000","843,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-40,316,000","-39,153,000","-81,356,000","-109,433,000","-95,731,000","-88,224,000",Upgrade,Financials in USD,Fiscal year is January - December
