Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"112,214,000","108,631,000","79,858,000","83,395,000","67,046,000","71,473,000","48,345,000","61,884,000","99,135,000","26,972,000","32,189,000","18,745,000","12,095,000","7,704,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),67.369%,51.989%,65.184%,34.760%,-32.369%,164.990%,50.191%,230.136%,719.636%,250.104%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"49,416,000","42,336,000","31,384,000","26,523,000","26,399,000","21,685,000","15,324,000","14,232,000","11,560,000","8,701,000","12,473,000","4,702,000","2,767,000","2,466,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"62,798,000","66,295,000","48,474,000","56,872,000","40,647,000","49,788,000","33,021,000","47,652,000","87,575,000","18,271,000","19,716,000","14,043,000","9,328,000","5,238,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","46,399,000","42,395,000","38,682,000","36,739,000","34,468,000","29,175,000","29,045,000","27,215,000","24,677,000","23,841,000","22,218,000","22,741,000","20,759,000","21,848,000","20,600,000","15,500,000","11,799,000","9,536,000","8,486,000","8,432,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"26,057,000","24,017,000","26,334,000","20,052,000","17,106,000","23,767,000","15,172,000","14,390,000","16,485,000","13,798,000","20,817,000","27,433,000","19,236,000","23,945,000","28,683,000","37,398,000","31,419,000","22,324,000","20,901,000","24,149,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"72,456,000","66,412,000","65,016,000","56,791,000","51,574,000","52,942,000","44,217,000","41,605,000","41,162,000","37,639,000","43,035,000","50,174,000","39,995,000","45,793,000","49,283,000","52,898,000","43,218,000","31,860,000","29,387,000","32,581,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,658,000","-117,000","-16,542,000","81,000","-10,927,000","-3,154,000","-11,196,000","6,047,000","46,413,000","-19,368,000","-23,319,000","-36,131,000","-30,667,000","-40,555,000","-49,283,000","-52,898,000","-43,218,000","-31,860,000","-29,387,000","-32,581,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-20,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,"5,000","6,000","9,000","30,000","49,000","266,000","789,000","1,130,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,457,000","2,421,000","2,266,000","2,369,000","2,428,000","1,915,000","1,832,000","794,000","322,000","103,000","34,000","97,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,201,000","2,304,000","-14,276,000","2,450,000","-8,499,000","-1,239,000","-9,364,000","6,841,000","46,735,000","-19,265,000","-23,285,000","-36,054,000","-30,662,000","-40,549,000","-49,274,000","-52,868,000","-43,169,000","-31,594,000","-28,598,000","-31,451,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"5,492,000","6,212,000","3,428,000","-22,787,000","5,356,000","-16,211,000","2,906,000","2,380,000","-177,358,000","716,000","1,925,000","279,000","-118,000","1,014,000","210,000","789,000","667,000","5,875,000","-2,179,000","346,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,693,000","-3,908,000","-17,704,000","25,237,000","-13,855,000","14,972,000","-12,270,000","4,461,000","224,093,000","-19,981,000","-25,210,000","-36,333,000","-30,544,000","-41,563,000","-49,484,000","-53,657,000","-43,836,000","-37,469,000","-26,419,000","-31,797,000",Upgrade,Financials in USD,Fiscal year is January - December
