Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"651,000","151,000",-,"20,100,000",-,"10,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),8037.500%,-,-,-,-,0%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"165,491,000","135,258,000","87,265,000","55,143,000","33,860,000","17,379,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-164,840,000","-135,107,000","-87,265,000","-35,043,000","-33,860,000","-7,379,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,194,000","34,834,000","27,525,000","21,330,000","12,797,000","3,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"39,194,000","34,834,000","27,525,000","21,330,000","12,797,000","3,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-204,034,000","-169,941,000","-114,790,000","-56,373,000","-46,657,000","-10,563,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-1,000","-4,000","-6,000","-8,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"20,733,000","14,755,000","3,644,000","27,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-763,000","-300,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,494,000","2,494,000","6,468,000","-383,000","1,130,000","-1,765,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-181,570,000","-152,992,000","-104,679,000","-56,733,000","-45,533,000","-12,336,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"2,011,000","-172,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-181,570,000","-152,992,000","-104,679,000","-58,744,000","-45,361,000","-12,336,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"1,800,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-181,570,000","-152,992,000","-104,679,000","-58,744,000","-45,361,000","-14,136,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"34,881,441","29,447,119","25,241,030","23,333,914","15,506,397","2,326,857",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"34,881,441","29,447,119","25,241,030","23,333,914","15,506,397","2,326,857",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),21.322%,16.664%,8.173%,50.479%,566.410%,-50.696%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.205,-5.195,-4.147,-2.518,-2.925,-6.075,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.209,-5.195,-4.147,-2.518,-2.925,-6.075,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-142,503,000","-126,972,000","-71,303,000","-63,172,000","-37,188,000","-16,269,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.085,-4.312,-2.825,-2.707,-2.398,-6.992,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-174.343%,-,-73.790%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-31341.628%,-112543.709%,-,-280.463%,-,-105.630%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-27890.937%,-101319.205%,-,-292.259%,-,-141.360%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-21889.862%,-84087.417%,-,-314.289%,-,-162.690%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-202,890,000","-169,126,000","-114,116,000","-55,995,000","-46,379,000","-10,355,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-278.582%,-,-103.550%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,144,000","815,000","674,000","378,000","278,000","208,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-204,034,000","-169,941,000","-114,790,000","-56,373,000","-46,657,000","-10,563,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-280.463%,-,-105.630%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"651,000","151,000",-,"20,100,000",-,"10,000,000",Upgrade,Financials in USD,Fiscal year is January - December
