Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","45,082,000","36,536,000","21,385,000","14,061,000",Financials in USD,Fiscal year is January - December
Research & Development,"50,681,000","47,998,000","37,613,000","21,433,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"95,763,000","84,534,000","58,998,000","35,494,000",Financials in USD,Fiscal year is January - December
Operating Income,"-95,763,000","-84,534,000","-58,998,000","-35,494,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"7,993,000","3,389,000","976,000","13,537,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-87,770,000","-81,145,000","-58,022,000","-21,957,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"38,000","27,000","10,000","2,000",Financials in USD,Fiscal year is January - December
Net Income,"-87,808,000","-81,172,000","-58,032,000","-21,959,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-87,808,000","-81,172,000","-58,032,000","-21,959,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,900,054","1,529,321","255,175","4,447,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,900,054","1,529,321","255,175","4,447,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.624%,499.322%,-94.262%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-11.115,-53.077,-227.420,-4.938,Financials in USD,Fiscal year is January - December
EPS (Diluted),-11.115,-53.077,-227.420,-4.938,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-91,791,000","-75,119,000","-58,857,000","-36,541,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-11.619,-49.119,-230.653,-8.217,Financials in USD,Fiscal year is January - December
EBITDA,"-92,466,000","-80,904,000","-56,487,000","-33,899,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,297,000","3,630,000","2,511,000","1,595,000",Financials in USD,Fiscal year is January - December
EBIT,"-95,763,000","-84,534,000","-58,998,000","-35,494,000",Financials in USD,Fiscal year is January - December
