Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,-,-,-,"15,062",-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"17,275",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"-2,213",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,099,168","7,878,596","9,923,544","4,505,200","61,476",Financials in USD,Fiscal year is January - December
Research & Development,"9,040,026","8,100,765","2,665,427",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,139,194","15,979,361","12,588,971","4,505,200","61,476",Financials in USD,Fiscal year is January - December
Operating Income,"-16,139,194","-15,979,361","-12,588,971","-4,507,413","-61,476",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-508,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"515,526","415,368",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-134,519","56,245","1,852,189","2,334,400",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,758,187","-15,507,748","-10,736,782","-2,173,521","-61,476",Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-1,001,736",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"10,633",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,758,187","-15,507,748","-11,727,885","-2,173,521","-61,476",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-15,758,187","-15,507,748","-11,727,885","-2,173,521","-61,476",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-16,895","-453,910","-2,208,567",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-15,775,082","-15,961,658","-13,936,452","-2,173,521","-61,476",Financials in USD,Fiscal year is January - December
Net Income to Common,"-15,775,082","-15,961,658","-13,936,452","-2,173,521","-61,476",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,042,186","1,226,600","1,262,339","520,233","368,208",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,042,186","1,226,600","1,262,339","520,233","368,208",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-20.665%,-2.831%,142.649%,41.288%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-15.137,-13.013,-11.040,-4.178,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-15.137,-13.013,-11.040,-4.178,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,385,988","-13,459,712","-13,798,259","-3,195,561","-58,034",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-14.763,-10.973,-10.931,-6.143,-0.158,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-14.693%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-29925.727%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-14430.494%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-21216.047%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-15,490,202","-15,330,907","-12,583,877","-4,506,034",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"648,992","648,454","5,094","1,379",-,Financials in USD,Fiscal year is January - December
EBIT,"-16,139,194","-15,979,361","-12,588,971","-4,507,413","-61,476",Financials in USD,Fiscal year is January - December
