Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","18,179,000","16,677,000","18,184,000","14,229,000","13,145,000","11,821,000","11,374,000","12,488,000","11,621,000","11,075,000","11,869,000","12,082,000","11,310,000","12,573,000","10,572,000","8,808,000","7,593,000","7,476,000","7,625,000","5,499,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"41,705,000","39,727,000","36,268,000","32,533,000","29,328,000","28,182,000","25,192,000","22,668,000","24,973,000","24,258,000","20,913,000","20,956,000","22,367,000","21,074,000","20,324,000","17,524,000","16,601,000","13,697,000","12,575,000","13,464,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"59,884,000","56,404,000","54,452,000","46,762,000","42,473,000","40,003,000","36,566,000","35,156,000","36,594,000","35,333,000","32,782,000","33,038,000","33,677,000","33,647,000","30,896,000","26,332,000","24,194,000","21,173,000","20,200,000","18,963,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-59,884,000","-56,404,000","-54,452,000","-46,762,000","-42,473,000","-40,003,000","-36,566,000","-35,156,000","-36,594,000","-35,333,000","-32,782,000","-33,038,000","-33,677,000","-33,647,000","-30,896,000","-26,332,000","-24,194,000","-21,173,000","-20,200,000","-18,963,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-412,000","-406,000","-398,000","-5,444,000","-404,000","-387,000","-364,000","-229,000",-,-,-,-,-,"-306,000","-108,000","-144,000","-146,000","-144,000","-144,000","-142,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,892,000","5,973,000","5,325,000",-,"4,275,000","3,216,000","2,861,000","3,881,000","1,090,000","564,000","329,000","4,686,000","311,000","290,000","310,000","727,000","571,000","830,000","1,119,000","123,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,000","14,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-54,404,000","-50,837,000","-49,525,000","-52,206,000","-38,602,000","-37,174,000","-34,069,000","-31,504,000","-35,504,000","-34,769,000","-32,453,000","-28,352,000","-33,366,000","-33,663,000","-30,694,000","-25,749,000","-23,769,000","-20,487,000","-19,210,000","-18,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"9,420,000",-,-,-,"-1,610,000",-,-,-,"-4,391,000",-,-,-,"-410,000",-,-,-,"1,103,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-54,404,000","-50,837,000","-49,525,000","-42,786,000","-38,602,000","-37,174,000","-34,069,000","-33,114,000","-35,504,000","-34,769,000","-32,453,000","-32,743,000","-33,366,000","-33,663,000","-30,694,000","-26,159,000","-23,769,000","-20,487,000","-19,210,000","-17,865,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-54,404,000","-50,837,000","-49,525,000","-42,786,000","-38,602,000","-37,174,000","-34,069,000","-33,114,000","-35,504,000","-34,769,000","-32,453,000","-32,743,000","-33,366,000","-33,663,000","-30,694,000","-26,159,000","-23,769,000","-20,487,000","-19,210,000","-17,865,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-54,404,000","-50,837,000","-49,525,000","-42,786,000","-38,602,000","-37,174,000","-34,069,000","-33,114,000","-35,504,000","-34,769,000","-32,453,000","-32,743,000","-33,366,000","-33,663,000","-30,694,000","-26,159,000","-23,769,000","-20,487,000","-19,210,000","-17,865,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"86,950,000","86,635,000","83,905,000","77,337,000","77,241,000","69,795,000","68,403,000","67,781,000","66,889,000","66,672,000","66,607,000","66,550,000","66,353,000","66,282,000","66,218,000","58,760,000","56,405,000","51,633,000","45,411,000","45,333,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"86,950,000","86,635,000","83,905,000","77,337,000","77,241,000","69,795,000","68,403,000","67,781,000","66,889,000","66,672,000","66,607,000","66,550,000","66,353,000","66,282,000","66,218,000","58,760,000","56,405,000","51,633,000","45,411,000","45,333,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),12.570%,24.128%,22.663%,14.098%,15.476%,4.684%,2.696%,1.850%,0.808%,0.588%,0.587%,13.257%,17.637%,28.371%,45.819%,29.619%,24.677%,32.637%,18.977%,19.050%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.626,-0.587,-0.590,-0.553,-0.500,-0.533,-0.498,-0.489,-0.531,-0.521,-0.487,-0.492,-0.503,-0.508,-0.464,-0.445,-0.421,-0.397,-0.423,-0.394,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.626,-0.587,-0.590,-0.553,-0.500,-0.533,-0.498,-0.491,-0.531,-0.521,-0.487,-0.496,-0.503,-0.508,-0.464,-0.445,-0.421,-0.397,-0.423,-0.394,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-43,440,000","-42,546,000","-48,928,000","-34,324,000","-29,047,000","-25,713,000","-35,908,000","-26,542,000","-21,391,000","-30,525,000","-32,230,000","-23,468,000","-25,317,000","-28,365,000","-28,548,000","-18,583,000","-17,631,000","-15,454,000","-20,333,000","-13,933,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.500,-0.491,-0.583,-0.444,-0.376,-0.368,-0.525,-0.392,-0.320,-0.458,-0.484,-0.353,-0.382,-0.428,-0.431,-0.316,-0.313,-0.299,-0.448,-0.307,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-59,676,000","-56,202,000","-54,218,000","-46,548,000","-42,257,000","-39,790,000","-36,360,000","-34,950,000","-36,401,000","-35,150,000","-32,605,000","-32,872,000","-33,517,000","-33,523,000","-30,788,000","-26,224,000","-24,120,000","-21,167,000",-,"-18,960,500",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"208,000","202,000","234,000","214,000","216,000","213,000","206,000","206,000","193,000","183,000","177,000","166,000","160,000","124,000","108,000","108,000","74,000","6,000",-,"2,500",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-59,884,000","-56,404,000","-54,452,000","-46,762,000","-42,473,000","-40,003,000","-36,566,000","-35,156,000","-36,594,000","-35,333,000","-32,782,000","-33,038,000","-33,677,000","-33,647,000","-30,896,000","-26,332,000","-24,194,000","-21,173,000","-20,200,000","-18,963,000",Upgrade,Financials in USD,Fiscal year is January - December
