Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"3,741,000","25,650,000","10,287,000","47,885,000","4,728,000","16,513,000","9,466,000","16,139,000","9,551,000","11,514,000","9,622,000","15,275,000","20,336,000","18,519,000","18,702,000","12,785,000","14,533,000","3,288,000","3,428,000","1,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-20.876%,55.332%,8.673%,196.704%,-50.497%,43.417%,-1.621%,5.656%,-53.034%,-37.826%,-48.551%,19.476%,39.930%,463.230%,445.566%,597.490%,1429.789%,4254.967%,4440.397%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"60,410,000","59,202,000","48,819,000","52,970,000","48,117,000","45,767,000","42,227,000","43,133,000","43,877,000","41,293,000","35,944,000","37,529,000","38,306,000","35,220,000","25,962,000","20,392,000","15,778,000","13,819,000","12,116,000","11,086,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-56,669,000","-33,552,000","-38,532,000","-5,085,000","-43,389,000","-29,254,000","-32,761,000","-26,994,000","-34,326,000","-29,779,000","-26,322,000","-22,254,000","-17,970,000","-16,701,000","-7,260,000","-7,607,000","-1,245,000","-10,531,000","-8,688,000","-9,253,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,455,000","17,373,000","14,374,000","14,227,000","14,120,000","14,129,000","12,565,000","11,636,000","10,556,000","11,031,000","10,611,000","11,740,000","10,667,000","8,029,000","5,909,000","5,175,000","6,838,000","3,661,000","2,559,000","2,530,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,455,000","17,373,000","14,374,000","14,227,000","14,120,000","14,129,000","12,565,000","11,636,000","10,556,000","11,031,000","10,611,000","11,740,000","10,667,000","8,029,000","5,909,000","5,175,000","6,838,000","3,661,000","2,559,000","2,530,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-72,124,000","-50,925,000","-52,906,000","-19,312,000","-57,509,000","-43,383,000","-45,326,000","-38,630,000","-44,882,000","-40,810,000","-36,933,000","-33,994,000","-28,637,000","-24,730,000","-13,169,000","-12,782,000","-8,083,000","-14,192,000","-11,247,000","-11,783,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-60,000","-41,000","-49,000","-52,000","-41,000","-44,000","-52,000","-59,000","-36,000","-40,000","-46,000","-51,000","-70,000","-21,000","-24,000","-27,000","-28,000","-25,000","-34,000","-30,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,697,000","8,924,000","9,343,000","4,996,000","4,683,000","4,632,000","4,453,000","3,824,000","1,916,000","594,000","290,000","145,000","125,000","98,000","118,000","124,000","125,000","228,000","349,000","300,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-20,000","-20,000",-,-,"-4,000","-3,000",-,-,"-1,000","5,000",-,-,"-7,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-62,487,000","-42,062,000","-43,632,000","-14,368,000","-52,867,000","-38,799,000","-40,928,000","-34,865,000","-43,002,000","-40,257,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-10,932,000","-11,513,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-4,925,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-62,487,000","-42,062,000","-48,557,000","-14,368,000","-52,867,000","-38,799,000","-40,928,000","-34,865,000","-43,002,000","-40,257,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-10,932,000","-11,513,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-62,487,000","-42,062,000","-48,557,000","-14,368,000","-52,867,000","-38,799,000","-40,928,000","-34,865,000","-43,002,000","-40,257,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-10,932,000","-11,513,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,050,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-62,487,000","-42,062,000","-48,557,000","-14,368,000","-52,867,000","-38,799,000","-40,928,000","-34,865,000","-43,002,000","-40,257,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-19,982,000","-11,513,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"76,125,975","73,059,398","70,770,320","58,521,837","58,421,859","58,326,963","58,187,038","57,889,273","54,535,514","51,772,440","51,651,125","51,394,065","50,714,846","45,094,238","44,649,572","44,467,228","20,677,392","2,002,825","1,952,667","1,878,351",Upgrade,Financials in USD,Fiscal year is January - December
