Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"2,308,000",-,-,-,-,-,"15,182,711",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Revenue,"172,995",5,"1,000",-,-,"10,000","-1,170","1,170","362,429","625,681",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"2,480,995",5,"1,000",-,-,"10,000","15,181,541","1,170","362,429","625,681",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),247999.500%,-,-,-,-,754.701%,4088.832%,-99.813%,-46.048%,-18.557%,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"2,480,995",5,"1,000",-,-,"10,000","15,181,541","1,170","362,429","625,681",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","9,007,309","4,555,691","4,306,486","4,276,514","2,757,972","2,482,582","3,446,259","3,575,564","1,585,240","2,104,627",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"13,052,283","4,327,717","6,204,028","9,359,972","9,180,556","10,988,075","11,681,825","2,859,541","5,298,936","4,195,392",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,-,-,-,-,-,"-14,956","-2,192",-,"-2,259",-,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"22,059,592","8,883,408","10,510,514","13,636,486","11,938,528","13,455,701","15,125,892","6,435,105","6,881,917","6,300,019",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-19,578,597","-8,883,403","-10,509,514","-13,636,486","-11,938,528","-13,445,701","55,649","-6,433,935","-6,519,488","-5,674,338",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"5,547","6,453","21,861",139,105,"1,989","11,416","30,824","33,344","32,561",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,"4,631",-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"1,197,413","84,587",-,-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-18,375,637","-8,792,363","-10,487,653","-13,636,347","-11,938,423","-13,443,712","67,065","-6,403,111","-6,481,513","-5,641,777",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,"-167,814",Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"285,696","-166,696","3,473,226","-85,226","74,110","-74,110","-2,460,714","-109,547","-253,865","-220,692",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-18,089,941","-8,959,059","-7,014,427","-13,721,573","-11,864,313","-13,517,822","-2,393,649","-6,512,658","-6,735,378","-6,030,283",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,"-135,454","-135,546","-135,454","-135,546","-52,106","-315,974","-335,249","-149,098","-149,097","-149,098",Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Continuing Operations,"-17,954,487","-8,823,513","-6,878,973","-13,586,027","-11,812,207","-13,201,848","-2,058,400","-6,363,560","-6,586,281","-5,881,185",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-17,954,487","-8,823,513","-6,878,973","-13,586,027","-11,812,207","-13,201,848","-2,058,400","-6,363,560","-6,586,281","-5,881,185",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-17,954,487","-8,823,513","-6,878,973","-13,586,027","-11,812,207","-13,201,848","-2,058,400","-6,363,560","-6,586,281","-5,881,185",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"2,875,732","2,397,794","2,229,077","1,456,611","1,329,210","1,320,144","1,279,273","1,074,217","806,251","654,819",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"2,875,732","2,397,794","2,229,077","1,456,611","1,329,210","1,320,144","1,279,273","1,074,217","806,251","654,819",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),29.010%,64.615%,67.699%,10.337%,3.904%,22.894%,58.669%,64.048%,29.851%,23.746%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-6.243,-3.680,-3.086,-9.327,-8.887,-10.000,-1.609,-5.924,-8.169,-8.981,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-6.243,-3.680,-3.086,-9.327,-8.887,-10.000,-1.612,-5.924,-8.173,-8.981,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-3,246,128","-6,334,872","-6,349,852","-8,806,148","-11,371,253","-11,391,410","3,158,789","-12,269,305","-6,073,314","-2,736,205",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-1.129,-2.642,-2.849,-6.046,-8.555,-8.629,2.469,-11.422,-7.533,-4.179,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-789.143%,-177668060.000%,-1050951.400%,-,-,-134457.010%,0.367%,-549908.974%,-1798.832%,-906.906%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-723.681%,-176470260.000%,-687897.300%,-,-,-132018.480%,-13.559%,-543894.017%,-1817.261%,-939.965%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-130.840%,-126697440.000%,-634985.200%,-,-,-113914.100%,20.807%,-1048658.547%,-1675.725%,-437.316%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-18,644,302","-7,948,698","-9,575,255","-12,701,745","-11,003,819","-12,510,990","778,786","-5,891,763","-5,977,316","-5,132,166",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"934,295","934,705","934,259","934,741","934,709","934,711","723,137","542,172","542,172","542,172",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-19,578,597","-8,883,403","-10,509,514","-13,636,486","-11,938,528","-13,445,701","55,649","-6,433,935","-6,519,488","-5,674,338",Upgrade,Financials in AUD,Fiscal year is July - June
