Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Nov '24 Nov 24, 2024","Aug '24 Aug 25, 2024","May '24 May 26, 2024","Feb '24 Feb 25, 2024","Nov '23 Nov 26, 2023","Aug '23 Aug 27, 2023","May '23 May 28, 2023","Feb '23 Feb 26, 2023","Nov '22 Nov 27, 2022","Aug '22 Aug 28, 2022","May '22 May 29, 2022","Feb '22 Feb 27, 2022","Nov '21 Nov 28, 2021","Aug '21 Aug 29, 2021","May '21 May 30, 2021","Feb '21 Feb 28, 2021","Nov '20 Nov 29, 2020","Aug '20 Aug 30, 2020","May '20 May 31, 2020","Feb '20 Feb 23, 2020",+20 Quarters,,
Revenue,"32,564,000","24,705,000","37,886,000","35,704,000","30,150,000","24,522,000",-,"26,536,000","21,864,000","23,724,000","21,130,000","37,399,000","11,109,000","41,632,000","44,917,000","44,690,000",-,"135,643,000","156,131,000","152,928,000",Upgrade,Financials in USD,Fiscal year is June - May
Revenue Growth (YoY),8.007%,0.746%,-,34.549%,37.898%,3.364%,-,-29.046%,96.813%,-43.015%,-52.958%,-16.315%,-,-69.308%,-71.231%,-70.777%,-,-2.214%,2.193%,-1.688%,Upgrade,Financials in USD,Fiscal year is June - May
Cost of Revenue,"21,480,000","19,318,000","20,614,000","23,810,000","20,193,000","21,794,000",-,"17,988,000","16,185,000","17,745,000","13,697,000","24,533,000","2,777,000","31,197,000","30,336,000","30,249,000",-,"119,296,000","135,040,000","132,881,000",Upgrade,Financials in USD,Fiscal year is June - May
Gross Profit,"11,084,000","5,387,000","17,272,000","11,894,000","9,957,000","2,728,000",-,"8,548,000","5,679,000","5,979,000","7,433,000","12,866,000","8,332,000","10,435,000","14,581,000","14,441,000",-,"16,347,000","21,091,000","20,047,000",Upgrade,Financials in USD,Fiscal year is June - May
"Selling, General & Admin","10,715,000","12,285,000","12,224,000","9,848,000","9,185,000","7,996,000",-,"10,279,000","8,291,000","8,103,000","5,600,000","14,163,000","4,026,000","9,470,000","9,692,000","9,734,000",-,"17,903,000","17,388,000","18,783,000",Upgrade,Financials in USD,Fiscal year is June - May
Research & Development,"1,924,000","2,186,000","2,161,000","2,170,000","2,098,000","2,146,000",-,"2,234,000","2,177,000","2,211,000","2,117,000","2,000,000","1,849,000","1,873,000","1,900,000","1,843,000",-,"2,508,000","2,709,000","2,747,000",Upgrade,Financials in USD,Fiscal year is June - May
Operating Expenses,"12,639,000","14,471,000","14,385,000","12,018,000","11,283,000","10,142,000",-,"12,513,000","10,468,000","10,314,000","7,717,000","16,163,000","5,875,000","11,343,000","11,592,000","11,577,000",-,"20,411,000","20,097,000","21,530,000",Upgrade,Financials in USD,Fiscal year is June - May
Operating Income,"-1,555,000","-9,084,000","2,887,000","-124,000","-1,326,000","-7,414,000",-,"-3,965,000","-4,789,000","-4,335,000","-284,000","-3,297,000","2,457,000","-908,000","2,989,000","2,864,000",-,"-4,064,000","994,000","-1,483,000",Upgrade,Financials in USD,Fiscal year is June - May
Interest Expense,"-5,465,000","-5,368,000","-5,790,000","-4,289,000","-4,073,000","-3,938,000",-,"-4,833,000","-3,608,000","-3,231,000","-1,674,000","-4,105,000","-3,094,000","-6,678,000","-3,778,000","-2,939,000",-,"-3,109,000","-3,148,000","-2,211,000",Upgrade,Financials in USD,Fiscal year is June - May
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,"15,000","20,000","19,000","27,000","17,000","13,000",-,"289,000","289,000","327,000",Upgrade,Financials in USD,Fiscal year is June - May
Other Non Operating Income (Expenses),"896,000","697,000","-3,502,000","20,186,000","19,733,000","30,000",-,"104,000","-237,000","-198,000","459,000","5,927,000","79,000","109,000","47,000","72,000",-,"-21,000","-56,000","67,000",Upgrade,Financials in USD,Fiscal year is June - May
EBT Excluding Unusual Items,"-6,124,000","-13,755,000","-6,405,000","15,773,000","14,334,000","-11,322,000",-,"-8,694,000","-8,634,000","-7,764,000","-1,484,000","-1,455,000","-539,000","-7,450,000","-725,000","10,000",-,"-6,905,000","-1,921,000","-3,300,000",Upgrade,Financials in USD,Fiscal year is June - May
Merger & Restructuring Charges,"-404,000","-2,500,000","-738,000","-771,000","-157,000","-1,200,000",-,"-2,566,000","-563,000","-1,047,000","-829,000","-5,270,000","-426,000","-1,834,000","-933,000","-2,023,000",-,"-8,404,000","-3,351,000","-13,528,000",Upgrade,Financials in USD,Fiscal year is June - May
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-7,860,000",-,Upgrade,Financials in USD,Fiscal year is June - May
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,400,000",-,Upgrade,Financials in USD,Fiscal year is June - May
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,"2,108,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-6,393,000",-,Upgrade,Financials in USD,Fiscal year is June - May
Legal Settlements,-,-,-,-,-,-,-,-,-,-,"-1,400,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
