Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"483,533","449,617","184,156","259,347","961,683","694,748",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0.782%,144.150%,-28.992%,-73.032%,38.422%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,005,051","3,038,836","2,547,677","1,456,791","975,960","682,891",Financials in USD,Fiscal year is January - December
Gross Profit,"-2,521,518","-2,589,219","-2,363,521","-1,197,444","-14,277","11,857",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,837,326","2,156,734","226,192","718,384","42,585","65,648",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,837,326","2,156,734","226,192","718,384","42,585","65,648",Financials in USD,Fiscal year is January - December
Operating Income,"-4,358,844","-4,745,953","-2,589,713","-1,915,828","-56,862","-53,791",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-10,848","-9,612","-6,834","-7,965","-8,391",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"95,368","137,836","1,678",104,"3,171",334,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-45,45,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,263,476","-4,618,965","-2,597,692","-1,922,513","-61,656","-61,848",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"57,040",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,263,476","-4,618,965","-2,597,692","-1,865,473","-61,656","-61,848",Financials in USD,Fiscal year is January - December
Net Income,"-4,263,476","-4,618,965","-2,597,692","-1,865,473","-61,656","-61,848",Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,263,476","-4,618,965","-2,597,692","-1,865,473","-61,656","-61,848",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"957,269","750,384","507,578","426,006","266,400","260,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"957,269","750,384","507,578","426,006","266,400","260,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),41.539%,47.836%,19.148%,59.912%,2.462%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.454,-6.155,-5.118,-4.379,-0.231,-0.238,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.463,-6.160,-5.120,-4.400,-0.231,-0.238,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,688,044","-3,164,606","-1,831,161","-989,271","-28,577","-39,117",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.853,-4.217,-3.608,-2.322,-0.107,-0.150,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-1.484%,1.707%,Financials in USD,Fiscal year is January - December
Operating Margin,-901.457%,-1055.555%,-1406.260%,-738.712%,-5.913%,-7.743%,Financials in USD,Fiscal year is January - December
Profit Margin,-881.734%,-1027.311%,-1410.593%,-719.296%,-6.411%,-8.902%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-762.729%,-703.845%,-994.353%,-381.447%,-2.972%,-5.630%,Financials in USD,Fiscal year is January - December
EBITDA,"-4,355,956","-4,744,268",-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,888","1,685",-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-4,358,844","-4,745,953","-2,589,713","-1,915,828","-56,862","-53,791",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-5.913%,-7.742%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"483,533","449,617","184,156","259,347","961,683","694,748",Financials in USD,Fiscal year is January - December
