Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","4,445,000","5,017,000","3,895,000","3,314,000","3,854,000","3,845,000","3,175,000","3,021,000","3,031,000","3,143,000","3,181,000","2,594,000","2,802,000","3,441,000","3,132,000","3,422,000","3,716,000","2,492,000","1,667,000","752,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"13,819,000","19,582,000","12,839,000","10,848,000","6,485,000","5,775,000","4,462,000","7,418,000","5,482,000","5,544,000","5,706,000","6,492,000","13,928,000","9,102,000","8,974,000","10,974,000","6,619,000","8,907,000","5,007,000","5,406,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"18,264,000","24,599,000","16,734,000","14,162,000","10,339,000","9,620,000","7,637,000","10,439,000","8,513,000","8,687,000","8,887,000","9,086,000","16,730,000","12,543,000","12,106,000","14,396,000","10,335,000","11,399,000","6,674,000","6,158,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-18,264,000","-24,599,000","-16,734,000","-14,162,000","-10,339,000","-9,620,000","-7,637,000","-10,439,000","-8,513,000","-8,687,000","-8,887,000","-9,086,000","-16,730,000","-12,543,000","-12,106,000","-14,396,000","-10,335,000","-11,399,000","-6,674,000","-6,158,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,765,000","2,972,000","2,080,000","1,169,000","1,275,000","1,254,000","1,111,000","1,014,000","193,000","20,000","-56,000","-48,000","-75,000","-66,000","18,000","192,000","61,000","69,000",-,"82,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,499,000","-21,627,000","-14,654,000","-12,993,000","-9,064,000","-8,366,000","-6,526,000","-9,425,000","-8,320,000","-8,667,000","-8,943,000","-9,134,000","-16,805,000","-12,609,000","-12,088,000","-14,204,000","-10,274,000","-11,330,000","-6,674,000","-6,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-15,499,000","-21,627,000","-14,654,000","-12,993,000","-9,064,000","-8,366,000","-6,526,000","-9,425,000","-8,320,000","-8,667,000","-8,943,000","-9,134,000","-16,805,000","-12,609,000","-12,088,000","-14,204,000","-10,274,000","-11,330,000","-6,674,000","-6,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-15,499,000","-21,627,000","-14,654,000","-12,993,000","-9,064,000","-8,366,000","-6,526,000","-9,425,000","-8,320,000","-8,667,000","-8,943,000","-9,134,000","-16,805,000","-12,609,000","-12,088,000","-14,204,000","-10,274,000","-11,330,000","-6,674,000","-6,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"63,806,158","63,801,792","53,553,707","43,905,903","43,903,738","43,897,603","43,897,603","43,897,603","22,228,228","18,338,853","18,338,853","18,338,853","18,287,924","15,996,133","15,996,133","15,985,199","15,984,609","9,381,412","6,091,250","6,091,250",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"63,806,158","63,801,792","53,553,707","43,905,903","43,903,738","43,897,603","43,897,603","43,897,603","22,228,228","18,338,853","18,338,853","18,338,853","18,287,924","15,996,133","15,996,133","15,985,199","15,984,609","9,381,412","6,091,250","6,091,250",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),45.332%,45.342%,21.997%,0.019%,97.513%,139.369%,139.369%,139.369%,21.546%,14.646%,14.646%,14.724%,14.410%,70.509%,162.608%,162.429%,162.419%,54.015%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.243,-0.339,-0.274,-0.296,-0.206,-0.191,-0.149,-0.215,-0.374,-0.473,-0.488,-0.498,-0.919,-0.788,-0.756,-0.889,-0.643,-1.208,-1.096,-0.997,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.243,-0.339,-0.274,-0.296,-0.206,-0.191,-0.149,-0.215,-0.374,-0.473,-0.488,-0.498,-0.919,-0.788,-0.756,-0.890,-0.643,-1.208,-1.096,-0.997,Upgrade,Financials in USD,Fiscal year is January - December
