Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021",,
Revenue,"573,418,256","573,418,256","687,201,070","502,949,894","257,015,929",Financials in CNY,Fiscal year is April - March
Revenue Growth (YoY),-16.557%,-16.557%,36.634%,95.688%,-,Financials in CNY,Fiscal year is April - March
Cost of Revenue,"187,360,144","187,360,144","153,360,262","121,459,719","59,656,877",Financials in CNY,Fiscal year is April - March
Gross Profit,"386,058,112","386,058,112","533,840,808","381,490,175","197,359,052",Financials in CNY,Fiscal year is April - March
"Selling, General & Admin","434,556,562","434,556,562","339,329,800","278,763,916","224,815,380",Financials in CNY,Fiscal year is April - March
Research & Development,"302,800,992","302,800,992","318,700,526","211,222,263","94,387,144",Financials in CNY,Fiscal year is April - March
Other Operating Expenses,"6,789,028","6,789,028","6,537,346","5,379,934","4,004,265",Financials in CNY,Fiscal year is April - March
Operating Expenses,"744,146,582","744,146,582","664,567,672","495,366,113","323,206,789",Financials in CNY,Fiscal year is April - March
Operating Income,"-358,088,470","-358,088,470","-130,726,864","-113,875,938","-125,847,737",Financials in CNY,Fiscal year is April - March
Interest Expense,"-44,344,808","-44,344,808","-30,857,673","-2,717,433","-29,689,927",Financials in CNY,Fiscal year is April - March
Other Non Operating Income (Expenses),"27,476,796","27,476,796","17,238,936","15,526,092","-18,834,333",Financials in CNY,Fiscal year is April - March
EBT Excluding Unusual Items,"-374,956,482","-374,956,482","-144,345,601","-101,067,279","-174,371,997",Financials in CNY,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,"-137,991,697","-130,662,326","-16,610,297",Financials in CNY,Fiscal year is April - March
Asset Writedown,"-80,236,996","-80,236,996",-,-,-,Financials in CNY,Fiscal year is April - March
Pretax Income,"-455,193,478","-455,193,478","-282,337,298","-231,729,605","-190,982,294",Financials in CNY,Fiscal year is April - March
Income Tax Expense,"-21,728,607","-21,728,607","1,133,504","4,937,122","17,454,245",Financials in CNY,Fiscal year is April - March
Net Income,"-433,464,871","-433,464,871","-283,470,802","-236,666,727","-208,436,539",Financials in CNY,Fiscal year is April - March
Preferred Dividends & Other Adjustments,-,-,"-137,991,697","-130,662,326","-16,610,297",Financials in CNY,Fiscal year is April - March
Net Income to Common,"-433,464,871","-433,464,871","-145,479,105","-106,004,401","-191,826,242",Financials in CNY,Fiscal year is April - March
Shares Outstanding (Basic),"10,692,312","10,692,312","6,178,547","6,182,788","6,182,788",Financials in CNY,Fiscal year is April - March
Shares Outstanding (Diluted),"10,692,312","10,692,312","6,178,547","6,182,788","6,182,788",Financials in CNY,Fiscal year is April - March
Shares Change (YoY),73.055%,73.055%,-0.069%,-,-,Financials in CNY,Fiscal year is April - March
EPS (Basic),-40.540,-40.540,-23.546,-17.145,-31.026,Financials in CNY,Fiscal year is April - March
EPS (Diluted),-40.540,-40.540,-23.546,-17.145,-31.026,Financials in CNY,Fiscal year is April - March
Free Cash Flow,"-339,480,317","-339,480,317","-235,227,520","-468,859,708","-351,494,220",Financials in CNY,Fiscal year is April - March
Free Cash Flow Per Share,-31.750,-31.750,-38.072,-75.833,-56.850,Financials in CNY,Fiscal year is April - March
Gross Margin,67.326%,67.326%,77.683%,75.850%,76.789%,Financials in CNY,Fiscal year is April - March
Operating Margin,-62.448%,-62.448%,-19.023%,-22.642%,-48.965%,Financials in CNY,Fiscal year is April - March
Profit Margin,-75.593%,-75.593%,-21.170%,-21.077%,-74.636%,Financials in CNY,Fiscal year is April - March
Free Cash Flow Margin,-59.203%,-59.203%,-34.230%,-93.222%,-136.760%,Financials in CNY,Fiscal year is April - March
EBITDA,"-315,903,087","-315,903,087","-94,039,057","-82,721,969","-97,941,942",Financials in CNY,Fiscal year is April - March
EBITDA Margin,-55.091%,-55.091%,-13.684%,-16.447%,-38.107%,Financials in CNY,Fiscal year is April - March
D&A For EBITDA,"42,185,383","42,185,383","36,687,807","31,153,969","27,905,795",Financials in CNY,Fiscal year is April - March
EBIT,"-358,088,470","-358,088,470","-130,726,864","-113,875,938","-125,847,737",Financials in CNY,Fiscal year is April - March
EBIT Margin,-62.448%,-62.448%,-19.023%,-22.642%,-48.965%,Financials in CNY,Fiscal year is April - March
