Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","5,767,996","5,983,255","5,829,799","5,020,928","3,664,965","1,475,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"15,429,426","11,894,315","8,602,954","6,570,580","2,243,225","953,185",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"21,197,422","17,877,570","14,432,753","11,591,508","5,908,190","2,428,185",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-21,197,422","-17,877,570","-14,432,753","-11,591,508","-5,908,190","-2,428,185",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"848,351","765,388","204,355","67,929",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,018,713","1,150,648","-31,548","50,550",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,330,358","-15,961,534","-14,259,946","-11,473,029","-5,908,190","-2,428,185",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-890,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,091,934","-15,961,534","-14,259,946","-12,363,029","-5,908,190","-2,428,185",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-19,091,934","-15,961,534","-14,259,946","-12,363,029","-5,908,190","-2,428,185",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,091,934","-15,961,534","-14,259,946","-12,363,029","-5,908,190","-2,428,185",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,765,764","10,842,365","10,850,579","10,904,927","4,304,918","1,978,269",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,765,764","10,842,365","10,850,579","10,904,927","4,304,918","1,978,269",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.842%,-0.076%,-0.498%,153.313%,117.610%,2.667%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.773,-1.472,-1.314,-1.134,-1.372,-1.227,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.773,-1.472,-1.314,-1.134,-1.372,-1.227,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,241,357","-14,365,282","-12,795,336","-10,607,042","-5,667,758","-2,133,640",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.601,-1.325,-1.179,-0.973,-1.317,-1.079,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-21,180,739","-17,862,955","-14,422,672","-11,584,747","-5,904,802","-2,426,558",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"16,683","14,615","10,081","6,761","3,388","1,627",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-21,197,422","-17,877,570","-14,432,753","-11,591,508","-5,908,190","-2,428,185",Upgrade,Financials in USD,Fiscal year is January - December
