Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"84,057,000","87,207,000","84,709,000","86,832,000","81,712,000","81,257,000","71,676,000",-,"67,689,000","66,883,000","58,894,000","67,409,000","63,074,000","68,165,000","59,967,000","68,548,000","64,303,000","53,647,000","61,736,000","76,400,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2.870%,7.322%,18.183%,-,20.717%,21.491%,21.703%,-,7.317%,-1.881%,-1.789%,-1.662%,-1.911%,27.062%,-2.865%,-10.277%,-27.638%,-20.449%,-7.241%,-17.482%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"15,322,000","14,855,000","12,987,000","13,841,000","14,790,000","13,583,000","12,419,000",-,"12,188,000","11,823,000","9,936,000","10,753,000","10,129,000","12,760,000","9,641,000","10,817,000","10,289,000","8,198,000","10,025,000","12,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"68,735,000","72,352,000","71,722,000","72,991,000","66,922,000","67,674,000","59,257,000",-,"55,501,000","55,060,000","48,958,000","56,656,000","52,945,000","55,405,000","50,326,000","57,731,000","54,014,000","45,449,000","51,711,000","63,691,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,165,000","45,700,000","55,440,000","54,876,000","52,533,000","52,972,000","55,923,000",-,"56,476,000","59,011,000","52,122,000","48,555,000","49,459,000","51,537,000","52,600,000","69,106,000","60,073,000","48,775,000","62,534,000","40,186,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,918,000","3,012,000","2,841,000","2,434,000","3,075,000","3,672,000","3,484,000",-,"5,953,000","5,512,000","5,964,000","4,574,000","4,368,000","4,063,000","4,339,000","3,434,000","3,372,000","2,259,000","2,650,000","2,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"57,275,000","48,902,000","58,470,000","57,502,000","55,798,000","56,835,000","59,597,000",-,"62,604,000","64,696,000","58,258,000","53,302,000","54,020,000","55,815,000","57,178,000","72,795,000","63,721,000","51,305,000","65,455,000","43,175,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"11,460,000","23,450,000","13,252,000","15,489,000","11,124,000","10,839,000","-340,000",-,"-7,103,000","-9,636,000","-9,300,000","3,354,000","-1,075,000","-410,000","-6,852,000","-15,064,000","-9,707,000","-5,856,000","-13,744,000","20,516,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-410,000","-411,000","-1,690,000","-1,593,000","-1,682,000","-1,630,000","-1,557,000",-,"-1,270,000","-1,170,000","-1,143,000","-1,178,000","-1,164,000","-1,513,000","-1,508,000","-1,835,000","-1,472,000","-2,667,000","-2,498,000","-2,593,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"688,000","414,000",-,-,"2,000",-,"4,000",-,-,-,"17,000","4,000","201,000","142,000","36,000","327,000",-,"93,000","111,000","198,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-21,000","-237,000","-99,000","16,000","-11,000","-32,000","2,000",-,-,-,-,"-20,000",-,"-3,000",-,"-1,000","1,000","-9,000","6,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"11,717,000","23,216,000","11,463,000","13,912,000","9,433,000","9,177,000","-1,891,000",-,"-8,373,000","-10,806,000","-10,426,000","2,160,000","-2,038,000","-1,784,000","-8,324,000","-16,573,000","-11,178,000","-8,439,000","-16,125,000","18,121,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-298,000",-,"-54,000",-,-,-,-,-,-,-,-,"-53,000",-,-,-,"-1,027,000",-,-,-,"812,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-26,189,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-8,201,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"11,419,000","23,216,000","11,409,000","13,912,000","9,433,000","9,177,000","-1,891,000",-,"-8,373,000","-10,806,000","-10,426,000","2,107,000","-2,038,000","-1,784,000","-8,324,000","-17,600,000","-19,379,000","-8,439,000","-16,125,000","-7,256,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,541,000","5,595,000","2,348,000","-37,375,000","591,000","-74,000","51,000",-,"53,000","62,000","63,000","-108,000","301,000","-5,000","58,000","-1,020,000","38,000","27,000","-11,304,000","220,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"7,878,000","17,621,000","9,061,000","51,287,000","8,842,000","9,251,000","-1,942,000",-,"-8,426,000","-10,868,000","-10,489,000","2,215,000","-2,339,000","-1,779,000","-8,382,000","-16,580,000","-19,417,000","-8,466,000","-4,821,000","-7,476,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"217,000","4,000","200,000","2,189,000","-308,000","-8,051,000","-3,041,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"8,095,000","17,625,000","9,261,000","53,476,000","8,534,000","1,200,000","-4,983,000",-,"-8,426,000","-10,868,000","-10,489,000","2,215,000","-2,339,000","-1,779,000","-8,382,000","-16,580,000","-19,417,000","-8,466,000","-4,821,000","-7,476,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"6,458,000","1,773,000","1,728,000","1,684,000",-,"1,670,000","1,628,000","1,586,000","1,597,000","1,574,000","1,497,000","1,468,000","1,479,000","32,565,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"8,095,000","17,625,000","9,261,000","47,018,000","6,761,000","-528,000","-6,667,000",-,"-10,096,000","-12,496,000","-12,075,000","618,000","-3,913,000","-3,276,000","-9,850,000","-18,059,000","-51,982,000","-8,466,000","-4,821,000","-7,476,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-5.144%,1368.750%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"146,958,986","147,326,273","146,404,587","119,367,482","116,298,146","115,866,371","114,398,813",-,"113,448,251","112,867,912","111,615,839","110,997,001","110,717,073","110,276,636","109,401,383","108,867,962","108,493,208","108,119,461","107,538,509","106,996,607",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"148,373,631","148,897,920","150,028,107","148,076,079","149,773,706","146,862,924","114,398,813",-,"113,448,251","112,867,912","111,615,839","113,183,886","110,717,073","110,276,636","109,401,383","108,867,962","108,493,208","108,119,461","107,538,509","106,996,607",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.935%,1.386%,31.145%,-,32.019%,30.119%,2.493%,-,2.467%,2.350%,2.024%,3.964%,2.050%,1.995%,1.732%,1.749%,-1.001%,1.101%,1.051%,-1.995%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.055,0.120,0.063,0.394,0.058,-0.005,-0.058,-,-0.089,-0.111,-0.108,0.006,-0.035,-0.030,-0.090,-0.166,-0.479,-0.078,-0.045,-0.070,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.051,0.120,0.061,0.325,0.057,0.008,-0.058,-,-0.090,-0.111,-0.110,-0.000,-0.040,-0.030,-0.090,-0.169,-0.480,-0.080,-0.045,-0.070,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-9.683%,1364.284%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
