Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"141,329,000","58,749,000","151,941,000","77,447,000","104,883,000","64,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),16.677%,-61.334%,96.187%,-26.159%,63.400%,6.765%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"192,627,000","174,805,000","214,410,000","217,228,000","193,201,000","195,309,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-51,298,000","-116,056,000","-62,469,000","-139,781,000","-88,318,000","-131,121,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","55,797,000","52,188,000","58,949,000","63,014,000","42,742,000","46,064,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"55,797,000","52,188,000","58,949,000","63,014,000","42,742,000","46,064,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-107,095,000","-168,244,000","-121,418,000","-202,795,000","-131,060,000","-177,185,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,139,000","-1,430,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"10,617,000","9,686,000","1,660,000","680,000","800,000","3,400,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"150,930,000",-,-,"521,000","21,974,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-97,617,000","-9,058,000","-119,758,000","-202,115,000","-129,739,000","-151,811,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-97,617,000","-9,058,000","-119,758,000","-202,115,000","-129,739,000","-151,811,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-97,617,000","-9,058,000","-119,758,000","-202,115,000","-129,739,000","-151,811,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"62,436,122","61,929,198","61,433,124","59,944,717","52,442,389","48,082,728",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"62,436,122","61,929,198","61,433,124","59,944,717","52,442,389","48,082,728",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.771%,0.808%,2.483%,14.306%,9.067%,17.489%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.563,-0.146,-1.949,-3.372,-2.474,-3.157,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.563,-0.146,-1.949,-3.372,-2.474,-3.157,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-61,709,000","-79,969,000","-90,582,000","-150,031,000","-117,804,000","-138,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.988,-1.291,-1.474,-2.503,-2.246,-2.882,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-36.297%,-197.545%,-41.114%,-180.486%,-84.206%,-204.277%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-75.777%,-286.378%,-79.911%,-261.850%,-124.958%,-276.041%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-69.071%,-15.418%,-78.819%,-260.972%,-123.699%,-236.510%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-43.663%,-136.120%,-59.617%,-193.721%,-112.319%,-215.864%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-99,708,000","-158,599,000","-109,553,000","-191,537,000","-119,103,000","-164,879,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-70.550%,-269.960%,-72.102%,-247.314%,-113.558%,-256.869%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,387,000","9,645,000","11,865,000","11,258,000","11,957,000","12,306,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-107,095,000","-168,244,000","-121,418,000","-202,795,000","-131,060,000","-177,185,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-75.777%,-286.378%,-79.911%,-261.850%,-124.958%,-276.041%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"141,329,000","58,749,000","151,941,000","77,447,000","104,883,000","64,188,000",Upgrade,Financials in USD,Fiscal year is January - December
