Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+5 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+5 Quarters,,
Revenue,"90,377,000","77,875,000","69,222,000","69,554,000","47,725,000","37,497,000","31,598,000","27,906,000","18,780,000","17,484,000","12,892,000","3,138,000","5,000,000","11,000,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),89.370%,107.683%,119.071%,149.244%,154.127%,114.465%,145.098%,789.293%,275.600%,58.945%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,806,000","20,227,000","17,830,000","25,020,000","10,228,000","6,812,000","4,979,000","4,494,000","2,932,000","2,524,000","2,424,000","1,903,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"69,571,000","57,648,000","51,392,000","44,534,000","37,497,000","30,685,000","26,619,000","23,412,000","15,848,000","14,960,000","10,468,000","1,235,000","5,000,000","11,000,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","50,545,000","49,208,000","45,638,000","46,184,000","36,528,000","32,949,000","30,219,000","26,468,000","22,513,000","20,969,000","19,116,000","19,035,000","17,353,000","13,353,000","9,479,000","7,225,000","5,732,000","5,042,000","4,692,000","4,278,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"31,710,000","32,672,000","32,222,000","30,935,000","26,117,000","22,009,000","23,548,000","31,105,000","26,217,000","25,432,000","24,088,000","27,775,000","30,471,000","35,048,000","38,134,000","29,726,000","15,984,000","18,555,000","17,340,000","14,380,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"82,255,000","81,880,000","77,860,000","77,119,000","62,645,000","54,958,000","53,767,000","57,573,000","48,730,000","46,401,000","43,204,000","46,810,000","47,824,000","48,401,000","47,613,000","36,951,000","21,716,000","23,597,000","22,032,000","18,658,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,684,000","-24,232,000","-26,468,000","-32,585,000","-25,148,000","-24,273,000","-27,148,000","-34,161,000","-32,882,000","-31,441,000","-32,736,000","-45,575,000","-42,824,000","-37,401,000","-47,613,000","-36,951,000","-21,716,000","-23,597,000","-22,032,000","-18,658,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,586,000","-3,569,000","-3,577,000","-3,563,000","-3,574,000","-3,726,000","-4,242,000","-4,359,000","-3,971,000","-3,875,000","-3,774,000","-3,766,000","-5,667,000","-4,776,000","-3,381,000","-335,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,469,000","3,486,000","3,633,000","3,775,000","4,061,000","3,627,000","2,272,000","2,143,000","1,352,000","293,000","69,000","65,000","72,000","80,000","149,000","168,000","237,000","405,000","749,000","747,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,000,000","400,000","1,700,000",-,"1,400,000",-,-,-,-,-,-,"565,000","-35,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,087,000","-88,000","57,000","-3,061,000","-78,000","-274,000","-811,000","86,000","-192,000","1,531,000","-154,000","106,269,000","1,355,000","-1,786,000","318,000","-83,000","-30,000","-56,000","-23,000","-20,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,888,000","-24,003,000","-24,655,000","-35,434,000","-23,339,000","-24,646,000","-29,929,000","-36,291,000","-35,693,000","-33,492,000","-36,595,000","57,558,000","-47,099,000","-43,883,000","-50,527,000","-37,201,000","-21,509,000","-23,248,000","-21,306,000","-17,931,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-49,076,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-13,888,000","-24,003,000","-24,655,000","-35,434,000","-23,339,000","-73,722,000","-29,929,000","-36,291,000","-35,693,000","-33,492,000","-36,595,000","57,558,000","-47,099,000","-43,883,000","-50,527,000","-37,201,000","-21,509,000","-23,248,000","-21,306,000","-17,931,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"347,000","635,000","624,000","225,000","249,000","316,000","201,000","140,000","13,000","-6,570,000","11,000","12,000","9,000","11,000","5,000","2,000","-3,000","3,000","4,000","21,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,235,000","-24,638,000","-25,279,000","-35,659,000","-23,588,000","-74,038,000","-30,130,000","-36,431,000","-35,706,000","-26,922,000","-36,606,000","57,546,000","-47,108,000","-43,894,000","-50,532,000","-37,203,000","-21,506,000","-23,251,000","-21,310,000","-17,952,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,235,000","-24,638,000","-25,279,000","-35,659,000","-23,588,000","-74,038,000","-30,130,000","-36,431,000","-35,706,000","-26,922,000","-36,606,000","57,546,000","-47,108,000","-43,894,000","-50,532,000","-37,203,000","-21,506,000","-23,251,000","-21,310,000","-17,952,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"47,782,619","47,235,080","46,927,550","40,885,124","41,098,920","38,107,334","37,675,306","33,839,072","34,927,790","32,164,174","31,296,223","30,321,722","30,367,727","30,274,749","30,105,017","26,106,102","25,132,916","25,056,123","24,704,651","22,587,752",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"47,782,619","47,235,080","46,927,550","40,885,124","41,098,920","38,107,334","37,675,306","33,982,493","34,927,790","32,179,171","31,296,223","30,321,722","30,367,727","30,274,749","30,105,017","26,106,102","25,132,916","25,056,123","24,704,651","22,587,752",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),16.262%,23.953%,24.558%,20.312%,17.668%,18.422%,20.383%,12.073%,15.016%,6.290%,3.957%,16.148%,20.829%,20.828%,21.860%,15.576%,39.658%,881.891%,881.222%,728.722%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.298,-0.522,-0.539,-0.872,-0.574,-1.943,-0.800,-1.077,-1.022,-0.837,-1.170,1.898,-1.551,-1.450,-1.679,-1.425,-0.856,-0.928,-0.863,-0.795,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.298,-0.522,-0.539,-0.873,-0.574,-1.943,-0.800,-1.092,-1.022,-0.840,-1.170,1.898,-1.551,-1.450,-1.679,-1.425,-0.856,-0.928,-0.863,-0.795,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"3,803,000","-4,582,000","15,199,000","-16,618,000","-18,221,000","-17,399,000","-18,815,000","-34,512,000","-26,044,000","-20,189,000","-39,669,000","-33,150,000","-34,220,000","-40,199,000","-25,213,000","-36,307,000","-17,497,000","-17,047,000","-18,449,000","-13,765,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.080,-0.097,0.324,-0.406,-0.443,-0.457,-0.499,-1.016,-0.746,-0.627,-1.268,-1.093,-1.127,-1.328,-0.838,-1.391,-0.696,-0.680,-0.747,-0.609,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,76.979%,74.026%,74.242%,64.028%,78.569%,81.833%,84.243%,83.896%,84.388%,85.564%,81.198%,39.356%,100.000%,100.000%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-14.035%,-31.117%,-38.236%,-46.848%,-52.694%,-64.733%,-85.917%,-122.415%,-175.091%,-179.827%,-253.925%,-1452.358%,-856.480%,-340.009%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-15.751%,-31.638%,-36.519%,-51.268%,-49.425%,-197.450%,-95.354%,-130.549%,-190.128%,-153.981%,-283.944%,1833.843%,-942.160%,-399.036%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,4.208%,-5.884%,21.957%,-23.892%,-38.179%,-46.401%,-59.545%,-123.672%,-138.679%,-115.471%,-307.702%,-1056.405%,-684.400%,-365.445%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,629,000","-18,378,000","-20,804,000","-27,091,000","-22,486,000","-22,937,000","-25,811,000","-32,960,000","-31,786,000","-30,842,000","-32,394,000","-45,233,000","-42,740,000","-37,322,000","-47,523,000","-36,866,000","-21,639,000","-23,527,000","-21,959,000","-18,599,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-7.335%,-23.599%,-30.054%,-38.950%,-47.116%,-61.170%,-81.686%,-118.111%,-169.255%,-176.401%,-251.272%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"6,055,000","5,854,000","5,664,000","5,494,000","2,662,000","1,336,000","1,337,000","1,201,000","1,096,000","599,000","342,000","342,000","84,000","79,000","90,000","85,000","77,000","70,000","73,000","59,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-12,684,000","-24,232,000","-26,468,000","-32,585,000","-25,148,000","-24,273,000","-27,148,000","-34,161,000","-32,882,000","-31,441,000","-32,736,000","-45,575,000","-42,824,000","-37,401,000","-47,613,000","-36,951,000","-21,716,000","-23,597,000","-22,032,000","-18,658,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-14.034%,-31.116%,-38.236%,-46.848%,-52.694%,-64.733%,-85.917%,-122.415%,-175.090%,-179.827%,-253.925%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,0.021%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"90,377,000","77,875,000","69,222,000","69,554,000","47,725,000","37,497,000","31,598,000","27,906,000","18,780,000","17,484,000","12,892,000","3,138,000","5,000,000","11,000,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
