Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,-,"1,000,000","5,000,000","15,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-80.000%,-66.667%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,"1,000,000","5,000,000","15,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","27,685,000","31,046,000","24,813,000","19,402,000","16,222,000","15,896,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"15,869,000","31,052,000","39,829,000","38,671,000","34,488,000","41,985,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"43,554,000","62,098,000","64,642,000","58,073,000","50,710,000","57,881,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-43,554,000","-61,098,000","-59,642,000","-43,073,000","-50,710,000","-57,881,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,519,000","-2,554,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,306,000","3,967,000","1,254,000","220,000","726,000","2,596,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-42,767,000","-59,685,000","-58,388,000","-42,853,000","-49,984,000","-55,285,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-17,000","-56,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-42,767,000","-59,685,000","-58,388,000","-42,853,000","-49,967,000","-55,229,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-42,767,000","-59,685,000","-58,388,000","-42,853,000","-49,967,000","-55,229,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"56,407,685","42,955,779","42,450,316","41,833,861","29,344,993","15,784,750",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"56,407,685","42,955,779","42,450,316","41,833,861","29,344,993","15,784,750",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.528%,1.191%,1.474%,42.559%,85.907%,4845.066%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.758,-1.389,-1.375,-1.024,-1.703,-3.499,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.758,-1.389,-1.375,-1.024,-1.703,-3.499,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-31,843,000","-46,536,000","-52,741,000","-33,224,000","-50,732,000","-51,565,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.565,-1.083,-1.242,-0.794,-1.729,-3.267,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,100.000%,100.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-6109.800%,-1192.840%,-287.153%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-5968.500%,-1167.760%,-285.687%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-4653.600%,-1054.820%,-221.493%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-43,449,000","-61,006,000","-59,553,000","-42,980,000","-50,613,000","-57,843,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-286.533%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"105,000","92,000","89,000","93,000","97,000","38,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-43,554,000","-61,098,000","-59,642,000","-43,073,000","-50,710,000","-57,881,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-287.153%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
