Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","28,030,100","22,321,216","23,012,463","21,657,217",Financials in USD,Fiscal year is January - December
Research & Development,"80,509,502","31,801,880","42,048,954","12,635,197",Financials in USD,Fiscal year is January - December
Operating Expenses,"108,539,602","54,123,096","65,061,417","34,292,414",Financials in USD,Fiscal year is January - December
Operating Income,"-108,539,602","-54,123,096","-65,061,417","-34,292,414",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),583,"151,493","325,317","-71,592",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"26,088,297","9,986,874","266,415","-2,626",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-82,450,722","-43,984,729","-64,469,685","-34,366,632",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-30,000,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-82,450,722","-43,984,729","-64,469,685","-64,366,632",Financials in USD,Fiscal year is January - December
Income Tax Expense,"285,367","94,388","36,366","5,706",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-82,736,089","-44,079,117","-64,506,051","-64,372,338",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"1,968,008","8,071,857","14,532,802",-,Financials in USD,Fiscal year is January - December
Net Income,"-80,768,081","-36,007,260","-49,973,249","-64,372,338",Financials in USD,Fiscal year is January - December
Net Income to Common,"-80,768,081","-36,007,260","-49,973,249","-64,372,338",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"62,110,712","49,122,534","29,361,353","7,840,707",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"62,110,712","49,122,534","29,361,353","7,840,707",Financials in USD,Fiscal year is January - December
Shares Change (YoY),40.832%,67.303%,274.473%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.300,-0.733,-1.702,-8.210,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.300,-0.733,-1.702,-8.210,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-81,086,502","-43,062,801","-55,909,909","-42,271,085",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.306,-0.877,-1.904,-5.391,Financials in USD,Fiscal year is January - December
EBITDA,"-108,452,873","-54,109,938","-65,049,059","-34,286,449",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"86,729","13,158","12,358","5,965",Financials in USD,Fiscal year is January - December
EBIT,"-108,539,602","-54,123,096","-65,061,417","-34,292,414",Financials in USD,Fiscal year is January - December
