Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","6,121,000","5,895,000","4,608,000","4,026,000","3,774,000","3,851,000","2,645,000","2,190,000","1,364,000","884,000","791,000","467,000",Financials in USD,Fiscal year is January - December
Research & Development,"53,985,000","39,273,000","30,754,000","23,685,000","22,499,000","11,884,000","12,293,000","7,818,000","6,059,000","5,595,000","6,778,000","6,616,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"60,106,000","45,168,000","35,362,000","27,711,000","26,273,000","15,735,000","14,938,000","10,008,000","7,423,000","6,479,000","7,569,000","7,083,000",Financials in USD,Fiscal year is January - December
Operating Income,"-60,106,000","-45,168,000","-35,362,000","-27,711,000","-26,273,000","-15,735,000","-14,938,000","-10,008,000","-7,423,000","-6,479,000","-7,569,000","-7,083,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,774,000","4,152,000","3,853,000","3,321,000","3,513,000","3,593,000","2,329,000","935,000","741,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,000","2,000","1,000","1,000",-,"1,000","1,000",-,"4,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-56,342,000","-41,014,000","-31,508,000","-24,389,000","-22,760,000","-12,141,000","-12,608,000","-9,073,000","-6,678,000","-6,479,000","-7,569,000","-7,083,000",Financials in USD,Fiscal year is January - December
Net Income,"-56,342,000","-41,014,000","-31,508,000","-24,389,000","-22,760,000","-12,141,000","-12,608,000","-9,073,000","-6,678,000","-6,479,000","-7,569,000","-7,083,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-56,342,000","-41,014,000","-31,508,000","-24,389,000","-22,760,000","-12,141,000","-12,608,000","-9,073,000","-6,678,000","-6,479,000","-7,569,000","-7,083,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,815,186","49,356,287","44,900,755","40,093,242","39,930,748","39,754,981","24,764,469","5,210,456","5,181,410","5,152,575","5,123,634","5,059,760",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,815,186","49,356,287","44,900,755","40,093,242","39,930,748","39,754,981","24,764,469","5,210,456","5,181,410","5,152,575","5,123,634","5,059,760",Financials in USD,Fiscal year is January - December
Shares Change (YoY),24.754%,24.151%,81.311%,669.477%,670.654%,671.556%,383.338%,2.978%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.131,-0.831,-0.702,-0.608,-0.570,-0.305,-0.509,-1.741,-1.289,-1.257,-1.477,-1.400,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.131,-0.831,-0.702,-0.608,-0.570,-0.305,-0.509,-1.741,-1.289,-1.260,-1.477,-1.400,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-50,223,000","-30,146,000","-19,198,000","-28,981,000","-19,031,000","-20,386,000","-12,775,000","-10,186,000","-6,988,000","-5,469,000","-6,578,000","-4,890,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.008,-0.611,-0.428,-0.723,-0.477,-0.513,-0.516,-1.955,-1.349,-1.061,-1.284,-0.966,Financials in USD,Fiscal year is January - December
EBITDA,"-60,095,000","-45,159,000","-35,354,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"11,000","9,000","8,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-60,106,000","-45,168,000","-35,362,000","-27,711,000","-26,273,000","-15,735,000","-14,938,000","-10,008,000","-7,423,000","-6,479,000","-7,569,000","-7,083,000",Financials in USD,Fiscal year is January - December
