Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","38,575,000","41,742,000","30,162,000","58,765,000","14,399,000","5,448,001",Financials in USD,Fiscal year is January - December
Research & Development,"55,084,000","52,124,000","36,169,000","34,789,000","18,631,000","12,941,145",Financials in USD,Fiscal year is January - December
Operating Expenses,"93,659,000","93,866,000","66,331,000","93,554,000","33,030,000","18,389,146",Financials in USD,Fiscal year is January - December
Operating Income,"-93,659,000","-93,866,000","-66,331,000","-93,554,000","-33,030,000","-18,389,146",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,146,000",-,-,"-359,000","-164,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,703,000","4,664,000","1,495,000",-,-,"17,143",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-188,000","157,000","195,000","-86,000","130,000","30,857",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-14,053,000","-6,687,000","7,845,000","106,000","-873,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-100,343,000","-95,732,000","-56,796,000","-93,893,000","-33,937,000","-18,341,146",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-300,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-97,802,000","-95,732,000","-56,796,000","-94,193,000","-33,937,000","-18,341,146",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-1,157,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-97,802,000","-95,732,000","-56,796,000","-93,036,000","-33,937,000","-18,341,146",Financials in USD,Fiscal year is January - December
Net Income to Common,"-97,802,000","-95,732,000","-56,796,000","-93,036,000","-33,937,000","-18,341,146",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"59,512,158","39,157,420","30,857,463","27,377,096","17,748,048","6,850,911",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"59,512,158","39,157,420","30,857,463","27,377,096","17,748,048","6,850,911",Financials in USD,Fiscal year is January - December
Shares Change (YoY),54.450%,26.898%,12.713%,54.254%,159.061%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.643,-2.445,-1.841,-3.398,-1.912,-2.677,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.643,-2.445,-1.841,-3.398,-1.912,-2.677,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-74,341,000","-64,365,000","-50,139,000","-45,824,000","-23,597,000","-5,484,001",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.249,-1.644,-1.625,-1.674,-1.330,-0.800,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"-66,315,000","-93,538,000","-32,480,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"16,000","16,000","550,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-93,659,000","-93,866,000","-66,331,000","-93,554,000","-33,030,000","-18,389,146",Financials in USD,Fiscal year is January - December
