Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,-,"1,000,000",-,"4,037,500",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,"1,000,000",-,"4,037,500",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,043,625","5,242,370","5,484,857","5,715,285","6,693,488","7,952,035",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,938,096","5,657,895","9,143,792","8,538,027","7,484,835","6,079,042",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,981,721","10,900,265","14,628,649","14,253,312","14,178,323","14,031,077",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-11,981,721","-9,900,265","-14,628,649","-10,215,812","-14,178,323","-14,031,077",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,716,973","1,834,665","809,673","143,626","361,182","1,148,242",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-26,187","-502,869","-247,285","-59,498","-38,404","-46,163",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,290,935","-8,568,469","-14,066,261","-10,131,684","-13,855,545","-12,928,998",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,047","3,047","2,822","2,568","-1,648","12,660",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-10,293,982","-8,571,516","-14,069,083","-10,134,252","-13,853,897","-12,941,658",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,293,982","-8,571,516","-14,069,083","-10,134,252","-13,853,897","-12,941,658",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,046,246","49,046,246","49,045,342","48,596,255","44,413,441","43,158,830",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,046,246","49,046,246","49,045,342","48,596,255","44,413,441","43,158,830",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.000%,0.002%,0.924%,9.418%,2.907%,4.946%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.210,-0.175,-0.287,-0.209,-0.312,-0.300,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.210,-0.175,-0.290,-0.210,-0.312,-0.300,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,211,167","-7,452,337","-12,916,573","-9,410,337","-10,862,854","-9,136,259",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.188,-0.152,-0.263,-0.194,-0.245,-0.212,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,100.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-990.026%,-,-253.023%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-857.152%,-,-251.003%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-745.234%,-,-233.073%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-11,960,329","-9,879,970","-14,610,942","-10,189,663","-14,156,981","-14,007,133",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-252.375%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"21,392","20,295","17,707","26,149","21,342","23,944",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-11,981,721","-9,900,265","-14,628,649","-10,215,812","-14,178,323","-14,031,077",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-253.023%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
